Piece,Rotation,Flip,Row,Col,Turn
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6,1
Piece.HIGHWAY_CORNER,Rotation.I,False,1,1,1
Piece.STRAIGHT_STATION,Rotation.R270,False,1,0,1
Piece.HIGHWAY_T,Rotation.R90,False,0,1,1
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,2,2
Piece.RAILWAY_T,Rotation.I,False,5,6,2
Piece.CORNER_STATION,Rotation.I,False,0,3,2
Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,6,2
Piece.RAILWAY_STRAIGHT,Rotation.I,False,6,3,3
Piece.OVERPASS,Rotation.R90,False,3,6,3
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5,3
Piece.HIGHWAY_T,Rotation.R90,False,3,5,3
Piece.CORNER_STATION,Rotation.R180,False,4,4,4
Piece.RAILWAY_CORNER,Rotation.R270,False,2,6,4
Piece.RAILWAY_T,Rotation.I,False,5,4,4
Piece.HIGHWAY_CORNER,Rotation.I,False,4,5,4
Piece.CORNER_JUNCTION,Rotation.R270,False,2,5,5
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,5,5
Piece.HIGHWAY_T,Rotation.R180,False,1,4,5
Piece.STRAIGHT_STATION,Rotation.I,False,6,1,5
Piece.HIGHWAY_CORNER,Rotation.R90,False,2,4,5
