Piece,Rotation,Flip,Row,Col,Turn
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,2,1
Piece.OVERPASS,Rotation.R90,False,0,4,1
Piece.HIGHWAY_CORNER,Rotation.I,False,0,5,1
Piece.HIGHWAY_T,Rotation.R90,False,0,1,1
Piece.RAILWAY_T,Rotation.R180,False,1,6,2
Piece.OVERPASS,Rotation.R90,False,0,3,2
Piece.RAILWAY_T,Rotation.I,False,2,6,2
Piece.RAILWAY_T,Rotation.I,False,1,4,2
Piece.RAILWAY_CORNER,Rotation.R90,False,1,3,3
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,1,1,3
Piece.CORNER_STATION,Rotation.R270,False,1,0,3
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,1,3
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,5,1,4
Piece.RAILWAY_T,Rotation.I,False,2,5,4
Piece.CORNER_STATION,Rotation.I,True,5,0,4
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,2,4,4
Piece.HIGHWAY_JUNCTION,Rotation.I,False,3,0,5
Piece.HIGHWAY_CORNER,Rotation.I,False,2,1,5
Piece.CORNER_STATION,Rotation.I,False,3,3,5
Piece.HIGHWAY_CORNER,Rotation.R270,False,4,1,5
Piece.RAILWAY_CORNER,Rotation.R180,False,2,3,5
