Piece,Rotation,Flip,Row,Col,Turn
Piece.RAILWAY_CORNER,Rotation.R180,False,0,2,1
Piece.RAILWAY_CORNER,Rotation.I,False,0,3,1
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,0,1
Piece.STRAIGHT_STATION,Rotation.R180,False,0,1,1
Piece.CORNER_STATION,Rotation.I,False,3,0,2
Piece.RAILWAY_CORNER,Rotation.I,False,1,2,2
Piece.HIGHWAY_T,Rotation.I,False,3,6,2
Piece.RAILWAY_CORNER,Rotation.R180,False,2,0,2
Piece.RAILWAY_T,Rotation.I,False,2,1,3
Piece.CORNER_STATION,Rotation.R90,True,3,3,3
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,2,2,3
Piece.RAILWAY_T,Rotation.R180,False,2,3,3
Piece.HIGHWAY_CORNER,Rotation.R270,False,2,6,4
Piece.CORNER_STATION,Rotation.R90,False,0,5,4
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,4,4
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,2,4,4
Piece.CORNER_STATION,Rotation.R90,False,5,6,5
Piece.RAILWAY_JUNCTION,Rotation.I,False,1,1,5
Piece.HIGHWAY_T,Rotation.R180,False,3,5,5
Piece.RAILWAY_CORNER,Rotation.R270,False,0,6,5
Piece.THREE_R_JUNCTION,Rotation.R270,False,1,6,6
Piece.HIGHWAY_CORNER,Rotation.R180,False,1,5,6
Piece.HIGHWAY_CORNER,Rotation.R90,False,4,5,6
Piece.HIGHWAY_CORNER,Rotation.R270,False,4,6,6
