Piece,Rotation,Flip,Row,Col,Turn
Piece.RAILWAY_STRAIGHT,Rotation.I,False,1,3,1
Piece.RAILWAY_STRAIGHT,Rotation.I,False,0,3,1
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,2,2,1
Piece.CORNER_STATION,Rotation.I,False,2,3,1
Piece.RAILWAY_T,Rotation.R90,False,6,3,2
Piece.RAILWAY_T,Rotation.I,False,6,4,2
Piece.CORNER_STATION,Rotation.R270,False,6,5,2
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,1,2
Piece.RAILWAY_T,Rotation.I,False,5,6,3
Piece.RAILWAY_T,Rotation.R90,False,1,6,3
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,1,1,3
Piece.CORNER_STATION,Rotation.R90,False,0,5,3
Piece.RAILWAY_T,Rotation.R180,False,5,4,4
Piece.CORNER_STATION,Rotation.R270,False,1,0,4
Piece.RAILWAY_T,Rotation.R90,False,4,6,4
Piece.RAILWAY_CORNER,Rotation.R270,False,0,6,4
Piece.THREE_R_JUNCTION,Rotation.R90,False,3,6,5
Piece.OVERPASS,Rotation.R90,False,2,6,5
Piece.RAILWAY_T,Rotation.R90,False,5,3,5
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,2,0,5
Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,3,5
