Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
0,52.0,52.0,51.0,48.0,48.0,48.0,49.0,48.0,48.0,49.0
1,52.0,52.0,52.0,48.0,48.0,48.0,49.0,48.0,48.0,51.0
2,50.0,50.0,53.0,53.0,53.0,53.0,49.0,53.0,53.0,49.0
3,52.0,52.0,51.0,54.0,54.0,54.0,51.0,54.0,54.0,51.0
4,53.0,53.0,55.0,54.0,54.0,54.0,52.0,54.0,54.0,52.0
5,54.0,54.0,53.0,55.0,55.0,55.0,53.0,55.0,55.0,53.0
6,52.0,52.0,51.0,49.0,49.0,49.0,51.0,49.0,49.0,51.0
7,53.0,53.0,56.0,49.0,49.0,49.0,52.0,49.0,49.0,52.0
8,54.0,54.0,53.0,50.0,50.0,50.0,53.0,50.0,50.0,53.0
9,51.0,51.0,52.0,50.0,53.0,50.0,50.0,50.0,53.0,50.0
10,49.0,49.0,53.0,50.0,54.0,50.0,49.0,50.0,54.0,48.0
11,50.0,50.0,54.0,54.0,55.0,54.0,50.0,54.0,55.0,49.0
12,53.0,53.0,53.0,50.0,52.0,50.0,51.0,50.0,52.0,50.0
13,52.0,52.0,55.0,50.0,54.0,50.0,52.0,50.0,54.0,51.0
14,53.0,53.0,54.0,53.0,54.0,53.0,53.0,53.0,54.0,52.0
15,52.0,52.0,52.0,49.0,49.0,49.0,50.0,49.0,49.0,50.0
16,52.0,52.0,56.0,45.0,49.0,45.0,51.0,45.0,49.0,51.0
17,52.0,52.0,54.0,48.0,48.0,47.0,52.0,47.0,48.0,51.0
18,51.0,51.0,50.0,54.0,54.0,54.0,51.0,54.0,54.0,51.0
19,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
20,53.0,53.0,52.0,55.0,55.0,55.0,53.0,55.0,55.0,53.0
21,52.0,52.0,51.0,49.0,49.0,49.0,51.0,49.0,49.0,51.0
22,56.0,56.0,56.0,49.0,49.0,49.0,55.0,49.0,49.0,55.0
23,54.0,54.0,53.0,50.0,50.0,50.0,53.0,50.0,50.0,53.0
24,51.0,51.0,52.0,53.0,53.0,53.0,50.0,53.0,53.0,50.0
25,52.0,52.0,53.0,55.0,54.0,54.0,51.0,54.0,54.0,51.0
26,53.0,53.0,54.0,55.0,55.0,55.0,52.0,55.0,55.0,52.0
27,53.0,53.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
28,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
29,54.0,54.0,54.0,54.0,54.0,54.0,53.0,54.0,54.0,53.0
30,52.0,52.0,52.0,49.0,49.0,49.0,51.0,49.0,49.0,51.0
31,56.0,56.0,56.0,51.0,51.0,51.0,55.0,51.0,51.0,55.0
32,53.0,53.0,54.0,51.0,51.0,51.0,52.0,51.0,51.0,52.0
33,52.0,52.0,46.0,49.0,49.0,49.0,51.0,49.0,49.0,51.0
34,52.0,52.0,51.0,50.0,49.0,49.0,52.0,49.0,49.0,52.0
35,54.0,54.0,48.0,50.0,50.0,50.0,53.0,50.0,50.0,53.0
36,52.0,52.0,48.0,51.0,50.0,50.0,51.0,50.0,50.0,51.0
37,52.0,52.0,53.0,53.0,52.0,52.0,52.0,52.0,52.0,51.0
38,54.0,54.0,50.0,54.0,53.0,54.0,53.0,54.0,53.0,53.0
39,53.0,53.0,51.0,51.0,50.0,50.0,52.0,50.0,50.0,52.0
40,53.0,53.0,56.0,53.0,52.0,52.0,55.0,52.0,52.0,52.0
41,55.0,55.0,53.0,53.0,52.0,53.0,54.0,53.0,52.0,54.0
42,52.0,52.0,50.0,50.0,49.0,49.0,51.0,49.0,49.0,51.0
43,52.0,52.0,55.0,52.0,51.0,51.0,54.0,51.0,51.0,52.0
44,54.0,54.0,52.0,52.0,51.0,51.0,53.0,51.0,51.0,53.0
45,52.0,52.0,49.0,51.0,50.0,50.0,51.0,50.0,50.0,51.0
46,50.0,50.0,50.0,50.0,50.0,49.0,49.0,49.0,50.0,49.0
47,51.0,51.0,51.0,55.0,55.0,55.0,50.0,55.0,55.0,50.0
48,52.0,52.0,52.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
49,53.0,53.0,53.0,52.0,52.0,51.0,52.0,51.0,52.0,52.0
50,54.0,54.0,54.0,57.0,57.0,57.0,53.0,57.0,57.0,53.0
51,52.0,52.0,51.0,51.0,50.0,50.0,51.0,50.0,50.0,51.0
52,52.0,52.0,53.0,51.0,51.0,50.0,52.0,50.0,51.0,51.0
53,53.0,53.0,53.0,56.0,56.0,56.0,52.0,56.0,56.0,52.0
54,53.0,53.0,51.0,51.0,51.0,51.0,52.0,51.0,51.0,52.0
55,52.0,52.0,55.0,52.0,52.0,51.0,54.0,51.0,52.0,51.0
56,53.0,53.0,53.0,57.0,57.0,57.0,52.0,57.0,57.0,52.0
57,54.0,54.0,52.0,51.0,50.0,50.0,53.0,50.0,50.0,53.0
58,52.0,52.0,56.0,51.0,51.0,50.0,55.0,50.0,51.0,51.0
59,54.0,54.0,54.0,56.0,56.0,56.0,53.0,56.0,56.0,53.0
60,53.0,53.0,51.0,50.0,49.0,49.0,52.0,49.0,49.0,52.0
61,51.0,51.0,55.0,44.0,44.0,43.0,54.0,43.0,44.0,50.0
62,53.0,53.0,53.0,49.0,49.0,49.0,52.0,49.0,49.0,52.0
63,50.0,50.0,49.0,53.0,53.0,53.0,50.0,53.0,53.0,50.0
64,54.0,54.0,54.0,53.0,53.0,53.0,54.0,53.0,53.0,54.0
65,52.0,52.0,51.0,54.0,54.0,54.0,52.0,54.0,54.0,52.0
66,51.0,51.0,50.0,48.0,48.0,48.0,51.0,48.0,48.0,51.0
67,55.0,55.0,55.0,49.0,48.0,48.0,55.0,48.0,48.0,55.0
68,53.0,53.0,52.0,49.0,49.0,49.0,53.0,49.0,49.0,53.0
69,50.0,50.0,51.0,52.0,52.0,52.0,50.0,52.0,52.0,50.0
70,51.0,51.0,52.0,54.0,53.0,53.0,51.0,53.0,53.0,51.0
71,52.0,52.0,53.0,54.0,54.0,54.0,52.0,54.0,54.0,52.0
72,52.0,52.0,52.0,51.0,51.0,51.0,52.0,51.0,51.0,52.0
73,54.0,54.0,54.0,53.0,53.0,53.0,54.0,53.0,53.0,54.0
74,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
75,51.0,51.0,51.0,49.0,48.0,48.0,51.0,48.0,48.0,51.0
76,55.0,55.0,55.0,51.0,50.0,50.0,55.0,50.0,50.0,55.0
77,52.0,52.0,53.0,51.0,50.0,50.0,52.0,50.0,50.0,52.0
78,51.0,51.0,45.0,49.0,49.0,49.0,51.0,49.0,49.0,51.0
79,52.0,52.0,50.0,50.0,49.0,49.0,52.0,49.0,49.0,52.0
80,53.0,53.0,47.0,50.0,50.0,50.0,53.0,50.0,50.0,53.0
81,51.0,51.0,47.0,51.0,50.0,50.0,51.0,50.0,50.0,51.0
82,52.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0
83,53.0,53.0,49.0,54.0,53.0,54.0,53.0,54.0,53.0,53.0
84,52.0,52.0,50.0,51.0,50.0,50.0,52.0,50.0,50.0,52.0
85,55.0,55.0,55.0,53.0,52.0,52.0,55.0,52.0,52.0,55.0
86,54.0,54.0,52.0,53.0,52.0,53.0,54.0,53.0,52.0,54.0
87,51.0,51.0,49.0,50.0,49.0,49.0,51.0,49.0,49.0,51.0
88,54.0,54.0,54.0,52.0,51.0,51.0,54.0,51.0,51.0,54.0
89,53.0,53.0,51.0,52.0,51.0,51.0,53.0,51.0,51.0,53.0
90,51.0,51.0,48.0,51.0,50.0,50.0,51.0,50.0,50.0,51.0
91,49.0,49.0,49.0,50.0,49.0,49.0,49.0,49.0,49.0,49.0
92,50.0,50.0,50.0,55.0,55.0,55.0,50.0,55.0,55.0,50.0
