Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
0,57.0,57.0,57.0,51.0,57.0,57.0,55.0,56.0,57.0,56.0,54.0,55.0,55.0,54.0,54.0
1,53.0,53.0,53.0,49.0,53.0,59.0,57.0,59.0,59.0,59.0,57.0,57.0,57.0,57.0,57.0
2,53.0,53.0,53.0,49.0,53.0,55.0,54.0,55.0,55.0,55.0,53.0,54.0,53.0,54.0,53.0
3,57.0,57.0,57.0,56.0,57.0,56.0,55.0,56.0,56.0,56.0,55.0,55.0,55.0,56.0,55.0
4,58.0,58.0,58.0,54.0,58.0,58.0,56.0,58.0,58.0,58.0,56.0,56.0,56.0,56.0,56.0
5,58.0,58.0,58.0,54.0,58.0,58.0,56.0,58.0,58.0,58.0,57.0,57.0,57.0,57.0,57.0
6,57.0,57.0,57.0,56.0,57.0,57.0,55.0,56.0,57.0,56.0,56.0,56.0,56.0,57.0,56.0
7,58.0,58.0,58.0,54.0,58.0,58.0,57.0,58.0,58.0,58.0,57.0,57.0,57.0,57.0,57.0
8,58.0,58.0,58.0,54.0,58.0,59.0,57.0,59.0,59.0,59.0,58.0,58.0,58.0,58.0,58.0
9,57.0,57.0,57.0,51.0,57.0,56.0,55.0,56.0,56.0,56.0,54.0,55.0,55.0,54.0,54.0
10,53.0,53.0,53.0,50.0,53.0,56.0,56.0,56.0,56.0,56.0,57.0,57.0,57.0,57.0,57.0
11,53.0,53.0,53.0,50.0,53.0,55.0,54.0,55.0,55.0,55.0,54.0,54.0,54.0,55.0,54.0
12,56.0,56.0,56.0,56.0,56.0,56.0,54.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
13,56.0,56.0,56.0,57.0,56.0,58.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
14,58.0,58.0,58.0,57.0,58.0,58.0,56.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
15,57.0,57.0,57.0,56.0,57.0,57.0,55.0,56.0,57.0,56.0,54.0,56.0,56.0,54.0,54.0
16,57.0,57.0,57.0,57.0,57.0,58.0,57.0,57.0,58.0,56.0,57.0,58.0,58.0,57.0,57.0
