Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
0,41.0,41.0,43.0,50.0,50.0,41.0,41.0
1,40.0,40.0,44.0,52.0,52.0,42.0,41.0
2,41.0,41.0,48.0,51.0,51.0,42.0,42.0
3,43.0,43.0,44.0,51.0,51.0,42.0,42.0
4,43.0,43.0,46.0,52.0,52.0,44.0,44.0
5,43.0,43.0,49.0,52.0,52.0,44.0,44.0
6,43.0,43.0,42.0,49.0,49.0,42.0,43.0
7,42.0,42.0,47.0,51.0,51.0,44.0,44.0
8,43.0,43.0,47.0,52.0,52.0,45.0,45.0
9,49.0,49.0,52.0,50.0,49.0,50.0,50.0
10,44.0,44.0,53.0,52.0,52.0,50.0,49.0
11,47.0,47.0,53.0,51.0,51.0,50.0,50.0
12,49.0,49.0,51.0,49.0,49.0,50.0,50.0
13,44.0,44.0,52.0,52.0,52.0,51.0,51.0
14,47.0,47.0,52.0,52.0,52.0,50.0,50.0
15,42.0,42.0,44.0,49.0,49.0,41.0,41.0
16,41.0,41.0,45.0,52.0,52.0,44.0,44.0
17,43.0,43.0,49.0,53.0,53.0,43.0,42.0
18,43.0,43.0,43.0,52.0,52.0,42.0,43.0
19,44.0,44.0,45.0,53.0,53.0,44.0,44.0
20,44.0,44.0,48.0,53.0,53.0,46.0,46.0
21,43.0,43.0,43.0,51.0,51.0,42.0,43.0
22,42.0,42.0,46.0,52.0,52.0,44.0,44.0
23,43.0,43.0,48.0,52.0,52.0,46.0,46.0
24,53.0,53.0,53.0,50.0,50.0,52.0,52.0
25,46.0,46.0,54.0,52.0,52.0,53.0,53.0
26,51.0,51.0,54.0,52.0,52.0,53.0,53.0
27,53.0,53.0,52.0,50.0,50.0,52.0,52.0
28,46.0,46.0,53.0,52.0,52.0,53.0,53.0
29,51.0,51.0,53.0,51.0,52.0,53.0,53.0
30,46.0,46.0,45.0,50.0,50.0,42.0,42.0
31,44.0,44.0,46.0,52.0,52.0,45.0,45.0
32,46.0,46.0,50.0,52.0,52.0,44.0,44.0
33,43.0,43.0,42.0,50.0,50.0,42.0,42.0
34,43.0,43.0,43.0,51.0,51.0,45.0,45.0
35,42.0,42.0,45.0,51.0,51.0,44.0,44.0
36,54.0,54.0,49.0,50.0,49.0,53.0,53.0
37,47.0,47.0,50.0,51.0,51.0,54.0,54.0
38,52.0,52.0,54.0,53.0,53.0,54.0,54.0
39,54.0,54.0,48.0,49.0,49.0,53.0,53.0
40,47.0,47.0,49.0,50.0,51.0,54.0,54.0
41,52.0,52.0,53.0,52.0,52.0,54.0,54.0
42,47.0,47.0,42.0,49.0,49.0,43.0,43.0
43,45.0,45.0,44.0,50.0,51.0,46.0,46.0
44,47.0,47.0,46.0,52.0,52.0,45.0,45.0
45,50.0,50.0,49.0,50.0,49.0,52.0,52.0
46,49.0,46.0,51.0,54.0,54.0,51.0,51.0
47,48.0,48.0,54.0,51.0,51.0,51.0,51.0
48,52.0,52.0,49.0,51.0,51.0,52.0,52.0
49,50.0,50.0,52.0,53.0,53.0,54.0,54.0
50,53.0,53.0,54.0,53.0,53.0,53.0,53.0
