Piece,Rotation,Flip,Row,Col,Turn
Piece.HIGHWAY_T,Rotation.R270,False,3,0,1
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,0,0,1
Piece.OVERPASS,Rotation.I,False,0,1,1
Piece.HIGHWAY_T,Rotation.R180,False,2,0,1
Piece.HIGHWAY_CORNER,Rotation.I,False,2,1,2
Piece.STRAIGHT_STATION,Rotation.R180,False,4,0,2
Piece.RAILWAY_CORNER,Rotation.R270,False,6,3,2
Piece.RAILWAY_T,Rotation.R270,False,5,0,2
Piece.RAILWAY_CORNER,Rotation.I,False,0,2,3
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,6,2,3
Piece.STRAIGHT_STATION,Rotation.I,False,0,3,3
Piece.HIGHWAY_CORNER,Rotation.I,False,0,5,3
Piece.HIGHWAY_T,Rotation.R90,False,1,3,4
Piece.HIGHWAY_T,Rotation.R90,False,1,1,4
Piece.RAILWAY_CORNER,Rotation.R90,False,6,0,4
Piece.OVERPASS,Rotation.I,False,2,3,4
Piece.RAILWAY_CORNER,Rotation.R90,False,5,6,5
Piece.CORNER_STATION,Rotation.R180,False,3,6,5
Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,6,5
Piece.THREE_R_JUNCTION,Rotation.R180,False,6,1,5
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,2,4,5
Piece.HIGHWAY_T,Rotation.R270,False,1,2,6
Piece.THREE_H_JUNCTION,Rotation.I,False,3,3,6
Piece.RAILWAY_CORNER,Rotation.I,False,4,4,6
Piece.OVERPASS,Rotation.I,False,2,2,6
Piece.RAILWAY_T,Rotation.I,False,4,3,6
Piece.RAILWAY_STRAIGHT,Rotation.I,False,5,1,7
Piece.RAILWAY_CORNER,Rotation.R180,False,4,1,7
Piece.HIGHWAY_JUNCTION,Rotation.I,False,3,2,7
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,4,2,7
Piece.CORNER_STATION,Rotation.R270,True,3,4,7
