Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
0,41.0,41.0,41.0,41.0,41.0,41.0,42.0,42.0,45.0
1,42.0,37.0,37.0,42.0,43.0,38.0,43.0,38.0,46.0
2,39.0,36.0,37.0,42.0,39.0,36.0,43.0,38.0,47.0
3,41.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,45.0
4,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,47.0
5,42.0,42.0,45.0,45.0,43.0,43.0,45.0,45.0,47.0
6,42.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0,46.0
7,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,48.0
8,43.0,43.0,46.0,46.0,44.0,44.0,46.0,46.0,47.0
9,45.0,45.0,45.0,45.0,46.0,46.0,46.0,46.0,45.0
10,46.0,40.0,40.0,46.0,46.0,40.0,46.0,40.0,47.0
11,43.0,39.0,40.0,46.0,44.0,39.0,46.0,40.0,47.0
12,44.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0
13,45.0,43.0,43.0,45.0,45.0,43.0,45.0,43.0,47.0
14,42.0,40.0,43.0,45.0,43.0,41.0,45.0,43.0,46.0
15,41.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,44.0
16,42.0,36.0,36.0,41.0,42.0,36.0,41.0,36.0,46.0
17,42.0,37.0,37.0,42.0,43.0,38.0,43.0,38.0,46.0
18,41.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,44.0
19,45.0,44.0,45.0,45.0,45.0,44.0,45.0,45.0,46.0
20,42.0,41.0,45.0,45.0,42.0,42.0,45.0,45.0,48.0
21,41.0,41.0,42.0,41.0,42.0,42.0,42.0,42.0,45.0
22,45.0,45.0,46.0,46.0,45.0,45.0,46.0,46.0,47.0
23,42.0,42.0,46.0,46.0,43.0,43.0,46.0,46.0,48.0
24,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
25,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0
26,46.0,46.0,49.0,49.0,46.0,46.0,49.0,49.0,49.0
27,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
28,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,47.0
29,45.0,45.0,48.0,48.0,45.0,45.0,48.0,48.0,48.0
30,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,44.0
31,45.0,45.0,45.0,44.0,45.0,45.0,44.0,45.0,46.0
32,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,47.0
33,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,45.0
34,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0
35,43.0,43.0,46.0,46.0,43.0,43.0,46.0,46.0,47.0
36,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0
37,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,47.0
38,47.0,47.0,50.0,50.0,47.0,47.0,50.0,50.0,49.0
39,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
40,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,47.0
41,46.0,46.0,49.0,49.0,46.0,46.0,49.0,49.0,48.0
42,41.0,42.0,42.0,41.0,41.0,42.0,41.0,42.0,45.0
43,46.0,46.0,46.0,45.0,46.0,46.0,45.0,46.0,47.0
44,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,48.0
45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,48.0
46,46.0,42.0,42.0,44.0,46.0,42.0,44.0,42.0,49.0
47,43.0,39.0,42.0,46.0,43.0,39.0,46.0,42.0,47.0
48,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,47.0
49,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0
50,45.0,44.0,47.0,47.0,45.0,44.0,47.0,47.0,49.0
51,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0
52,46.0,40.0,40.0,44.0,46.0,40.0,44.0,40.0,48.0
53,46.0,40.0,40.0,46.0,46.0,40.0,46.0,40.0,49.0
54,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,46.0
55,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0
56,44.0,43.0,46.0,46.0,44.0,43.0,46.0,46.0,48.0
57,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0
58,45.0,43.0,43.0,44.0,45.0,43.0,44.0,43.0,47.0
59,45.0,43.0,43.0,45.0,45.0,43.0,45.0,43.0,48.0
60,41.0,41.0,40.0,40.0,41.0,41.0,40.0,40.0,44.0
61,41.0,36.0,36.0,40.0,41.0,36.0,40.0,36.0,47.0
62,42.0,36.0,36.0,41.0,42.0,36.0,41.0,36.0,46.0
63,40.0,39.0,40.0,40.0,41.0,41.0,41.0,41.0,45.0
64,44.0,43.0,44.0,44.0,44.0,43.0,44.0,44.0,47.0
65,41.0,40.0,44.0,45.0,41.0,41.0,45.0,44.0,47.0
66,41.0,40.0,41.0,41.0,42.0,42.0,42.0,42.0,46.0
67,44.0,44.0,45.0,45.0,44.0,44.0,45.0,45.0,48.0
68,42.0,41.0,45.0,45.0,42.0,42.0,45.0,45.0,47.0
69,45.0,44.0,45.0,45.0,45.0,44.0,45.0,45.0,44.0
70,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,47.0
