Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
0,49.0,49.0,47.0,47.0,47.0,48.0,48.0,48.0,51.0,51.0,52.0,47.0,50.0
1,46.0,45.0,45.0,43.0,45.0,46.0,48.0,48.0,46.0,46.0,48.0,44.0,45.0
2,46.0,45.0,44.0,44.0,44.0,49.0,47.0,47.0,49.0,49.0,50.0,44.0,47.0
3,51.0,52.0,51.0,51.0,51.0,50.0,50.0,50.0,57.0,57.0,56.0,51.0,55.0
4,52.0,51.0,51.0,50.0,51.0,52.0,52.0,52.0,52.0,52.0,53.0,51.0,50.0
5,50.0,50.0,49.0,49.0,49.0,52.0,52.0,52.0,54.0,54.0,55.0,49.0,52.0
6,52.0,52.0,52.0,52.0,52.0,51.0,51.0,51.0,57.0,57.0,56.0,52.0,56.0
7,52.0,52.0,51.0,51.0,52.0,52.0,53.0,53.0,52.0,53.0,53.0,52.0,51.0
8,51.0,51.0,50.0,50.0,50.0,53.0,53.0,53.0,54.0,54.0,55.0,50.0,53.0
9,50.0,49.0,50.0,49.0,50.0,50.0,50.0,50.0,51.0,51.0,53.0,50.0,50.0
10,49.0,47.0,49.0,47.0,48.0,48.0,51.0,51.0,49.0,49.0,50.0,48.0,47.0
11,46.0,45.0,45.0,44.0,44.0,49.0,48.0,48.0,49.0,49.0,50.0,44.0,47.0
12,51.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0,55.0,55.0,55.0,50.0,53.0
13,52.0,51.0,51.0,50.0,51.0,52.0,52.0,52.0,52.0,52.0,51.0,51.0,51.0
14,48.0,47.0,47.0,46.0,47.0,48.0,47.0,47.0,52.0,52.0,51.0,47.0,51.0
15,52.0,52.0,51.0,51.0,51.0,51.0,51.0,51.0,56.0,56.0,56.0,51.0,54.0
16,53.0,52.0,52.0,51.0,52.0,53.0,53.0,53.0,51.0,52.0,52.0,52.0,52.0
17,49.0,48.0,48.0,47.0,48.0,48.0,47.0,47.0,53.0,52.0,52.0,48.0,52.0
18,55.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,57.0,57.0,56.0,54.0,56.0
19,57.0,56.0,56.0,56.0,56.0,57.0,57.0,57.0,55.0,56.0,55.0,56.0,53.0
