Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
0,51.0,49.0,53.0,53.0,53.0,52.0
1,52.0,47.0,51.0,51.0,51.0,54.0
2,51.0,50.0,52.0,51.0,52.0,53.0
3,56.0,53.0,53.0,54.0,53.0,54.0
4,54.0,52.0,52.0,52.0,52.0,56.0
5,54.0,55.0,55.0,54.0,55.0,53.0
6,51.0,49.0,54.0,53.0,54.0,55.0
7,52.0,49.0,53.0,53.0,53.0,57.0
8,52.0,51.0,56.0,54.0,56.0,53.0
9,50.0,50.0,51.0,52.0,51.0,52.0
10,53.0,51.0,50.0,50.0,50.0,53.0
11,53.0,52.0,52.0,51.0,52.0,53.0
12,52.0,49.0,54.0,52.0,54.0,54.0
13,56.0,51.0,52.0,52.0,52.0,56.0
14,55.0,55.0,55.0,52.0,55.0,53.0
15,53.0,50.0,55.0,53.0,55.0,55.0
16,57.0,52.0,53.0,53.0,53.0,57.0
17,56.0,56.0,56.0,53.0,56.0,54.0
18,55.0,54.0,53.0,53.0,53.0,53.0
19,55.0,53.0,52.0,52.0,52.0,55.0
20,55.0,56.0,55.0,53.0,55.0,54.0
21,56.0,54.0,54.0,53.0,54.0,54.0
22,56.0,52.0,53.0,53.0,53.0,56.0
23,56.0,56.0,56.0,54.0,56.0,55.0
24,55.0,54.0,56.0,56.0,56.0,53.0
25,52.0,56.0,54.0,54.0,54.0,52.0
26,54.0,55.0,55.0,54.0,55.0,52.0
27,57.0,53.0,55.0,55.0,55.0,54.0
28,55.0,55.0,53.0,53.0,53.0,55.0
29,56.0,56.0,57.0,57.0,57.0,56.0
30,58.0,54.0,54.0,52.0,54.0,55.0
31,56.0,56.0,54.0,54.0,54.0,56.0
32,57.0,57.0,58.0,58.0,58.0,57.0
33,51.0,49.0,53.0,53.0,53.0,54.0
34,51.0,47.0,53.0,53.0,53.0,53.0
35,52.0,51.0,54.0,54.0,54.0,56.0
36,51.0,50.0,57.0,57.0,57.0,53.0
37,52.0,51.0,53.0,54.0,54.0,53.0
38,53.0,53.0,56.0,54.0,56.0,53.0
39,51.0,50.0,56.0,56.0,56.0,55.0
40,52.0,51.0,54.0,54.0,54.0,56.0
41,56.0,56.0,58.0,58.0,58.0,57.0
42,51.0,51.0,54.0,53.0,54.0,56.0
43,53.0,52.0,54.0,54.0,54.0,57.0
44,57.0,57.0,59.0,59.0,59.0,58.0
45,50.0,50.0,53.0,54.0,53.0,54.0
46,53.0,53.0,49.0,52.0,49.0,53.0
47,49.0,52.0,52.0,52.0,52.0,53.0
48,50.0,50.0,56.0,56.0,56.0,53.0
49,56.0,56.0,52.0,53.0,52.0,53.0
50,52.0,55.0,55.0,53.0,55.0,55.0
51,51.0,50.0,57.0,57.0,57.0,52.0
52,57.0,57.0,53.0,54.0,53.0,54.0
53,53.0,56.0,56.0,54.0,56.0,56.0
54,50.0,49.0,55.0,55.0,55.0,52.0
