Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
0,51.0,48.0,50.0,43.0,48.0
1,49.0,53.0,48.0,43.0,49.0
2,49.0,53.0,48.0,46.0,48.0
3,50.0,48.0,49.0,44.0,49.0
4,48.0,54.0,47.0,45.0,48.0
5,48.0,54.0,47.0,45.0,53.0
6,51.0,48.0,50.0,45.0,50.0
7,49.0,53.0,48.0,45.0,49.0
8,49.0,53.0,48.0,46.0,54.0
9,60.0,61.0,59.0,58.0,58.0
10,53.0,53.0,52.0,51.0,52.0
11,54.0,54.0,53.0,52.0,52.0
12,59.0,60.0,58.0,57.0,57.0
13,54.0,53.0,53.0,51.0,52.0
14,54.0,53.0,53.0,52.0,53.0
15,59.0,59.0,58.0,45.0,57.0
16,54.0,54.0,53.0,46.0,52.0
17,54.0,54.0,53.0,51.0,53.0
18,49.0,47.0,48.0,47.0,48.0
19,52.0,53.0,51.0,45.0,47.0
20,47.0,53.0,46.0,45.0,52.0
21,50.0,47.0,49.0,48.0,49.0
22,53.0,52.0,52.0,45.0,48.0
23,48.0,52.0,47.0,46.0,53.0
24,59.0,60.0,58.0,58.0,59.0
25,52.0,53.0,51.0,51.0,51.0
26,53.0,53.0,52.0,52.0,55.0
27,58.0,59.0,57.0,57.0,58.0
28,53.0,52.0,52.0,51.0,52.0
29,53.0,52.0,52.0,51.0,54.0
30,58.0,58.0,57.0,50.0,57.0
31,53.0,53.0,52.0,50.0,52.0
32,53.0,53.0,52.0,51.0,53.0
33,51.0,47.0,50.0,49.0,50.0
34,53.0,53.0,52.0,46.0,49.0
35,49.0,53.0,48.0,46.0,49.0
36,60.0,59.0,59.0,58.0,60.0
37,53.0,54.0,52.0,51.0,52.0
38,54.0,54.0,53.0,52.0,56.0
39,59.0,58.0,58.0,57.0,59.0
40,54.0,53.0,53.0,52.0,52.0
41,54.0,53.0,53.0,51.0,55.0
42,59.0,59.0,58.0,51.0,58.0
43,54.0,54.0,53.0,51.0,52.0
44,54.0,54.0,53.0,51.0,54.0
45,59.0,59.0,58.0,57.0,58.0
46,54.0,55.0,53.0,54.0,56.0
47,54.0,55.0,53.0,54.0,52.0
48,60.0,60.0,59.0,58.0,59.0
49,61.0,60.0,60.0,59.0,60.0
50,61.0,62.0,60.0,59.0,59.0
51,60.0,60.0,59.0,58.0,59.0
52,61.0,61.0,60.0,59.0,60.0
53,61.0,61.0,60.0,59.0,59.0
54,60.0,59.0,59.0,57.0,58.0
55,60.0,59.0,59.0,60.0,59.0
56,62.0,61.0,61.0,58.0,58.0
57,60.0,60.0,59.0,57.0,58.0
58,61.0,60.0,60.0,60.0,59.0
59,62.0,62.0,61.0,58.0,58.0
60,59.0,59.0,58.0,46.0,57.0
61,61.0,61.0,60.0,52.0,58.0
62,61.0,61.0,60.0,49.0,58.0
63,48.0,46.0,47.0,47.0,47.0
64,51.0,52.0,50.0,44.0,47.0
65,46.0,52.0,45.0,44.0,51.0
66,49.0,46.0,48.0,48.0,48.0
67,52.0,51.0,51.0,45.0,47.0
68,47.0,51.0,46.0,45.0,52.0
69,58.0,59.0,57.0,57.0,58.0
70,51.0,52.0,50.0,50.0,50.0
71,52.0,52.0,51.0,51.0,54.0
72,57.0,58.0,56.0,56.0,57.0
73,52.0,51.0,51.0,51.0,51.0
74,52.0,51.0,51.0,50.0,53.0
75,57.0,57.0,56.0,50.0,56.0
76,53.0,52.0,52.0,50.0,51.0
77,52.0,52.0,51.0,50.0,52.0
78,50.0,46.0,49.0,49.0,49.0
79,53.0,52.0,52.0,46.0,48.0
80,48.0,52.0,47.0,46.0,49.0
81,59.0,58.0,58.0,58.0,59.0
82,52.0,53.0,51.0,51.0,51.0
83,53.0,53.0,52.0,52.0,55.0
84,58.0,57.0,57.0,57.0,58.0
85,53.0,52.0,52.0,52.0,51.0
86,53.0,52.0,52.0,51.0,54.0
87,58.0,58.0,57.0,51.0,57.0
88,54.0,53.0,53.0,51.0,51.0
89,53.0,53.0,52.0,51.0,53.0
90,58.0,58.0,57.0,57.0,57.0
91,53.0,54.0,52.0,54.0,55.0
92,53.0,54.0,52.0,54.0,55.0
93,59.0,59.0,58.0,57.0,58.0
94,60.0,59.0,59.0,59.0,59.0
95,60.0,61.0,59.0,59.0,60.0
96,59.0,59.0,58.0,57.0,58.0
97,60.0,60.0,59.0,59.0,59.0
98,60.0,60.0,59.0,59.0,59.0
99,59.0,58.0,58.0,56.0,57.0
100,60.0,58.0,59.0,60.0,58.0
101,61.0,60.0,60.0,58.0,59.0
102,59.0,59.0,58.0,57.0,57.0
103,61.0,59.0,60.0,60.0,58.0
104,61.0,61.0,60.0,58.0,58.0
105,58.0,58.0,57.0,51.0,56.0
106,60.0,60.0,59.0,52.0,58.0
107,60.0,60.0,59.0,49.0,58.0
108,50.0,47.0,49.0,50.0,50.0
109,53.0,53.0,52.0,46.0,48.0
110,48.0,53.0,47.0,46.0,49.0
111,60.0,59.0,59.0,58.0,59.0
112,53.0,53.0,52.0,51.0,52.0
113,54.0,52.0,53.0,52.0,53.0
114,59.0,58.0,58.0,57.0,58.0
115,54.0,53.0,53.0,52.0,52.0
116,54.0,53.0,53.0,51.0,54.0
117,59.0,59.0,58.0,52.0,58.0
118,54.0,54.0,53.0,51.0,52.0
119,54.0,54.0,53.0,51.0,54.0
120,59.0,59.0,58.0,57.0,58.0
121,54.0,53.0,53.0,54.0,53.0
122,54.0,53.0,53.0,54.0,56.0
123,60.0,59.0,59.0,58.0,59.0
124,61.0,60.0,60.0,59.0,60.0
125,61.0,60.0,60.0,59.0,61.0
126,60.0,60.0,59.0,58.0,59.0
127,61.0,61.0,60.0,59.0,60.0
128,61.0,61.0,60.0,59.0,60.0
129,59.0,58.0,58.0,57.0,58.0
130,60.0,59.0,59.0,60.0,59.0
131,60.0,59.0,59.0,58.0,60.0
132,60.0,59.0,59.0,57.0,58.0
133,61.0,60.0,60.0,60.0,59.0
134,61.0,60.0,60.0,58.0,59.0
135,59.0,59.0,58.0,52.0,57.0
136,61.0,61.0,60.0,52.0,58.0
137,61.0,61.0,60.0,49.0,58.0
138,62.0,61.0,61.0,56.0,59.0
139,54.0,54.0,53.0,53.0,57.0
140,56.0,56.0,55.0,54.0,52.0
141,63.0,62.0,62.0,57.0,60.0
142,61.0,60.0,60.0,58.0,61.0
143,61.0,62.0,60.0,59.0,59.0
144,62.0,61.0,61.0,57.0,59.0
145,61.0,61.0,60.0,58.0,60.0
146,61.0,61.0,60.0,59.0,59.0
147,62.0,61.0,61.0,57.0,59.0
148,61.0,60.0,60.0,59.0,60.0
149,62.0,61.0,61.0,58.0,60.0
150,61.0,60.0,60.0,57.0,59.0
151,61.0,61.0,60.0,59.0,60.0
152,62.0,62.0,61.0,59.0,60.0
