Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
0,48.0,47.0,47.0,48.0,45.0,52.0,40.0,52.0,51.0,45.0,45.0,48.0,49.0,49.0
1,48.0,48.0,47.0,48.0,47.0,49.0,44.0,46.0,50.0,47.0,47.0,54.0,50.0,50.0
2,48.0,50.0,49.0,48.0,49.0,52.0,44.0,46.0,48.0,49.0,49.0,49.0,51.0,51.0
3,53.0,50.0,51.0,50.0,49.0,56.0,41.0,56.0,53.0,45.0,45.0,48.0,51.0,51.0
4,53.0,50.0,46.0,49.0,47.0,53.0,46.0,50.0,53.0,46.0,46.0,55.0,53.0,53.0
5,53.0,50.0,53.0,51.0,49.0,53.0,46.0,49.0,53.0,48.0,48.0,53.0,55.0,55.0
6,50.0,49.0,51.0,50.0,45.0,51.0,40.0,51.0,50.0,45.0,45.0,47.0,50.0,50.0
7,49.0,49.0,47.0,49.0,47.0,52.0,45.0,48.0,51.0,47.0,47.0,52.0,50.0,50.0
8,51.0,49.0,53.0,51.0,49.0,51.0,45.0,47.0,52.0,49.0,49.0,52.0,55.0,55.0
9,55.0,55.0,56.0,55.0,53.0,57.0,47.0,52.0,49.0,53.0,53.0,57.0,53.0,53.0
10,56.0,57.0,56.0,56.0,55.0,53.0,48.0,49.0,51.0,55.0,55.0,51.0,53.0,53.0
11,54.0,54.0,53.0,53.0,53.0,54.0,49.0,49.0,51.0,53.0,53.0,49.0,51.0,51.0
12,54.0,54.0,55.0,54.0,52.0,56.0,54.0,56.0,54.0,52.0,52.0,56.0,52.0,52.0
13,55.0,56.0,55.0,55.0,54.0,52.0,54.0,53.0,55.0,54.0,54.0,53.0,52.0,52.0
14,53.0,54.0,53.0,52.0,53.0,53.0,54.0,53.0,51.0,53.0,53.0,53.0,50.0,50.0
15,48.0,49.0,50.0,48.0,47.0,51.0,49.0,51.0,49.0,47.0,47.0,50.0,50.0,50.0
16,51.0,49.0,48.0,49.0,47.0,48.0,50.0,47.0,51.0,47.0,47.0,48.0,52.0,52.0
17,51.0,55.0,54.0,50.0,53.0,49.0,50.0,47.0,51.0,53.0,53.0,54.0,51.0,51.0
18,55.0,50.0,50.0,50.0,49.0,56.0,40.0,56.0,55.0,44.0,44.0,48.0,53.0,53.0
19,52.0,50.0,45.0,49.0,46.0,53.0,45.0,51.0,52.0,45.0,45.0,55.0,53.0,53.0
20,55.0,52.0,52.0,51.0,48.0,54.0,45.0,52.0,55.0,47.0,47.0,53.0,55.0,55.0
21,55.0,50.0,50.0,49.0,50.0,55.0,41.0,55.0,55.0,45.0,45.0,47.0,53.0,53.0
22,52.0,50.0,46.0,48.0,47.0,52.0,46.0,48.0,52.0,46.0,46.0,52.0,53.0,53.0
23,55.0,51.0,52.0,50.0,49.0,52.0,46.0,48.0,55.0,48.0,48.0,53.0,54.0,54.0
24,57.0,57.0,56.0,56.0,55.0,58.0,48.0,55.0,50.0,53.0,53.0,57.0,53.0,53.0
25,57.0,57.0,55.0,55.0,55.0,57.0,50.0,52.0,54.0,54.0,54.0,52.0,54.0,54.0
26,57.0,57.0,56.0,56.0,54.0,58.0,50.0,53.0,53.0,52.0,52.0,50.0,54.0,54.0
27,56.0,56.0,55.0,55.0,54.0,57.0,53.0,56.0,54.0,52.0,52.0,56.0,53.0,53.0
28,56.0,56.0,54.0,54.0,54.0,56.0,57.0,56.0,56.0,53.0,53.0,53.0,53.0,53.0
29,56.0,56.0,55.0,55.0,53.0,57.0,57.0,57.0,55.0,53.0,53.0,54.0,54.0,54.0
30,53.0,49.0,50.0,48.0,50.0,55.0,52.0,55.0,53.0,46.0,46.0,50.0,51.0,51.0
31,56.0,49.0,49.0,48.0,47.0,50.0,56.0,50.0,56.0,46.0,48.0,52.0,53.0,53.0
