Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
0,46.0,40.0,46.0,40.0,45.0,45.0,43.0,43.0,43.0,43.0,43.0,43.0
1,50.0,44.0,49.0,44.0,50.0,50.0,46.0,46.0,44.0,45.0,46.0,46.0
2,51.0,45.0,51.0,45.0,49.0,51.0,45.0,45.0,44.0,47.0,45.0,45.0
3,48.0,43.0,48.0,43.0,48.0,45.0,44.0,43.0,44.0,44.0,44.0,43.0
4,49.0,47.0,49.0,47.0,49.0,50.0,46.0,46.0,49.0,49.0,46.0,46.0
5,54.0,45.0,54.0,45.0,49.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0
6,48.0,43.0,48.0,43.0,48.0,46.0,44.0,43.0,44.0,44.0,44.0,43.0
7,50.0,47.0,49.0,47.0,49.0,50.0,46.0,46.0,49.0,49.0,46.0,46.0
8,54.0,45.0,54.0,45.0,50.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0
9,52.0,52.0,52.0,52.0,53.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0
10,57.0,53.0,53.0,53.0,57.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0
11,56.0,56.0,56.0,56.0,56.0,57.0,52.0,52.0,49.0,50.0,52.0,52.0
12,51.0,51.0,51.0,51.0,52.0,51.0,48.0,48.0,48.0,48.0,48.0,48.0
13,56.0,52.0,52.0,52.0,56.0,52.0,50.0,50.0,50.0,50.0,50.0,50.0
14,55.0,55.0,55.0,55.0,55.0,56.0,51.0,51.0,48.0,49.0,51.0,51.0
15,47.0,42.0,47.0,42.0,46.0,46.0,45.0,45.0,45.0,45.0,45.0,45.0
16,51.0,43.0,48.0,43.0,51.0,49.0,46.0,46.0,44.0,44.0,46.0,46.0
17,50.0,45.0,51.0,45.0,50.0,52.0,47.0,47.0,45.0,46.0,47.0,47.0
18,48.0,43.0,48.0,43.0,48.0,45.0,44.0,43.0,44.0,43.0,44.0,43.0
19,48.0,47.0,48.0,47.0,48.0,50.0,50.0,46.0,49.0,49.0,50.0,46.0
20,54.0,44.0,54.0,44.0,49.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0
21,48.0,43.0,48.0,43.0,48.0,45.0,44.0,43.0,44.0,44.0,44.0,43.0
