Scenario,Roll 0,Roll 1,Roll 2
0,46.0,47.0,47.0
1,46.0,44.0,45.0
2,46.0,50.0,50.0
3,46.0,47.0,47.0
4,46.0,46.0,47.0
5,46.0,50.0,51.0
6,46.0,47.0,45.0
7,47.0,47.0,48.0
8,47.0,50.0,50.0
9,49.0,52.0,52.0
10,47.0,48.0,48.0
11,48.0,50.0,51.0
12,56.0,53.0,53.0
13,47.0,49.0,50.0
14,52.0,49.0,50.0
15,55.0,48.0,48.0
16,47.0,47.0,48.0
17,49.0,50.0,51.0
18,45.0,46.0,46.0
19,46.0,45.0,46.0
20,46.0,50.0,50.0
21,46.0,46.0,47.0
22,46.0,46.0,47.0
23,46.0,50.0,51.0
24,49.0,52.0,52.0
25,46.0,48.0,48.0
26,47.0,50.0,50.0
27,56.0,53.0,53.0
28,47.0,49.0,49.0
29,52.0,49.0,49.0
30,55.0,48.0,48.0
31,47.0,47.0,47.0
32,49.0,50.0,50.0
33,45.0,44.0,43.0
34,46.0,46.0,46.0
35,46.0,50.0,49.0
36,48.0,52.0,51.0
37,47.0,48.0,47.0
38,47.0,50.0,50.0
39,55.0,53.0,53.0
40,47.0,49.0,50.0
41,52.0,49.0,49.0
42,55.0,48.0,48.0
43,47.0,47.0,47.0
44,49.0,50.0,50.0
45,49.0,50.0,49.0
46,47.0,48.0,48.0
47,49.0,50.0,51.0
48,55.0,53.0,53.0
49,52.0,51.0,52.0
50,52.0,53.0,53.0
51,55.0,51.0,51.0
52,49.0,52.0,52.0
53,51.0,52.0,53.0
54,55.0,53.0,53.0
55,55.0,54.0,54.0
56,57.0,54.0,55.0
57,55.0,53.0,54.0
58,56.0,53.0,54.0
59,56.0,55.0,56.0
60,55.0,48.0,49.0
61,56.0,48.0,49.0
62,56.0,50.0,51.0
63,44.0,45.0,45.0
64,45.0,44.0,45.0
65,45.0,49.0,49.0
66,45.0,45.0,46.0
67,45.0,45.0,46.0
68,45.0,50.0,50.0
69,48.0,51.0,51.0
70,45.0,47.0,47.0
71,46.0,49.0,49.0
72,55.0,52.0,52.0
73,46.0,48.0,48.0
74,51.0,48.0,48.0
75,54.0,47.0,47.0
76,46.0,46.0,46.0
77,48.0,49.0,49.0
78,44.0,44.0,45.0
79,46.0,45.0,46.0
80,46.0,50.0,51.0
81,47.0,51.0,50.0
82,46.0,47.0,46.0
83,47.0,50.0,50.0
84,54.0,53.0,53.0
85,47.0,49.0,49.0
86,51.0,49.0,49.0
87,55.0,48.0,48.0
88,47.0,46.0,47.0
89,49.0,49.0,50.0
90,48.0,49.0,48.0
91,47.0,48.0,48.0
92,48.0,50.0,50.0
93,54.0,53.0,53.0
94,51.0,50.0,51.0
95,52.0,53.0,53.0
96,55.0,50.0,50.0
97,49.0,51.0,52.0
98,51.0,52.0,52.0
99,55.0,53.0,53.0
100,55.0,54.0,54.0
101,57.0,54.0,54.0
102,55.0,53.0,53.0
103,56.0,53.0,53.0
104,56.0,55.0,55.0
105,55.0,48.0,48.0
106,55.0,48.0,48.0
107,55.0,50.0,50.0
108,45.0,40.0,40.0
109,42.0,44.0,45.0
110,42.0,45.0,46.0
111,46.0,48.0,47.0
112,47.0,45.0,46.0
113,47.0,50.0,49.0
114,53.0,53.0,52.0
115,46.0,49.0,49.0
116,51.0,49.0,49.0
117,54.0,48.0,47.0
118,46.0,46.0,46.0
119,46.0,46.0,46.0
120,48.0,47.0,47.0
121,47.0,48.0,47.0
122,48.0,50.0,50.0
123,53.0,53.0,52.0
124,51.0,49.0,49.0
125,52.0,53.0,52.0
126,54.0,48.0,47.0
127,48.0,48.0,48.0
128,49.0,52.0,52.0
129,54.0,53.0,53.0
130,54.0,54.0,53.0
131,56.0,54.0,54.0
132,55.0,53.0,53.0
133,55.0,53.0,54.0
134,55.0,55.0,55.0
135,54.0,48.0,48.0
136,56.0,48.0,49.0
137,56.0,50.0,50.0
138,56.0,46.0,46.0
139,50.0,47.0,46.0
140,50.0,49.0,51.0
141,57.0,52.0,51.0
142,55.0,48.0,48.0
143,56.0,51.0,51.0
144,54.0,47.0,47.0
145,51.0,47.0,48.0
146,51.0,50.0,52.0
147,56.0,52.0,53.0
148,56.0,53.0,53.0
149,57.0,54.0,54.0
150,55.0,53.0,54.0
151,56.0,53.0,53.0
152,56.0,53.0,54.0
153,55.0,48.0,49.0
154,56.0,48.0,48.0
155,56.0,50.0,51.0
156,55.0,51.0,53.0
157,55.0,52.0,54.0
158,56.0,53.0,54.0
159,55.0,52.0,53.0
160,56.0,53.0,54.0
161,56.0,54.0,55.0
162,55.0,53.0,54.0
163,56.0,53.0,54.0
164,56.0,53.0,54.0
165,55.0,48.0,49.0
166,56.0,48.0,49.0
167,56.0,48.0,49.0
