Scenario,Roll 0,Roll 1,Roll 2,Roll 3
0,57.0,57.0,57.0,53.0
1,52.0,52.0,52.0,55.0
2,52.0,52.0,52.0,56.0
3,57.0,57.0,57.0,55.0
4,52.0,52.0,52.0,56.0
5,52.0,52.0,52.0,56.0
6,54.0,54.0,54.0,53.0
7,50.0,50.0,50.0,56.0
8,52.0,52.0,52.0,56.0
9,56.0,56.0,56.0,54.0
10,54.0,54.0,54.0,56.0
11,56.0,54.0,54.0,56.0
12,56.0,56.0,56.0,54.0
13,55.0,55.0,55.0,55.0
14,57.0,55.0,55.0,56.0
15,56.0,54.0,54.0,53.0
16,56.0,56.0,56.0,54.0
17,58.0,56.0,56.0,55.0
18,56.0,56.0,56.0,55.0
19,52.0,52.0,52.0,55.0
20,52.0,52.0,52.0,56.0
21,56.0,56.0,56.0,56.0
22,52.0,52.0,52.0,56.0
23,52.0,52.0,52.0,57.0
24,55.0,55.0,55.0,55.0
25,53.0,53.0,53.0,56.0
26,55.0,54.0,54.0,56.0
27,55.0,55.0,55.0,54.0
28,54.0,54.0,54.0,56.0
29,56.0,55.0,55.0,56.0
30,56.0,56.0,56.0,55.0
31,55.0,55.0,55.0,55.0
32,57.0,56.0,56.0,55.0
33,57.0,57.0,57.0,53.0
34,52.0,52.0,52.0,55.0
35,52.0,52.0,52.0,55.0
36,55.0,55.0,55.0,55.0
37,54.0,54.0,54.0,55.0
38,54.0,54.0,54.0,56.0
39,56.0,56.0,56.0,55.0
40,55.0,55.0,55.0,55.0
41,55.0,55.0,55.0,56.0
42,57.0,57.0,57.0,53.0
43,56.0,56.0,56.0,55.0
44,56.0,56.0,56.0,56.0
45,54.0,54.0,54.0,54.0
46,54.0,54.0,54.0,55.0
47,55.0,54.0,54.0,56.0
48,54.0,54.0,54.0,54.0
49,55.0,55.0,55.0,55.0
50,56.0,56.0,56.0,56.0
51,55.0,55.0,55.0,54.0
52,56.0,56.0,56.0,56.0
53,57.0,57.0,57.0,56.0
54,54.0,54.0,54.0,53.0
55,54.0,54.0,54.0,54.0
56,56.0,56.0,56.0,55.0
57,55.0,55.0,55.0,54.0
58,55.0,55.0,55.0,55.0
59,57.0,57.0,57.0,55.0
60,53.0,53.0,54.0,53.0
61,55.0,55.0,55.0,55.0
62,55.0,55.0,55.0,54.0
63,55.0,55.0,55.0,54.0
64,53.0,53.0,53.0,56.0
65,51.0,51.0,51.0,55.0
66,55.0,55.0,55.0,55.0
67,54.0,54.0,54.0,57.0
68,51.0,51.0,51.0,56.0
69,54.0,54.0,54.0,54.0
70,55.0,55.0,55.0,55.0
71,54.0,53.0,53.0,55.0
72,54.0,54.0,54.0,53.0
73,56.0,56.0,56.0,55.0
74,55.0,54.0,54.0,55.0
75,55.0,55.0,55.0,54.0
76,57.0,57.0,57.0,56.0
77,56.0,55.0,55.0,54.0
78,56.0,56.0,56.0,53.0
79,55.0,55.0,55.0,58.0
80,51.0,51.0,51.0,55.0
81,54.0,54.0,54.0,55.0
82,56.0,56.0,56.0,56.0
83,53.0,53.0,53.0,56.0
84,55.0,55.0,55.0,54.0
85,57.0,57.0,57.0,56.0
86,54.0,54.0,54.0,55.0
87,56.0,56.0,56.0,53.0
88,58.0,58.0,58.0,57.0
89,55.0,55.0,55.0,55.0
90,54.0,53.0,53.0,54.0
91,53.0,53.0,53.0,55.0
92,54.0,53.0,53.0,55.0
93,53.0,53.0,53.0,53.0
94,55.0,55.0,55.0,55.0
95,55.0,55.0,55.0,55.0
96,54.0,54.0,54.0,54.0
97,56.0,56.0,56.0,55.0
98,56.0,56.0,56.0,55.0
99,53.0,53.0,53.0,52.0
100,55.0,55.0,55.0,54.0
101,55.0,55.0,55.0,54.0
102,54.0,54.0,54.0,53.0
103,56.0,56.0,56.0,55.0
