Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
0,60.0,60.0,59.0,59.0,57.0,57.0,57.0,57.0,57.0,58.0,56.0,57.0,57.0,57.0,60.0,57.0
1,61.0,61.0,57.0,61.0,56.0,55.0,56.0,57.0,57.0,55.0,56.0,57.0,55.0,56.0,61.0,55.0
2,61.0,61.0,58.0,61.0,54.0,56.0,54.0,55.0,56.0,54.0,56.0,55.0,56.0,56.0,61.0,55.0
3,61.0,61.0,60.0,60.0,57.0,57.0,57.0,57.0,57.0,59.0,59.0,57.0,57.0,60.0,61.0,57.0
4,62.0,62.0,61.0,62.0,56.0,59.0,56.0,57.0,59.0,59.0,60.0,57.0,59.0,61.0,62.0,56.0
5,62.0,62.0,61.0,62.0,57.0,59.0,57.0,58.0,59.0,59.0,60.0,58.0,59.0,61.0,62.0,58.0
6,60.0,60.0,59.0,59.0,57.0,57.0,57.0,57.0,57.0,60.0,56.0,57.0,58.0,57.0,60.0,57.0
7,60.0,60.0,57.0,60.0,56.0,55.0,56.0,57.0,57.0,60.0,56.0,57.0,60.0,56.0,60.0,56.0
8,60.0,60.0,62.0,62.0,58.0,60.0,58.0,59.0,60.0,60.0,56.0,59.0,60.0,56.0,60.0,59.0
9,61.0,61.0,58.0,58.0,57.0,56.0,57.0,57.0,57.0,60.0,60.0,57.0,58.0,61.0,61.0,57.0
10,62.0,62.0,62.0,62.0,58.0,60.0,58.0,59.0,60.0,60.0,61.0,59.0,60.0,62.0,62.0,59.0
11,62.0,62.0,59.0,59.0,55.0,57.0,55.0,56.0,57.0,60.0,61.0,56.0,57.0,62.0,62.0,56.0
12,60.0,60.0,58.0,58.0,57.0,56.0,57.0,57.0,56.0,59.0,59.0,57.0,57.0,60.0,60.0,57.0
13,61.0,61.0,61.0,61.0,58.0,59.0,58.0,58.0,59.0,59.0,60.0,58.0,59.0,61.0,61.0,58.0
14,61.0,61.0,60.0,60.0,58.0,58.0,58.0,58.0,58.0,59.0,60.0,58.0,58.0,61.0,61.0,58.0
15,60.0,60.0,58.0,58.0,58.0,57.0,58.0,58.0,57.0,60.0,57.0,58.0,58.0,58.0,60.0,58.0
16,59.0,59.0,60.0,60.0,59.0,59.0,59.0,59.0,59.0,57.0,58.0,58.0,59.0,59.0,59.0,58.0
17,59.0,59.0,60.0,60.0,59.0,58.0,59.0,59.0,59.0,57.0,58.0,58.0,58.0,59.0,59.0,58.0
18,61.0,61.0,60.0,60.0,57.0,57.0,57.0,57.0,58.0,59.0,60.0,56.0,58.0,61.0,61.0,56.0
19,62.0,62.0,62.0,62.0,56.0,59.0,56.0,57.0,59.0,59.0,61.0,56.0,59.0,62.0,62.0,56.0
20,62.0,62.0,62.0,62.0,57.0,59.0,57.0,58.0,60.0,59.0,61.0,58.0,60.0,62.0,62.0,58.0
21,60.0,60.0,60.0,60.0,57.0,57.0,57.0,57.0,59.0,60.0,58.0,57.0,59.0,59.0,60.0,57.0
22,60.0,59.0,60.0,60.0,56.0,59.0,56.0,57.0,59.0,60.0,59.0,56.0,60.0,60.0,60.0,56.0
23,60.0,60.0,63.0,63.0,58.0,60.0,58.0,59.0,61.0,60.0,59.0,59.0,61.0,60.0,60.0,59.0
24,62.0,62.0,59.0,59.0,57.0,58.0,57.0,57.0,59.0,60.0,61.0,57.0,59.0,62.0,62.0,57.0
25,63.0,63.0,63.0,63.0,58.0,60.0,58.0,59.0,61.0,61.0,62.0,59.0,61.0,63.0,63.0,59.0
26,63.0,63.0,60.0,60.0,56.0,59.0,56.0,57.0,60.0,61.0,62.0,57.0,59.0,63.0,63.0,57.0
