Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
0,55.0,54.0,51.0,51.0,56.0,48.0,48.0,48.0,56.0,56.0,51.0
1,50.0,56.0,51.0,51.0,50.0,50.0,50.0,50.0,48.0,48.0,52.0
2,50.0,56.0,51.0,51.0,51.0,50.0,50.0,50.0,51.0,51.0,52.0
3,55.0,54.0,51.0,51.0,56.0,47.0,47.0,47.0,57.0,57.0,51.0
4,50.0,56.0,51.0,51.0,50.0,49.0,49.0,49.0,48.0,48.0,52.0
5,50.0,57.0,52.0,52.0,51.0,49.0,49.0,49.0,54.0,54.0,57.0
6,55.0,55.0,51.0,51.0,56.0,48.0,48.0,48.0,58.0,58.0,52.0
7,50.0,56.0,51.0,51.0,51.0,50.0,50.0,50.0,49.0,49.0,52.0
8,50.0,58.0,53.0,53.0,51.0,50.0,50.0,50.0,55.0,55.0,58.0
9,55.0,55.0,51.0,51.0,55.0,58.0,58.0,58.0,55.0,55.0,51.0
10,51.0,58.0,53.0,53.0,51.0,50.0,50.0,50.0,51.0,51.0,58.0
11,53.0,57.0,52.0,52.0,53.0,53.0,53.0,53.0,51.0,51.0,52.0
12,55.0,54.0,51.0,51.0,56.0,57.0,57.0,57.0,56.0,56.0,54.0
13,56.0,57.0,52.0,52.0,57.0,49.0,49.0,49.0,57.0,57.0,57.0
14,56.0,56.0,53.0,53.0,57.0,52.0,52.0,52.0,57.0,57.0,56.0
15,56.0,54.0,51.0,51.0,57.0,54.0,54.0,54.0,57.0,57.0,51.0
16,57.0,56.0,51.0,51.0,58.0,50.0,50.0,50.0,58.0,58.0,53.0
17,57.0,57.0,52.0,52.0,58.0,53.0,53.0,53.0,58.0,58.0,52.0
18,55.0,54.0,50.0,50.0,55.0,46.0,46.0,46.0,57.0,56.0,51.0
19,50.0,56.0,50.0,50.0,50.0,48.0,48.0,48.0,48.0,48.0,52.0
20,50.0,57.0,52.0,52.0,50.0,48.0,48.0,48.0,54.0,53.0,57.0
21,55.0,55.0,51.0,51.0,56.0,47.0,47.0,47.0,58.0,57.0,52.0
22,50.0,56.0,51.0,51.0,51.0,49.0,49.0,49.0,49.0,49.0,52.0
23,50.0,58.0,53.0,53.0,51.0,49.0,49.0,49.0,55.0,54.0,58.0
24,55.0,55.0,51.0,51.0,55.0,57.0,57.0,57.0,55.0,55.0,51.0
25,51.0,58.0,53.0,53.0,51.0,49.0,49.0,49.0,51.0,51.0,58.0
26,53.0,57.0,52.0,52.0,53.0,52.0,52.0,52.0,54.0,54.0,57.0
27,55.0,54.0,50.0,50.0,55.0,56.0,56.0,56.0,56.0,56.0,54.0
28,56.0,57.0,54.0,54.0,57.0,48.0,48.0,48.0,57.0,57.0,57.0
29,56.0,56.0,56.0,56.0,57.0,51.0,51.0,51.0,58.0,58.0,56.0
30,56.0,54.0,51.0,51.0,56.0,53.0,53.0,53.0,57.0,56.0,51.0
31,57.0,56.0,51.0,51.0,58.0,49.0,49.0,49.0,58.0,58.0,53.0
32,57.0,57.0,52.0,52.0,58.0,52.0,52.0,52.0,58.0,58.0,57.0
33,55.0,52.0,51.0,51.0,56.0,48.0,48.0,48.0,56.0,56.0,52.0
34,50.0,52.0,51.0,51.0,52.0,50.0,50.0,50.0,50.0,50.0,52.0
35,50.0,58.0,53.0,53.0,51.0,49.0,49.0,49.0,51.0,51.0,58.0
36,55.0,55.0,51.0,51.0,55.0,58.0,58.0,58.0,55.0,55.0,52.0
37,51.0,58.0,53.0,53.0,51.0,50.0,50.0,50.0,51.0,51.0,58.0
38,53.0,58.0,53.0,53.0,53.0,53.0,53.0,53.0,55.0,55.0,58.0
39,55.0,54.0,51.0,51.0,56.0,57.0,57.0,57.0,57.0,57.0,55.0
40,56.0,57.0,55.0,55.0,57.0,49.0,49.0,49.0,57.0,57.0,57.0
41,56.0,57.0,57.0,57.0,57.0,52.0,52.0,52.0,59.0,59.0,57.0
42,56.0,52.0,51.0,51.0,57.0,54.0,54.0,54.0,57.0,57.0,52.0
43,57.0,53.0,51.0,51.0,58.0,50.0,50.0,50.0,58.0,58.0,53.0
44,57.0,58.0,53.0,53.0,58.0,53.0,53.0,53.0,58.0,58.0,58.0
45,54.0,55.0,52.0,52.0,54.0,57.0,57.0,57.0,54.0,54.0,51.0
46,54.0,58.0,53.0,53.0,54.0,51.0,51.0,51.0,55.0,55.0,58.0
47,54.0,57.0,53.0,53.0,54.0,53.0,53.0,53.0,52.0,52.0,53.0
48,58.0,55.0,58.0,58.0,58.0,57.0,57.0,57.0,57.0,57.0,55.0
49,59.0,57.0,57.0,57.0,59.0,58.0,58.0,58.0,59.0,59.0,57.0
50,59.0,58.0,53.0,53.0,59.0,59.0,59.0,59.0,57.0,57.0,58.0
51,56.0,56.0,59.0,59.0,56.0,57.0,57.0,57.0,56.0,56.0,53.0
52,57.0,58.0,53.0,53.0,58.0,59.0,59.0,59.0,58.0,58.0,58.0
53,57.0,59.0,53.0,53.0,58.0,58.0,58.0,58.0,57.0,58.0,59.0
54,57.0,54.0,57.0,57.0,57.0,56.0,56.0,56.0,56.0,56.0,54.0
55,58.0,56.0,56.0,56.0,58.0,57.0,57.0,57.0,58.0,58.0,56.0
56,58.0,57.0,54.0,54.0,58.0,58.0,58.0,58.0,56.0,56.0,57.0
57,55.0,55.0,58.0,58.0,55.0,57.0,57.0,57.0,56.0,56.0,54.0
58,56.0,57.0,55.0,55.0,57.0,58.0,58.0,58.0,57.0,57.0,57.0
59,56.0,58.0,55.0,55.0,57.0,59.0,59.0,59.0,57.0,57.0,58.0
60,56.0,54.0,52.0,52.0,56.0,53.0,53.0,53.0,56.0,56.0,51.0
61,57.0,53.0,51.0,51.0,58.0,53.0,53.0,53.0,58.0,58.0,53.0
62,57.0,56.0,53.0,53.0,58.0,53.0,53.0,53.0,57.0,58.0,53.0
63,54.0,53.0,49.0,49.0,54.0,45.0,45.0,45.0,56.0,55.0,50.0
64,49.0,55.0,49.0,49.0,49.0,47.0,47.0,47.0,48.0,47.0,51.0
65,49.0,56.0,51.0,51.0,49.0,47.0,47.0,47.0,53.0,52.0,56.0
66,55.0,54.0,50.0,50.0,55.0,46.0,46.0,46.0,57.0,56.0,51.0
67,50.0,56.0,50.0,50.0,50.0,48.0,48.0,48.0,49.0,48.0,52.0
68,50.0,57.0,52.0,52.0,50.0,48.0,48.0,48.0,54.0,53.0,57.0
69,55.0,55.0,50.0,50.0,54.0,56.0,56.0,56.0,55.0,54.0,50.0
70,51.0,57.0,52.0,52.0,50.0,48.0,48.0,48.0,51.0,50.0,57.0
71,53.0,57.0,52.0,52.0,52.0,51.0,51.0,51.0,54.0,53.0,56.0
72,54.0,54.0,50.0,50.0,54.0,55.0,55.0,55.0,56.0,55.0,53.0
73,56.0,56.0,54.0,54.0,56.0,48.0,48.0,48.0,57.0,56.0,56.0
74,56.0,56.0,56.0,56.0,56.0,50.0,50.0,50.0,58.0,57.0,55.0
75,55.0,53.0,50.0,50.0,55.0,52.0,52.0,52.0,56.0,55.0,50.0
76,57.0,55.0,50.0,50.0,57.0,49.0,49.0,49.0,58.0,57.0,52.0
77,57.0,57.0,52.0,52.0,57.0,51.0,51.0,51.0,58.0,57.0,56.0
78,55.0,51.0,50.0,50.0,55.0,47.0,47.0,47.0,56.0,56.0,51.0
79,50.0,52.0,51.0,51.0,51.0,49.0,49.0,49.0,50.0,49.0,52.0
80,50.0,57.0,52.0,52.0,50.0,49.0,49.0,49.0,51.0,51.0,57.0
81,55.0,55.0,51.0,51.0,55.0,57.0,57.0,57.0,55.0,55.0,51.0
82,51.0,57.0,52.0,52.0,51.0,49.0,49.0,49.0,51.0,51.0,57.0
83,53.0,57.0,52.0,52.0,53.0,52.0,52.0,52.0,55.0,54.0,57.0
84,55.0,54.0,51.0,51.0,55.0,56.0,56.0,56.0,57.0,56.0,54.0
85,56.0,56.0,55.0,55.0,56.0,48.0,48.0,48.0,57.0,57.0,56.0
86,56.0,56.0,57.0,57.0,56.0,51.0,51.0,51.0,59.0,58.0,56.0
87,56.0,51.0,51.0,51.0,56.0,53.0,53.0,53.0,57.0,56.0,51.0
88,57.0,52.0,51.0,51.0,57.0,49.0,49.0,49.0,58.0,57.0,52.0
89,57.0,57.0,52.0,52.0,57.0,52.0,52.0,52.0,58.0,57.0,57.0
90,54.0,55.0,52.0,52.0,54.0,56.0,56.0,56.0,54.0,54.0,51.0
91,54.0,57.0,52.0,52.0,54.0,50.0,50.0,50.0,55.0,54.0,57.0
92,54.0,57.0,53.0,53.0,54.0,52.0,52.0,52.0,52.0,52.0,53.0
93,58.0,55.0,58.0,58.0,57.0,56.0,56.0,56.0,57.0,57.0,55.0
94,59.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,59.0,58.0,56.0
95,59.0,58.0,56.0,56.0,59.0,58.0,58.0,58.0,57.0,57.0,58.0
96,56.0,56.0,59.0,59.0,56.0,56.0,56.0,56.0,56.0,56.0,53.0
97,57.0,58.0,52.0,52.0,57.0,58.0,58.0,58.0,58.0,57.0,57.0
98,57.0,59.0,53.0,53.0,58.0,58.0,58.0,58.0,57.0,58.0,59.0
99,57.0,54.0,57.0,57.0,56.0,55.0,55.0,55.0,56.0,56.0,54.0
100,58.0,56.0,56.0,56.0,58.0,57.0,57.0,57.0,58.0,57.0,55.0
101,58.0,57.0,55.0,55.0,58.0,57.0,57.0,57.0,56.0,56.0,57.0
102,55.0,55.0,58.0,58.0,55.0,56.0,56.0,56.0,56.0,55.0,53.0
103,56.0,57.0,55.0,55.0,56.0,58.0,58.0,58.0,57.0,57.0,56.0
104,56.0,58.0,56.0,56.0,57.0,58.0,58.0,58.0,57.0,57.0,58.0
105,56.0,54.0,52.0,52.0,56.0,53.0,53.0,53.0,56.0,56.0,51.0
106,57.0,52.0,51.0,51.0,57.0,52.0,52.0,52.0,58.0,57.0,52.0
107,57.0,56.0,53.0,53.0,58.0,52.0,52.0,52.0,57.0,58.0,53.0
108,49.0,50.0,50.0,50.0,55.0,47.0,47.0,47.0,50.0,56.0,50.0
109,44.0,51.0,51.0,51.0,50.0,49.0,49.0,49.0,44.0,48.0,51.0
110,44.0,52.0,51.0,51.0,50.0,48.0,48.0,48.0,45.0,51.0,52.0
111,49.0,50.0,51.0,51.0,55.0,58.0,58.0,58.0,49.0,55.0,50.0
112,45.0,52.0,51.0,51.0,51.0,49.0,49.0,49.0,45.0,51.0,52.0
113,47.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,49.0,51.0,52.0
114,52.0,49.0,51.0,51.0,55.0,57.0,57.0,57.0,53.0,55.0,50.0
115,50.0,51.0,55.0,55.0,56.0,48.0,48.0,48.0,51.0,57.0,51.0
116,51.0,51.0,57.0,57.0,56.0,51.0,51.0,51.0,53.0,57.0,56.0
117,53.0,50.0,51.0,51.0,56.0,53.0,53.0,53.0,54.0,56.0,50.0
118,51.0,52.0,51.0,51.0,57.0,49.0,49.0,49.0,52.0,57.0,52.0
119,52.0,52.0,52.0,52.0,57.0,52.0,52.0,52.0,53.0,57.0,52.0
120,50.0,51.0,52.0,52.0,54.0,57.0,57.0,57.0,48.0,54.0,51.0
121,48.0,53.0,52.0,52.0,54.0,51.0,51.0,51.0,49.0,52.0,53.0
122,49.0,53.0,53.0,53.0,54.0,53.0,53.0,53.0,47.0,52.0,53.0
123,55.0,52.0,58.0,58.0,58.0,57.0,57.0,57.0,53.0,57.0,55.0
124,53.0,52.0,57.0,57.0,59.0,58.0,58.0,58.0,53.0,57.0,56.0
125,54.0,58.0,57.0,57.0,59.0,59.0,59.0,59.0,52.0,57.0,58.0
126,53.0,53.0,59.0,59.0,56.0,57.0,57.0,57.0,53.0,56.0,53.0
127,51.0,53.0,51.0,51.0,57.0,59.0,59.0,59.0,52.0,57.0,53.0
128,52.0,59.0,53.0,53.0,58.0,58.0,58.0,58.0,52.0,58.0,59.0
129,54.0,51.0,57.0,57.0,57.0,56.0,56.0,56.0,52.0,56.0,54.0
130,52.0,51.0,56.0,56.0,58.0,57.0,57.0,57.0,52.0,56.0,55.0
131,53.0,57.0,56.0,56.0,58.0,58.0,58.0,58.0,54.0,56.0,57.0
132,52.0,52.0,58.0,58.0,55.0,57.0,57.0,57.0,53.0,56.0,52.0
133,52.0,52.0,55.0,55.0,56.0,58.0,58.0,58.0,53.0,57.0,52.0
134,52.0,58.0,57.0,57.0,57.0,59.0,59.0,59.0,54.0,57.0,58.0
135,53.0,51.0,52.0,52.0,56.0,53.0,53.0,53.0,53.0,56.0,51.0
136,52.0,52.0,51.0,51.0,57.0,52.0,52.0,52.0,53.0,57.0,52.0
137,52.0,53.0,53.0,53.0,58.0,53.0,53.0,53.0,53.0,58.0,53.0
138,49.0,52.0,52.0,52.0,53.0,60.0,60.0,60.0,48.0,53.0,52.0
139,47.0,53.0,52.0,52.0,53.0,53.0,53.0,53.0,47.0,52.0,53.0
140,48.0,53.0,53.0,53.0,54.0,55.0,55.0,55.0,47.0,52.0,53.0
141,54.0,52.0,58.0,58.0,57.0,59.0,59.0,59.0,53.0,56.0,55.0
142,52.0,53.0,57.0,57.0,58.0,59.0,59.0,59.0,51.0,57.0,56.0
143,53.0,58.0,53.0,53.0,59.0,59.0,59.0,59.0,52.0,57.0,58.0
