Move,Piece,Rotation,Flip,Row,Col
0,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,2
0,Piece.HIGHWAY_CORNER,Rotation.R90,False,6,2
0,Piece.CORNER_STATION,Rotation.R270,True,6,3
0,Piece.HIGHWAY_T,Rotation.R180,False,0,4
0,Piece.CROSS_JUNCTION,Rotation.I,False,1,1
1,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,2
1,Piece.HIGHWAY_CORNER,Rotation.R90,False,6,2
1,Piece.CORNER_STATION,Rotation.R270,True,6,3
1,Piece.HIGHWAY_T,Rotation.R180,False,0,4
1,Piece.CORNER_JUNCTION,Rotation.R180,False,4,2
2,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,2
2,Piece.HIGHWAY_CORNER,Rotation.R90,False,6,2
2,Piece.CORNER_STATION,Rotation.R270,True,6,3
2,Piece.CROSS_JUNCTION,Rotation.R90,False,4,1
2,Piece.HIGHWAY_T,Rotation.R270,False,5,2
3,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,2
3,Piece.HIGHWAY_CORNER,Rotation.R90,False,6,2
3,Piece.CORNER_STATION,Rotation.R270,True,6,3
3,Piece.HIGHWAY_T,Rotation.R180,False,0,4
3,Piece.THREE_H_JUNCTION,Rotation.R90,False,4,2
4,Piece.HIGHWAY_CORNER,Rotation.R90,False,6,2
4,Piece.CORNER_STATION,Rotation.R270,True,6,3
4,Piece.HIGHWAY_T,Rotation.R180,False,0,4
4,Piece.RAILWAY_JUNCTION,Rotation.I,False,4,1
4,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,5,2
5,Piece.HIGHWAY_CORNER,Rotation.R90,False,6,2
5,Piece.CORNER_STATION,Rotation.R270,True,6,3
5,Piece.HIGHWAY_T,Rotation.R180,False,0,4
5,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,5,2
5,Piece.CROSS_JUNCTION,Rotation.R90,False,2,0
6,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,2
6,Piece.CORNER_STATION,Rotation.R270,True,6,3
6,Piece.HIGHWAY_T,Rotation.R180,False,0,4
6,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,2
6,Piece.CROSS_JUNCTION,Rotation.R90,False,2,0
7,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,2
7,Piece.HIGHWAY_CORNER,Rotation.R90,False,6,2
7,Piece.CORNER_STATION,Rotation.R270,True,6,3
7,Piece.CROSS_JUNCTION,Rotation.I,False,1,1
7,Piece.HIGHWAY_T,Rotation.R270,False,5,2
8,Piece.HIGHWAY_CORNER,Rotation.R90,False,6,2
8,Piece.CORNER_STATION,Rotation.R270,True,6,3
8,Piece.HIGHWAY_T,Rotation.R180,False,0,4
8,Piece.CROSS_JUNCTION,Rotation.I,False,1,1
8,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,5,2
9,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,2
9,Piece.HIGHWAY_T,Rotation.R180,False,0,4
9,Piece.CROSS_JUNCTION,Rotation.I,False,1,1
9,Piece.CORNER_STATION,Rotation.I,False,6,0
9,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,2
10,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,2
10,Piece.HIGHWAY_T,Rotation.R180,False,0,4
10,Piece.RAILWAY_JUNCTION,Rotation.I,False,4,1
10,Piece.CORNER_STATION,Rotation.I,False,6,0
10,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,2
11,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,2
11,Piece.CORNER_STATION,Rotation.R270,True,6,3
11,Piece.HIGHWAY_T,Rotation.R180,False,0,4
11,Piece.CROSS_JUNCTION,Rotation.I,False,1,1
11,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,2
12,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,2
12,Piece.CORNER_STATION,Rotation.R270,True,6,3
12,Piece.HIGHWAY_T,Rotation.R180,False,0,4
12,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,2
12,Piece.RAILWAY_JUNCTION,Rotation.I,False,2,0
13,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,2
13,Piece.HIGHWAY_T,Rotation.R180,False,0,4
13,Piece.CORNER_STATION,Rotation.I,False,6,0
13,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,2
13,Piece.CROSS_JUNCTION,Rotation.R90,False,2,0
14,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,2
14,Piece.CORNER_STATION,Rotation.R270,True,6,3
14,Piece.HIGHWAY_T,Rotation.R180,False,0,4
14,Piece.HIGHWAY_CORNER,Rotation.R270,False,5,2
14,Piece.RAILWAY_JUNCTION,Rotation.I,False,2,0
15,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,2
15,Piece.CORNER_STATION,Rotation.R270,True,6,3
15,Piece.CROSS_JUNCTION,Rotation.I,False,1,1
15,Piece.HIGHWAY_T,Rotation.R270,False,5,2
15,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,2
