Move,Piece,Rotation,Flip,Row,Col
0,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
0,Piece.THREE_R_JUNCTION,Rotation.R90,False,5,5
0,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,4
0,Piece.RAILWAY_T,Rotation.R90,False,5,4
0,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,5
1,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
1,Piece.CORNER_JUNCTION,Rotation.R180,False,5,5
1,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,4
1,Piece.RAILWAY_T,Rotation.R90,False,5,4
1,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,5
2,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6
2,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
2,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,5
2,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,4
2,Piece.RAILWAY_T,Rotation.R90,False,5,4
3,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6
3,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
3,Piece.RAILWAY_T,Rotation.I,False,5,5
3,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,4
3,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,4
4,Piece.STRAIGHT_STATION,Rotation.I,False,6,6
4,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,6
4,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,5
4,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,4
4,Piece.RAILWAY_T,Rotation.R90,False,5,4
5,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6
5,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
5,Piece.RAILWAY_T,Rotation.I,False,5,5
5,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,4
5,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,5
6,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6
6,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
6,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,5
6,Piece.RAILWAY_T,Rotation.R90,False,5,4
6,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,5
7,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6
7,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
7,Piece.RAILWAY_T,Rotation.I,False,5,5
7,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,4
7,Piece.THREE_R_JUNCTION,Rotation.R270,False,5,4
8,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6
8,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
8,Piece.THREE_R_JUNCTION,Rotation.R180,False,5,5
8,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,4
8,Piece.RAILWAY_T,Rotation.R90,False,5,4
9,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
9,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,4
9,Piece.RAILWAY_T,Rotation.R90,False,5,4
9,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,5
9,Piece.CORNER_JUNCTION,Rotation.R90,False,3,5
10,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6
10,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
10,Piece.RAILWAY_T,Rotation.I,False,5,5
10,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,5
10,Piece.THREE_R_JUNCTION,Rotation.R90,False,3,5
11,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
11,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,4
11,Piece.RAILWAY_T,Rotation.R90,False,5,4
11,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,5
11,Piece.THREE_R_JUNCTION,Rotation.R90,False,3,5
12,Piece.STRAIGHT_STATION,Rotation.I,False,6,6
12,Piece.THREE_R_JUNCTION,Rotation.I,False,5,6
12,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,5
12,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,4
12,Piece.RAILWAY_T,Rotation.R90,False,5,4
13,Piece.STRAIGHT_STATION,Rotation.I,False,6,6
13,Piece.RAILWAY_T,Rotation.R180,False,5,6
13,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,5
13,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,4
13,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,4
14,Piece.STRAIGHT_STATION,Rotation.I,False,6,6
14,Piece.RAILWAY_T,Rotation.R180,False,5,6
14,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,5
14,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,4
14,Piece.THREE_R_JUNCTION,Rotation.R270,False,5,4
15,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6
15,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
15,Piece.THREE_R_JUNCTION,Rotation.R180,False,5,5
15,Piece.RAILWAY_T,Rotation.R90,False,5,4
15,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,5
