Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
0,41.0,41.0,40.0,40.0,42.0,42.0,40.0
1,43.0,43.0,41.0,41.0,44.0,44.0,42.0
2,42.0,42.0,42.0,42.0,44.0,44.0,41.0
3,40.0,40.0,40.0,40.0,42.0,42.0,41.0
4,44.0,44.0,44.0,44.0,46.0,46.0,42.0
5,44.0,44.0,44.0,44.0,46.0,46.0,44.0
6,41.0,41.0,40.0,40.0,42.0,42.0,41.0
7,44.0,44.0,44.0,44.0,43.0,43.0,42.0
8,43.0,43.0,42.0,41.0,43.0,43.0,44.0
9,40.0,40.0,40.0,40.0,42.0,42.0,42.0
10,42.0,42.0,41.0,41.0,43.0,43.0,44.0
11,42.0,42.0,42.0,42.0,44.0,44.0,43.0
12,40.0,40.0,40.0,40.0,42.0,42.0,41.0
13,44.0,44.0,44.0,44.0,46.0,46.0,43.0
14,44.0,44.0,44.0,44.0,46.0,46.0,42.0
15,40.0,40.0,40.0,40.0,42.0,42.0,40.0
16,44.0,44.0,44.0,44.0,46.0,46.0,42.0
17,44.0,44.0,44.0,44.0,46.0,46.0,41.0
18,40.0,40.0,39.0,39.0,41.0,41.0,40.0
19,44.0,44.0,44.0,44.0,45.0,45.0,41.0
20,44.0,44.0,44.0,44.0,46.0,46.0,45.0
21,41.0,41.0,40.0,39.0,41.0,41.0,41.0
22,44.0,44.0,44.0,43.0,43.0,43.0,42.0
23,44.0,44.0,44.0,43.0,43.0,43.0,45.0
24,40.0,40.0,40.0,40.0,42.0,42.0,41.0
25,45.0,45.0,45.0,45.0,47.0,47.0,45.0
26,44.0,44.0,44.0,44.0,46.0,46.0,44.0
27,40.0,40.0,39.0,39.0,41.0,41.0,40.0
28,44.0,44.0,44.0,44.0,46.0,46.0,44.0
29,44.0,44.0,44.0,44.0,46.0,46.0,44.0
30,40.0,40.0,39.0,39.0,41.0,41.0,40.0
31,44.0,44.0,44.0,44.0,45.0,45.0,41.0
32,44.0,44.0,44.0,44.0,46.0,46.0,42.0
33,41.0,41.0,40.0,39.0,41.0,41.0,40.0
34,42.0,42.0,41.0,41.0,42.0,42.0,43.0
35,43.0,42.0,41.0,41.0,43.0,43.0,42.0
36,41.0,41.0,40.0,40.0,41.0,41.0,42.0
37,42.0,42.0,41.0,41.0,43.0,43.0,42.0
38,42.0,42.0,42.0,41.0,42.0,42.0,44.0
39,41.0,41.0,40.0,39.0,41.0,41.0,41.0
40,44.0,44.0,44.0,44.0,42.0,42.0,41.0
41,44.0,44.0,44.0,43.0,43.0,43.0,44.0
42,41.0,41.0,40.0,39.0,41.0,41.0,40.0
43,44.0,44.0,44.0,44.0,42.0,42.0,42.0
44,44.0,44.0,44.0,43.0,43.0,43.0,42.0
45,43.0,43.0,43.0,43.0,45.0,45.0,43.0
46,44.0,44.0,44.0,44.0,46.0,46.0,44.0
47,42.0,42.0,42.0,42.0,44.0,44.0,43.0
48,43.0,43.0,43.0,43.0,45.0,45.0,43.0
49,44.0,44.0,44.0,44.0,46.0,46.0,44.0
50,44.0,44.0,44.0,44.0,46.0,46.0,44.0
51,43.0,43.0,43.0,43.0,45.0,45.0,41.0
52,44.0,44.0,44.0,44.0,46.0,46.0,42.0
53,44.0,44.0,44.0,44.0,46.0,46.0,44.0
54,43.0,43.0,43.0,43.0,44.0,44.0,42.0
55,44.0,44.0,44.0,44.0,45.0,45.0,43.0
56,43.0,43.0,43.0,43.0,45.0,45.0,43.0
57,43.0,43.0,43.0,43.0,44.0,44.0,40.0
58,44.0,44.0,44.0,44.0,45.0,45.0,41.0
59,44.0,44.0,44.0,44.0,46.0,46.0,43.0
60,40.0,40.0,39.0,39.0,41.0,41.0,39.0
