Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
0,47.0,47.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,47.0,46.0,46.0,46.0,45.0,45.0
1,50.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,48.0,47.0,47.0
2,49.0,49.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,49.0,48.0,48.0,48.0,47.0,47.0
3,48.0,48.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,48.0,47.0,47.0,47.0,46.0,46.0
4,50.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,48.0,49.0,49.0,49.0,48.0,48.0
5,50.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0,48.0,48.0
6,47.0,47.0,47.0,47.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
7,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
8,49.0,49.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,48.0,47.0,47.0
9,49.0,48.0,48.0,48.0,46.0,46.0,46.0,46.0,50.0,49.0,50.0,50.0,50.0,48.0,48.0
10,50.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0,46.0,46.0
11,50.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,50.0,49.0,49.0,49.0,48.0,48.0
12,48.0,47.0,47.0,47.0,45.0,45.0,45.0,45.0,49.0,49.0,49.0,49.0,49.0,47.0,47.0
13,49.0,47.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
14,50.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,50.0,48.0,48.0,48.0,47.0,47.0
15,49.0,48.0,48.0,48.0,46.0,46.0,46.0,46.0,48.0,49.0,48.0,48.0,48.0,48.0,48.0
16,50.0,48.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
17,51.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,50.0,49.0,49.0,49.0,48.0,48.0
18,48.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,48.0,47.0,47.0
19,50.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0,49.0,49.0,49.0,49.0,49.0
20,50.0,50.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0,49.0,49.0,49.0,49.0,49.0
21,48.0,48.0,48.0,48.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
22,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
23,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
24,50.0,50.0,49.0,49.0,48.0,48.0,48.0,48.0,50.0,50.0,50.0,50.0,50.0,49.0,49.0
25,50.0,49.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,48.0,50.0,50.0,50.0,50.0,50.0
26,50.0,50.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,49.0,49.0
27,49.0,49.0,48.0,48.0,47.0,47.0,47.0,47.0,49.0,49.0,49.0,49.0,49.0,48.0,48.0
28,49.0,48.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
29,49.0,49.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0,49.0,48.0,48.0,48.0,48.0,48.0
30,48.0,48.0,49.0,49.0,47.0,47.0,47.0,47.0,48.0,49.0,48.0,48.0,48.0,49.0,49.0
31,50.0,49.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
32,50.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,50.0,49.0,49.0,49.0,48.0,48.0
33,47.0,48.0,48.0,48.0,47.0,47.0,47.0,47.0,48.0,47.0,48.0,48.0,48.0,48.0,48.0
34,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0,49.0,48.0,48.0,48.0,48.0,48.0
35,49.0,50.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
