Scenario,Roll 0,Roll 1,Roll 2
0,43.0,43.0,42.0
1,44.0,44.0,44.0
2,45.0,45.0,45.0
3,44.0,44.0,47.0
4,44.0,44.0,44.0
5,45.0,45.0,45.0
6,43.0,43.0,43.0
7,45.0,45.0,45.0
8,45.0,45.0,44.0
9,43.0,43.0,45.0
10,45.0,44.0,44.0
11,45.0,45.0,45.0
12,43.0,43.0,44.0
13,44.0,44.0,44.0
14,45.0,44.0,45.0
15,42.0,42.0,42.0
16,44.0,44.0,44.0
17,45.0,44.0,45.0
18,44.0,44.0,47.0
19,46.0,46.0,45.0
20,44.0,44.0,44.0
21,45.0,45.0,47.0
22,47.0,47.0,45.0
23,44.0,44.0,45.0
24,43.0,43.0,44.0
25,44.0,44.0,44.0
26,45.0,44.0,45.0
27,44.0,44.0,44.0
28,46.0,46.0,49.0
29,45.0,44.0,48.0
30,45.0,45.0,43.0
31,47.0,47.0,45.0
32,44.0,44.0,44.0
33,46.0,46.0,43.0
34,48.0,48.0,43.0
35,45.0,45.0,45.0
36,43.0,43.0,44.0
37,45.0,45.0,45.0
38,45.0,45.0,44.0
39,45.0,45.0,43.0
40,47.0,47.0,45.0
41,44.0,44.0,44.0
42,46.0,46.0,41.0
43,48.0,48.0,43.0
44,45.0,45.0,45.0
45,43.0,43.0,43.0
46,45.0,45.0,44.0
47,45.0,45.0,45.0
48,44.0,43.0,44.0
49,44.0,44.0,44.0
50,45.0,45.0,45.0
51,43.0,43.0,43.0
52,45.0,45.0,45.0
53,45.0,44.0,45.0
54,43.0,42.0,44.0
55,46.0,46.0,45.0
56,44.0,44.0,48.0
57,42.0,42.0,44.0
58,47.0,47.0,45.0
59,44.0,44.0,48.0
60,42.0,42.0,42.0
61,44.0,44.0,43.0
62,44.0,44.0,44.0
63,43.0,43.0,46.0
64,45.0,45.0,44.0
65,43.0,43.0,47.0
66,44.0,44.0,46.0
67,46.0,46.0,44.0
68,43.0,43.0,48.0
69,42.0,42.0,43.0
70,43.0,43.0,48.0
71,44.0,43.0,45.0
72,43.0,43.0,43.0
73,45.0,45.0,48.0
74,44.0,43.0,47.0
75,44.0,44.0,43.0
76,46.0,46.0,44.0
77,44.0,44.0,45.0
78,45.0,45.0,43.0
79,47.0,47.0,44.0
80,44.0,44.0,48.0
81,42.0,42.0,43.0
82,44.0,44.0,48.0
83,44.0,44.0,45.0
84,44.0,44.0,43.0
85,46.0,46.0,47.0
86,44.0,44.0,48.0
87,45.0,45.0,43.0
88,47.0,47.0,44.0
89,44.0,44.0,45.0
90,43.0,43.0,44.0
91,44.0,44.0,45.0
92,44.0,44.0,44.0
93,43.0,42.0,43.0
94,43.0,43.0,48.0
95,44.0,44.0,48.0
96,42.0,42.0,43.0
97,44.0,44.0,45.0
98,44.0,44.0,45.0
99,42.0,41.0,43.0
100,45.0,45.0,47.0
101,45.0,45.0,48.0
102,42.0,42.0,43.0
103,46.0,46.0,45.0
104,46.0,46.0,47.0
105,41.0,41.0,43.0
106,43.0,43.0,44.0
107,47.0,47.0,45.0
108,42.0,42.0,39.0
109,44.0,44.0,40.0
110,44.0,44.0,45.0
111,42.0,42.0,44.0
112,44.0,44.0,45.0
113,45.0,45.0,44.0
114,42.0,42.0,43.0
115,43.0,43.0,44.0
116,44.0,44.0,44.0
117,42.0,42.0,40.0
118,44.0,44.0,40.0
119,44.0,44.0,44.0
120,42.0,42.0,43.0
121,43.0,43.0,44.0
122,44.0,44.0,44.0
123,43.0,43.0,43.0
124,43.0,43.0,45.0
125,44.0,44.0,45.0
126,42.0,42.0,43.0
127,44.0,44.0,45.0
128,44.0,44.0,45.0
129,42.0,42.0,43.0
130,42.0,42.0,44.0
131,46.0,46.0,48.0
132,41.0,41.0,43.0
133,43.0,43.0,44.0
134,47.0,47.0,48.0
135,42.0,42.0,40.0
136,44.0,44.0,40.0
137,48.0,48.0,45.0
138,42.0,42.0,43.0
139,44.0,44.0,44.0
140,45.0,45.0,44.0
141,44.0,44.0,43.0
142,44.0,44.0,45.0
143,45.0,45.0,45.0
144,43.0,43.0,43.0
145,44.0,44.0,45.0
146,44.0,44.0,44.0
147,43.0,43.0,43.0
148,44.0,44.0,48.0
149,44.0,44.0,48.0
150,43.0,43.0,43.0
151,44.0,44.0,48.0
152,44.0,44.0,48.0
153,42.0,42.0,43.0
154,44.0,44.0,45.0
155,45.0,45.0,44.0
156,42.0,42.0,43.0
157,45.0,45.0,47.0
158,45.0,45.0,48.0
159,42.0,42.0,43.0
160,46.0,46.0,47.0
161,46.0,46.0,48.0
162,41.0,41.0,43.0
163,47.0,47.0,44.0
164,47.0,47.0,44.0
165,41.0,41.0,39.0
166,44.0,44.0,40.0
167,44.0,44.0,40.0
