Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
0,50.0,50.0,50.0,50.0,50.0,52.0,52.0,49.0,49.0,51.0,50.0,48.0,50.0,54.0,48.0,48.0
1,52.0,52.0,49.0,52.0,52.0,54.0,54.0,50.0,50.0,50.0,49.0,49.0,47.0,51.0,52.0,52.0
2,52.0,52.0,52.0,53.0,53.0,52.0,52.0,51.0,51.0,52.0,51.0,50.0,50.0,52.0,50.0,50.0
3,51.0,51.0,51.0,51.0,51.0,54.0,54.0,50.0,50.0,52.0,51.0,51.0,51.0,54.0,51.0,51.0
4,53.0,53.0,53.0,53.0,53.0,54.0,54.0,52.0,52.0,51.0,50.0,52.0,50.0,54.0,53.0,53.0
5,53.0,53.0,53.0,53.0,53.0,54.0,54.0,52.0,52.0,52.0,51.0,52.0,50.0,54.0,53.0,53.0
6,50.0,50.0,50.0,50.0,50.0,52.0,52.0,50.0,50.0,51.0,50.0,48.0,50.0,54.0,48.0,47.0
7,52.0,52.0,54.0,52.0,52.0,53.0,53.0,50.0,50.0,52.0,51.0,52.0,50.0,53.0,52.0,52.0
8,52.0,52.0,54.0,53.0,53.0,54.0,54.0,51.0,51.0,52.0,51.0,51.0,50.0,53.0,52.0,52.0
9,53.0,53.0,53.0,53.0,53.0,51.0,51.0,50.0,50.0,53.0,53.0,49.0,53.0,52.0,49.0,49.0
10,51.0,51.0,50.0,53.0,53.0,54.0,54.0,52.0,52.0,50.0,50.0,51.0,50.0,50.0,51.0,51.0
11,51.0,51.0,54.0,55.0,55.0,51.0,51.0,52.0,52.0,54.0,54.0,50.0,53.0,51.0,50.0,50.0
12,52.0,52.0,52.0,52.0,52.0,51.0,51.0,50.0,50.0,52.0,52.0,48.0,52.0,52.0,48.0,48.0
13,51.0,51.0,49.0,52.0,52.0,54.0,54.0,51.0,51.0,49.0,49.0,50.0,49.0,50.0,50.0,50.0
14,51.0,51.0,53.0,54.0,54.0,51.0,51.0,51.0,51.0,53.0,53.0,49.0,52.0,50.0,49.0,49.0
15,51.0,51.0,51.0,52.0,52.0,51.0,51.0,49.0,49.0,52.0,51.0,47.0,51.0,52.0,47.0,47.0
16,52.0,52.0,48.0,52.0,52.0,53.0,53.0,51.0,51.0,48.0,48.0,49.0,49.0,51.0,51.0,51.0
17,52.0,52.0,52.0,54.0,54.0,50.0,50.0,52.0,52.0,52.0,52.0,49.0,51.0,51.0,49.0,49.0
18,50.0,50.0,51.0,52.0,52.0,54.0,54.0,50.0,50.0,52.0,51.0,52.0,51.0,54.0,52.0,52.0
19,52.0,52.0,54.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,51.0,52.0,51.0,54.0,53.0,53.0
20,52.0,52.0,54.0,54.0,54.0,54.0,54.0,52.0,52.0,52.0,51.0,52.0,51.0,54.0,54.0,54.0
21,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,50.0,52.0,51.0,51.0,51.0,54.0,51.0,51.0
22,52.0,52.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,52.0,51.0,54.0,53.0,53.0
23,52.0,52.0,53.0,53.0,53.0,54.0,54.0,52.0,52.0,52.0,52.0,52.0,51.0,54.0,53.0,53.0
24,53.0,53.0,54.0,52.0,52.0,51.0,51.0,51.0,51.0,54.0,54.0,52.0,54.0,54.0,52.0,52.0
25,51.0,51.0,52.0,54.0,54.0,54.0,54.0,54.0,54.0,52.0,52.0,54.0,52.0,53.0,54.0,54.0
26,52.0,52.0,53.0,54.0,54.0,50.0,50.0,54.0,54.0,53.0,53.0,51.0,53.0,53.0,54.0,54.0
27,52.0,52.0,53.0,51.0,51.0,51.0,51.0,50.0,50.0,53.0,53.0,51.0,53.0,53.0,51.0,51.0
28,50.0,50.0,51.0,53.0,53.0,54.0,54.0,53.0,53.0,51.0,51.0,53.0,51.0,52.0,53.0,53.0
29,51.0,51.0,53.0,53.0,53.0,50.0,50.0,53.0,53.0,52.0,52.0,50.0,52.0,52.0,53.0,53.0
30,51.0,51.0,52.0,52.0,52.0,51.0,51.0,51.0,51.0,53.0,52.0,50.0,52.0,54.0,50.0,50.0
31,51.0,51.0,50.0,52.0,52.0,53.0,53.0,52.0,52.0,50.0,50.0,52.0,50.0,53.0,52.0,52.0
32,52.0,52.0,52.0,54.0,54.0,50.0,50.0,52.0,52.0,52.0,51.0,50.0,51.0,53.0,52.0,52.0
33,48.0,48.0,50.0,50.0,50.0,51.0,51.0,50.0,50.0,51.0,50.0,48.0,50.0,53.0,47.0,47.0
34,51.0,51.0,51.0,50.0,50.0,51.0,51.0,52.0,52.0,52.0,51.0,51.0,50.0,52.0,50.0,50.0
35,52.0,52.0,51.0,52.0,52.0,50.0,50.0,52.0,52.0,52.0,51.0,51.0,50.0,53.0,52.0,52.0
36,51.0,51.0,53.0,51.0,51.0,51.0,51.0,52.0,52.0,53.0,53.0,49.0,53.0,52.0,49.0,49.0
37,51.0,51.0,53.0,52.0,52.0,52.0,52.0,49.0,49.0,53.0,53.0,52.0,52.0,51.0,51.0,51.0
38,51.0,51.0,54.0,53.0,53.0,51.0,51.0,50.0,50.0,54.0,54.0,51.0,53.0,51.0,51.0,51.0
39,50.0,50.0,52.0,50.0,50.0,51.0,51.0,51.0,51.0,52.0,52.0,48.0,52.0,51.0,48.0,48.0
40,50.0,50.0,52.0,51.0,51.0,52.0,52.0,49.0,49.0,52.0,52.0,51.0,51.0,50.0,50.0,50.0
41,52.0,52.0,54.0,52.0,52.0,51.0,51.0,49.0,49.0,53.0,53.0,50.0,52.0,50.0,50.0,50.0
42,49.0,49.0,51.0,50.0,50.0,51.0,51.0,51.0,51.0,52.0,51.0,47.0,51.0,52.0,47.0,47.0
43,51.0,51.0,51.0,51.0,51.0,51.0,51.0,49.0,49.0,51.0,51.0,51.0,50.0,51.0,51.0,51.0
44,51.0,51.0,53.0,52.0,52.0,50.0,50.0,49.0,49.0,52.0,52.0,49.0,51.0,51.0,51.0,51.0
45,50.0,50.0,52.0,54.0,54.0,50.0,50.0,48.0,48.0,52.0,52.0,50.0,52.0,51.0,50.0,50.0
46,49.0,49.0,49.0,52.0,52.0,50.0,50.0,49.0,49.0,49.0,49.0,49.0,52.0,50.0,50.0,50.0
47,50.0,50.0,54.0,54.0,54.0,51.0,51.0,50.0,50.0,54.0,54.0,50.0,54.0,51.0,50.0,50.0
48,49.0,49.0,53.0,53.0,53.0,50.0,50.0,48.0,48.0,51.0,51.0,49.0,53.0,51.0,49.0,49.0
49,50.0,50.0,50.0,51.0,51.0,51.0,51.0,49.0,49.0,49.0,49.0,50.0,52.0,50.0,51.0,51.0
50,51.0,51.0,55.0,53.0,53.0,51.0,51.0,50.0,50.0,53.0,53.0,50.0,55.0,51.0,49.0,49.0
51,50.0,50.0,52.0,53.0,53.0,49.0,49.0,48.0,48.0,52.0,52.0,48.0,52.0,51.0,48.0,48.0
52,51.0,51.0,49.0,52.0,52.0,50.0,50.0,48.0,48.0,49.0,49.0,50.0,51.0,50.0,52.0,52.0
53,52.0,52.0,54.0,54.0,54.0,50.0,50.0,48.0,48.0,54.0,54.0,50.0,54.0,51.0,50.0,50.0
54,48.0,48.0,52.0,52.0,52.0,49.0,49.0,47.0,47.0,50.0,50.0,49.0,52.0,50.0,48.0,48.0
55,49.0,49.0,49.0,51.0,51.0,50.0,50.0,48.0,48.0,48.0,48.0,49.0,51.0,49.0,50.0,50.0
56,50.0,50.0,54.0,53.0,53.0,50.0,50.0,49.0,49.0,52.0,52.0,50.0,54.0,50.0,49.0,49.0
57,49.0,49.0,51.0,52.0,52.0,49.0,49.0,48.0,48.0,51.0,51.0,48.0,51.0,50.0,47.0,47.0
58,50.0,50.0,49.0,51.0,51.0,50.0,50.0,48.0,48.0,49.0,48.0,49.0,50.0,49.0,51.0,51.0
59,51.0,51.0,53.0,53.0,53.0,49.0,49.0,48.0,48.0,53.0,53.0,50.0,53.0,50.0,49.0,49.0
60,50.0,50.0,50.0,51.0,51.0,49.0,49.0,48.0,48.0,50.0,50.0,47.0,50.0,50.0,46.0,46.0
61,51.0,51.0,48.0,51.0,51.0,50.0,50.0,48.0,48.0,48.0,47.0,49.0,49.0,49.0,50.0,50.0
62,52.0,52.0,52.0,53.0,53.0,47.0,47.0,48.0,48.0,52.0,52.0,49.0,52.0,50.0,48.0,48.0
63,50.0,50.0,51.0,51.0,51.0,53.0,53.0,50.0,50.0,52.0,51.0,52.0,51.0,54.0,51.0,51.0
64,52.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,51.0,53.0,52.0,52.0
65,52.0,52.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,51.0,52.0,51.0,53.0,53.0,53.0
66,50.0,50.0,51.0,51.0,51.0,50.0,50.0,50.0,50.0,52.0,51.0,52.0,51.0,54.0,51.0,51.0
67,51.0,51.0,52.0,53.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,53.0,53.0,53.0
68,52.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,52.0,51.0,53.0,53.0,53.0
69,52.0,52.0,54.0,53.0,53.0,50.0,50.0,51.0,51.0,54.0,54.0,53.0,54.0,54.0,53.0,53.0
70,50.0,50.0,53.0,54.0,54.0,53.0,53.0,54.0,54.0,53.0,53.0,54.0,53.0,53.0,54.0,54.0
71,52.0,52.0,53.0,53.0,53.0,50.0,50.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
72,51.0,51.0,53.0,52.0,52.0,50.0,50.0,50.0,50.0,53.0,53.0,52.0,53.0,53.0,52.0,52.0
73,49.0,49.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,53.0,52.0,52.0,53.0,53.0
74,51.0,51.0,54.0,52.0,52.0,50.0,50.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
75,50.0,50.0,52.0,51.0,51.0,50.0,50.0,51.0,51.0,53.0,52.0,51.0,52.0,54.0,51.0,51.0
76,50.0,50.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,51.0,52.0,51.0,53.0,52.0,52.0
77,51.0,51.0,53.0,53.0,53.0,50.0,50.0,52.0,52.0,51.0,51.0,51.0,51.0,53.0,53.0,53.0
78,51.0,51.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0,52.0,51.0,51.0,51.0,54.0,50.0,50.0
79,51.0,51.0,52.0,50.0,50.0,50.0,50.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,50.0,50.0
80,51.0,51.0,52.0,52.0,52.0,50.0,50.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,52.0,52.0
81,51.0,51.0,54.0,52.0,52.0,50.0,50.0,52.0,52.0,54.0,54.0,52.0,54.0,54.0,52.0,52.0
82,50.0,50.0,54.0,51.0,51.0,51.0,51.0,52.0,52.0,54.0,54.0,52.0,53.0,53.0,51.0,51.0
83,51.0,51.0,54.0,52.0,52.0,50.0,50.0,52.0,52.0,54.0,54.0,51.0,53.0,53.0,52.0,52.0
84,50.0,50.0,53.0,51.0,51.0,50.0,50.0,51.0,51.0,53.0,53.0,51.0,53.0,53.0,51.0,51.0
85,49.0,49.0,53.0,50.0,50.0,51.0,51.0,52.0,52.0,53.0,53.0,51.0,52.0,52.0,50.0,50.0
86,51.0,51.0,53.0,51.0,51.0,50.0,50.0,52.0,52.0,53.0,53.0,51.0,52.0,52.0,51.0,51.0
87,50.0,50.0,52.0,50.0,50.0,50.0,50.0,51.0,51.0,53.0,52.0,50.0,52.0,54.0,50.0,50.0
88,50.0,50.0,52.0,51.0,51.0,50.0,50.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,51.0,51.0
89,50.0,50.0,52.0,52.0,52.0,50.0,50.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,52.0,52.0
90,50.0,50.0,53.0,53.0,53.0,49.0,49.0,51.0,51.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
91,49.0,49.0,52.0,51.0,51.0,49.0,49.0,48.0,48.0,52.0,52.0,49.0,52.0,51.0,51.0,51.0
92,51.0,51.0,53.0,53.0,53.0,50.0,50.0,49.0,49.0,53.0,53.0,50.0,53.0,51.0,53.0,53.0
93,49.0,49.0,54.0,52.0,52.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,54.0,52.0,52.0,52.0
94,49.0,49.0,53.0,51.0,51.0,50.0,50.0,48.0,48.0,51.0,51.0,50.0,53.0,51.0,51.0,51.0
95,50.0,50.0,54.0,52.0,52.0,50.0,50.0,49.0,49.0,52.0,52.0,50.0,54.0,50.0,52.0,52.0
96,50.0,50.0,53.0,53.0,53.0,48.0,48.0,51.0,51.0,53.0,53.0,51.0,53.0,53.0,51.0,51.0
97,50.0,50.0,52.0,52.0,52.0,49.0,49.0,47.0,47.0,52.0,52.0,49.0,52.0,51.0,52.0,52.0
98,51.0,51.0,53.0,53.0,53.0,49.0,49.0,48.0,48.0,53.0,53.0,50.0,53.0,51.0,53.0,53.0
99,48.0,48.0,53.0,51.0,51.0,48.0,48.0,51.0,51.0,51.0,51.0,51.0,53.0,51.0,51.0,51.0
100,48.0,48.0,52.0,50.0,50.0,49.0,49.0,47.0,47.0,50.0,50.0,49.0,52.0,50.0,50.0,50.0
101,49.0,49.0,53.0,52.0,52.0,49.0,49.0,48.0,48.0,51.0,51.0,50.0,53.0,49.0,52.0,52.0
102,49.0,49.0,52.0,52.0,52.0,48.0,48.0,51.0,51.0,52.0,52.0,51.0,52.0,52.0,50.0,50.0
103,49.0,49.0,51.0,51.0,51.0,49.0,49.0,47.0,47.0,51.0,51.0,49.0,51.0,50.0,51.0,51.0
104,50.0,50.0,52.0,52.0,52.0,48.0,48.0,48.0,48.0,52.0,52.0,50.0,52.0,50.0,52.0,52.0
105,49.0,49.0,51.0,51.0,51.0,48.0,48.0,51.0,51.0,51.0,51.0,47.0,51.0,51.0,46.0,46.0
106,50.0,50.0,50.0,51.0,51.0,49.0,49.0,47.0,47.0,50.0,50.0,48.0,50.0,50.0,50.0,50.0
107,51.0,51.0,51.0,53.0,53.0,47.0,47.0,48.0,48.0,51.0,51.0,48.0,51.0,50.0,50.0,50.0
108,43.0,43.0,50.0,49.0,49.0,46.0,46.0,50.0,50.0,51.0,50.0,44.0,49.0,50.0,45.0,44.0
109,44.0,44.0,50.0,49.0,49.0,49.0,49.0,52.0,52.0,50.0,50.0,49.0,49.0,50.0,49.0,49.0
110,49.0,49.0,51.0,51.0,51.0,48.0,48.0,52.0,52.0,52.0,51.0,48.0,49.0,51.0,49.0,49.0
111,49.0,49.0,53.0,51.0,51.0,46.0,46.0,52.0,52.0,53.0,53.0,45.0,52.0,50.0,45.0,45.0
112,49.0,49.0,52.0,49.0,49.0,51.0,51.0,52.0,52.0,52.0,52.0,51.0,51.0,50.0,51.0,51.0
113,50.0,50.0,54.0,51.0,51.0,49.0,49.0,52.0,52.0,54.0,54.0,48.0,51.0,51.0,49.0,49.0
114,48.0,48.0,52.0,50.0,50.0,46.0,46.0,51.0,51.0,52.0,52.0,44.0,51.0,49.0,44.0,44.0
115,49.0,49.0,51.0,48.0,48.0,51.0,51.0,52.0,52.0,51.0,51.0,50.0,50.0,49.0,50.0,50.0
116,49.0,49.0,53.0,50.0,50.0,50.0,50.0,52.0,52.0,53.0,53.0,47.0,50.0,50.0,48.0,48.0
117,44.0,44.0,51.0,49.0,49.0,46.0,46.0,51.0,51.0,51.0,51.0,45.0,50.0,50.0,43.0,43.0
118,44.0,44.0,50.0,49.0,49.0,50.0,50.0,52.0,52.0,50.0,50.0,49.0,49.0,50.0,49.0,49.0
119,49.0,49.0,52.0,51.0,51.0,49.0,49.0,52.0,52.0,52.0,52.0,47.0,49.0,51.0,49.0,49.0
120,50.0,50.0,52.0,46.0,46.0,47.0,47.0,52.0,52.0,52.0,52.0,45.0,52.0,50.0,45.0,45.0
121,50.0,50.0,51.0,45.0,45.0,50.0,50.0,49.0,49.0,51.0,51.0,48.0,50.0,50.0,48.0,48.0
122,50.0,50.0,52.0,46.0,46.0,49.0,49.0,48.0,48.0,52.0,52.0,50.0,51.0,51.0,50.0,50.0
123,49.0,49.0,53.0,45.0,45.0,48.0,48.0,53.0,53.0,51.0,51.0,45.0,53.0,50.0,44.0,44.0
124,49.0,49.0,51.0,48.0,48.0,50.0,50.0,48.0,48.0,50.0,50.0,48.0,51.0,49.0,48.0,47.0
125,51.0,51.0,53.0,48.0,48.0,50.0,50.0,49.0,49.0,52.0,52.0,49.0,52.0,50.0,49.0,49.0
126,49.0,49.0,52.0,45.0,45.0,47.0,47.0,52.0,52.0,52.0,52.0,45.0,52.0,51.0,44.0,44.0
127,48.0,48.0,51.0,47.0,47.0,50.0,50.0,47.0,47.0,51.0,51.0,48.0,50.0,50.0,48.0,48.0
128,50.0,50.0,52.0,49.0,49.0,49.0,49.0,48.0,48.0,52.0,52.0,48.0,51.0,51.0,49.0,49.0
129,48.0,48.0,52.0,44.0,44.0,48.0,48.0,52.0,52.0,50.0,50.0,45.0,52.0,49.0,43.0,43.0
130,48.0,48.0,50.0,47.0,47.0,49.0,49.0,47.0,47.0,50.0,49.0,48.0,50.0,48.0,47.0,46.0
131,50.0,50.0,52.0,48.0,48.0,49.0,49.0,48.0,48.0,52.0,51.0,48.0,51.0,49.0,48.0,48.0
132,49.0,49.0,51.0,44.0,44.0,47.0,47.0,51.0,51.0,51.0,51.0,44.0,51.0,50.0,43.0,43.0
133,49.0,49.0,51.0,48.0,48.0,50.0,50.0,48.0,48.0,51.0,50.0,49.0,49.0,49.0,48.0,47.0
134,49.0,49.0,53.0,48.0,48.0,49.0,49.0,48.0,48.0,53.0,52.0,48.0,50.0,50.0,48.0,48.0
135,44.0,44.0,50.0,43.0,43.0,44.0,44.0,51.0,51.0,50.0,50.0,43.0,50.0,50.0,42.0,42.0
136,44.0,44.0,50.0,45.0,45.0,50.0,50.0,47.0,47.0,50.0,49.0,48.0,48.0,50.0,47.0,46.0
137,49.0,49.0,52.0,49.0,49.0,47.0,47.0,48.0,48.0,52.0,51.0,46.0,49.0,50.0,46.0,46.0
138,51.0,51.0,49.0,44.0,44.0,48.0,48.0,45.0,45.0,49.0,49.0,44.0,46.0,50.0,44.0,44.0
139,48.0,48.0,47.0,43.0,43.0,49.0,49.0,47.0,47.0,47.0,47.0,47.0,50.0,47.0,44.0,44.0
140,49.0,49.0,46.0,45.0,44.0,50.0,50.0,48.0,48.0,45.0,45.0,47.0,47.0,49.0,47.0,47.0
141,51.0,51.0,50.0,45.0,45.0,48.0,48.0,46.0,46.0,50.0,50.0,46.0,50.0,50.0,44.0,44.0
142,48.0,48.0,47.0,47.0,47.0,49.0,49.0,49.0,49.0,47.0,47.0,48.0,51.0,48.0,44.0,44.0
143,50.0,50.0,47.0,47.0,47.0,50.0,50.0,49.0,49.0,44.0,44.0,48.0,51.0,48.0,48.0,48.0
144,50.0,50.0,51.0,44.0,44.0,47.0,47.0,46.0,46.0,51.0,51.0,47.0,51.0,49.0,45.0,45.0
145,49.0,49.0,48.0,45.0,45.0,49.0,49.0,47.0,47.0,48.0,48.0,47.0,50.0,48.0,45.0,45.0
146,49.0,49.0,46.0,47.0,46.0,49.0,49.0,48.0,48.0,45.0,45.0,49.0,52.0,49.0,49.0,49.0
147,50.0,50.0,51.0,45.0,45.0,48.0,48.0,46.0,46.0,50.0,50.0,46.0,51.0,50.0,44.0,44.0
148,47.0,47.0,48.0,48.0,48.0,49.0,49.0,50.0,50.0,46.0,46.0,47.0,52.0,47.0,43.0,43.0
149,49.0,49.0,48.0,47.0,47.0,50.0,50.0,48.0,48.0,44.0,44.0,47.0,52.0,48.0,47.0,47.0
150,50.0,50.0,52.0,45.0,45.0,48.0,48.0,47.0,47.0,50.0,50.0,47.0,52.0,49.0,44.0,44.0
151,48.0,48.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,47.0,47.0,47.0,51.0,48.0,44.0,44.0
152,49.0,49.0,47.0,47.0,47.0,50.0,50.0,49.0,49.0,45.0,44.0,48.0,53.0,48.0,48.0,48.0
153,49.0,49.0,51.0,43.0,42.0,47.0,47.0,46.0,46.0,51.0,51.0,43.0,51.0,49.0,43.0,43.0
154,47.0,47.0,48.0,45.0,45.0,48.0,48.0,47.0,47.0,48.0,48.0,46.0,50.0,48.0,44.0,44.0
155,49.0,49.0,46.0,47.0,46.0,49.0,49.0,48.0,48.0,45.0,45.0,48.0,52.0,48.0,47.0,47.0
156,49.0,49.0,50.0,44.0,44.0,47.0,47.0,46.0,46.0,49.0,49.0,45.0,50.0,49.0,43.0,43.0
157,46.0,46.0,47.0,47.0,47.0,49.0,49.0,49.0,49.0,45.0,45.0,46.0,51.0,46.0,42.0,42.0
158,48.0,48.0,47.0,46.0,46.0,49.0,49.0,48.0,48.0,43.0,43.0,46.0,51.0,47.0,46.0,46.0
159,49.0,49.0,51.0,44.0,44.0,47.0,47.0,46.0,46.0,49.0,49.0,46.0,51.0,48.0,43.0,43.0
160,47.0,47.0,48.0,48.0,48.0,49.0,49.0,48.0,48.0,46.0,46.0,46.0,50.0,47.0,43.0,43.0
161,48.0,48.0,46.0,47.0,47.0,49.0,49.0,48.0,48.0,44.0,43.0,47.0,52.0,47.0,47.0,47.0
162,49.0,49.0,50.0,43.0,43.0,46.0,46.0,47.0,47.0,50.0,50.0,43.0,50.0,49.0,42.0,42.0
163,48.0,48.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,47.0,47.0,45.0,49.0,47.0,44.0,43.0
164,48.0,48.0,45.0,47.0,47.0,48.0,48.0,48.0,48.0,45.0,44.0,47.0,51.0,47.0,46.0,46.0
165,44.0,44.0,49.0,41.0,40.0,44.0,44.0,46.0,46.0,49.0,49.0,42.0,49.0,48.0,41.0,40.0
166,43.0,43.0,46.0,43.0,43.0,48.0,48.0,47.0,47.0,46.0,46.0,43.0,48.0,47.0,43.0,42.0
167,49.0,49.0,43.0,46.0,46.0,46.0,46.0,48.0,48.0,44.0,43.0,44.0,50.0,47.0,43.0,43.0
