Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
0,47.0,46.0,46.0,44.0,48.0,44.0,45.0,46.0,46.0,45.0
1,48.0,48.0,48.0,44.0,48.0,44.0,45.0,48.0,48.0,45.0
2,49.0,48.0,48.0,45.0,50.0,45.0,45.0,48.0,48.0,45.0
3,48.0,48.0,47.0,45.0,48.0,45.0,46.0,47.0,47.0,46.0
4,49.0,48.0,49.0,44.0,48.0,44.0,46.0,49.0,49.0,48.0
5,49.0,48.0,49.0,45.0,50.0,45.0,47.0,49.0,49.0,48.0
6,48.0,46.0,44.0,44.0,47.0,44.0,45.0,46.0,46.0,45.0
7,48.0,48.0,46.0,44.0,49.0,44.0,45.0,48.0,48.0,45.0
8,48.0,48.0,46.0,44.0,47.0,44.0,47.0,48.0,48.0,49.0
9,49.0,46.0,44.0,49.0,45.0,49.0,48.0,48.0,48.0,48.0
10,46.0,47.0,45.0,46.0,45.0,46.0,43.0,48.0,48.0,43.0
11,46.0,46.0,46.0,46.0,46.0,46.0,41.0,48.0,48.0,43.0
12,48.0,45.0,43.0,48.0,46.0,48.0,47.0,47.0,47.0,47.0
13,45.0,46.0,44.0,45.0,44.0,45.0,42.0,47.0,47.0,42.0
14,46.0,45.0,45.0,45.0,45.0,45.0,41.0,47.0,47.0,42.0
15,46.0,46.0,44.0,43.0,47.0,44.0,48.0,48.0,48.0,48.0
16,46.0,45.0,44.0,41.0,45.0,42.0,43.0,48.0,48.0,43.0
17,46.0,45.0,46.0,41.0,45.0,42.0,41.0,48.0,48.0,43.0
18,48.0,48.0,47.0,45.0,48.0,45.0,46.0,47.0,47.0,46.0
19,49.0,49.0,48.0,46.0,49.0,46.0,46.0,49.0,49.0,48.0
20,50.0,48.0,49.0,46.0,50.0,46.0,47.0,49.0,49.0,48.0
21,48.0,47.0,45.0,44.0,47.0,44.0,46.0,46.0,46.0,46.0
22,50.0,49.0,47.0,47.0,49.0,47.0,46.0,48.0,48.0,48.0
23,49.0,49.0,47.0,47.0,49.0,47.0,47.0,48.0,48.0,49.0
