Scenario,Roll 0,Roll 1,Roll 2,Roll 3
0,27.0,26.0,26.0,24.0
1,27.0,27.0,27.0,25.0
2,29.0,27.0,27.0,26.0
3,26.0,28.0,25.0,25.0
4,27.0,28.0,28.0,26.0
5,29.0,28.0,28.0,29.0
6,27.0,27.0,26.0,26.0
7,27.0,27.0,27.0,27.0
8,29.0,28.0,28.0,29.0
9,28.0,27.0,26.0,28.0
10,28.0,27.0,27.0,28.0
11,28.0,28.0,29.0,30.0
12,27.0,26.0,25.0,27.0
13,27.0,26.0,26.0,29.0
14,27.0,28.0,28.0,30.0
15,25.0,26.0,25.0,24.0
16,26.0,26.0,26.0,25.0
17,27.0,29.0,29.0,26.0
18,25.0,28.0,25.0,25.0
19,27.0,28.0,28.0,25.0
20,28.0,28.0,28.0,29.0
21,26.0,27.0,25.0,26.0
22,27.0,28.0,28.0,26.0
23,29.0,27.0,27.0,29.0
24,27.0,26.0,26.0,28.0
25,29.0,30.0,30.0,28.0
26,29.0,27.0,28.0,30.0
27,26.0,25.0,25.0,27.0
28,28.0,29.0,29.0,29.0
29,28.0,28.0,28.0,30.0
30,25.0,25.0,25.0,24.0
31,26.0,28.0,28.0,25.0
32,28.0,29.0,29.0,28.0
33,26.0,27.0,26.0,24.0
34,27.0,27.0,28.0,25.0
35,29.0,27.0,27.0,29.0
36,28.0,26.0,25.0,28.0
37,29.0,26.0,27.0,28.0
38,29.0,27.0,27.0,30.0
39,27.0,25.0,25.0,27.0
40,28.0,28.0,28.0,29.0
41,28.0,28.0,26.0,30.0
42,25.0,25.0,25.0,24.0
43,26.0,29.0,29.0,25.0
44,28.0,27.0,27.0,28.0
45,27.0,25.0,25.0,28.0
46,27.0,27.0,28.0,28.0
47,27.0,27.0,28.0,30.0
48,26.0,26.0,26.0,27.0
49,26.0,27.0,27.0,29.0
50,26.0,30.0,27.0,30.0
51,27.0,26.0,26.0,27.0
52,27.0,27.0,28.0,27.0
53,27.0,30.0,28.0,29.0
54,25.0,25.0,25.0,26.0
55,25.0,26.0,26.0,28.0
56,25.0,29.0,26.0,30.0
57,26.0,25.0,25.0,26.0
58,26.0,26.0,27.0,28.0
59,26.0,29.0,27.0,30.0
60,23.0,25.0,25.0,23.0
61,25.0,26.0,28.0,24.0
62,25.0,26.0,26.0,27.0
63,28.0,27.0,24.0,24.0
64,27.0,27.0,27.0,24.0
65,27.0,27.0,27.0,28.0
66,29.0,26.0,24.0,25.0
67,28.0,27.0,27.0,25.0
68,28.0,26.0,26.0,28.0
69,26.0,25.0,25.0,27.0
70,28.0,29.0,29.0,27.0
71,28.0,26.0,27.0,29.0
72,25.0,24.0,24.0,26.0
73,27.0,28.0,28.0,28.0
74,27.0,27.0,27.0,29.0
75,24.0,24.0,24.0,23.0
76,27.0,27.0,27.0,24.0
77,27.0,28.0,28.0,27.0
78,30.0,26.0,25.0,23.0
79,29.0,26.0,27.0,25.0
80,28.0,26.0,26.0,28.0
81,27.0,25.0,24.0,27.0
82,28.0,25.0,26.0,28.0
83,28.0,26.0,26.0,29.0
84,26.0,24.0,24.0,26.0
85,28.0,27.0,27.0,28.0
86,27.0,27.0,26.0,29.0
87,24.0,24.0,24.0,23.0
88,28.0,28.0,28.0,24.0
89,27.0,27.0,27.0,27.0
90,26.0,24.0,24.0,27.0
91,26.0,27.0,27.0,28.0
92,27.0,27.0,27.0,29.0
93,25.0,25.0,25.0,26.0
94,25.0,28.0,28.0,28.0
95,26.0,29.0,28.0,29.0
96,26.0,25.0,25.0,26.0
97,26.0,27.0,27.0,27.0
98,27.0,29.0,27.0,28.0
99,24.0,24.0,24.0,25.0
100,26.0,27.0,27.0,27.0
101,25.0,28.0,27.0,30.0
