Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
0,45.0,45.0,47.0,47.0,47.0,47.0
1,47.0,46.0,50.0,49.0,49.0,50.0
2,47.0,47.0,50.0,49.0,49.0,47.0
3,47.0,46.0,47.0,48.0,48.0,47.0
4,50.0,50.0,50.0,49.0,49.0,50.0
5,49.0,48.0,50.0,49.0,49.0,49.0
6,45.0,45.0,46.0,47.0,47.0,46.0
7,49.0,46.0,50.0,49.0,49.0,50.0
8,49.0,47.0,50.0,49.0,49.0,49.0
9,47.0,46.0,50.0,49.0,49.0,50.0
10,50.0,48.0,51.0,50.0,50.0,51.0
11,49.0,48.0,50.0,51.0,51.0,50.0
12,46.0,46.0,50.0,48.0,48.0,50.0
13,49.0,47.0,51.0,49.0,49.0,51.0
14,48.0,48.0,49.0,50.0,50.0,49.0
15,45.0,46.0,46.0,49.0,49.0,46.0
16,47.0,47.0,51.0,50.0,50.0,51.0
17,47.0,48.0,50.0,51.0,51.0,50.0
18,47.0,45.0,46.0,47.0,47.0,46.0
19,50.0,50.0,49.0,49.0,49.0,49.0
20,49.0,49.0,50.0,51.0,51.0,49.0
21,46.0,46.0,46.0,48.0,48.0,46.0
22,50.0,50.0,50.0,49.0,49.0,50.0
23,49.0,50.0,50.0,51.0,51.0,49.0
24,47.0,47.0,50.0,50.0,50.0,50.0
25,51.0,51.0,51.0,51.0,51.0,51.0
26,51.0,48.0,50.0,51.0,51.0,50.0
27,46.0,47.0,50.0,49.0,49.0,50.0
28,50.0,51.0,51.0,50.0,50.0,51.0
29,50.0,47.0,49.0,50.0,50.0,49.0
30,45.0,47.0,46.0,50.0,50.0,46.0
31,50.0,51.0,51.0,50.0,50.0,51.0
32,49.0,48.0,50.0,51.0,51.0,50.0
33,45.0,45.0,45.0,47.0,47.0,45.0
34,46.0,46.0,46.0,49.0,49.0,46.0
35,47.0,47.0,47.0,49.0,49.0,47.0
36,47.0,46.0,49.0,49.0,49.0,49.0
37,47.0,48.0,47.0,50.0,50.0,47.0
38,49.0,48.0,50.0,51.0,51.0,48.0
39,46.0,46.0,48.0,48.0,48.0,48.0
40,46.0,47.0,46.0,50.0,50.0,46.0
41,48.0,48.0,49.0,50.0,50.0,49.0
42,45.0,46.0,46.0,49.0,49.0,46.0
43,47.0,47.0,46.0,50.0,50.0,46.0
44,47.0,48.0,50.0,51.0,51.0,50.0
45,47.0,46.0,50.0,49.0,49.0,50.0
46,50.0,48.0,50.0,50.0,50.0,50.0
47,50.0,49.0,52.0,50.0,50.0,52.0
48,46.0,51.0,51.0,49.0,49.0,50.0
49,50.0,47.0,50.0,49.0,49.0,50.0
50,50.0,48.0,52.0,49.0,49.0,52.0
51,47.0,51.0,50.0,49.0,49.0,50.0
52,50.0,48.0,51.0,50.0,50.0,51.0
53,50.0,49.0,52.0,50.0,50.0,52.0
54,45.0,51.0,50.0,48.0,48.0,49.0
55,49.0,46.0,49.0,48.0,48.0,49.0
56,49.0,47.0,51.0,48.0,48.0,51.0
57,46.0,51.0,49.0,49.0,49.0,49.0
58,49.0,47.0,50.0,49.0,49.0,50.0
59,49.0,48.0,51.0,49.0,49.0,51.0
60,45.0,46.0,46.0,48.0,48.0,46.0
61,47.0,47.0,46.0,48.0,48.0,46.0
62,47.0,47.0,51.0,50.0,50.0,51.0
63,46.0,45.0,45.0,46.0,46.0,45.0
64,49.0,49.0,48.0,48.0,48.0,48.0
65,48.0,48.0,49.0,51.0,51.0,48.0
66,45.0,46.0,45.0,47.0,47.0,45.0
67,49.0,50.0,49.0,48.0,48.0,49.0
68,49.0,49.0,50.0,51.0,51.0,48.0
69,47.0,46.0,50.0,49.0,49.0,49.0
70,50.0,51.0,50.0,51.0,51.0,50.0
71,51.0,49.0,50.0,50.0,50.0,49.0
72,46.0,46.0,49.0,48.0,48.0,49.0
73,49.0,50.0,50.0,50.0,50.0,50.0
74,50.0,49.0,49.0,49.0,49.0,48.0
75,45.0,46.0,46.0,49.0,49.0,45.0
76,49.0,51.0,50.0,49.0,49.0,50.0
77,49.0,47.0,50.0,50.0,50.0,49.0
78,45.0,45.0,45.0,46.0,46.0,45.0
79,47.0,47.0,46.0,48.0,48.0,46.0
80,47.0,46.0,47.0,48.0,48.0,47.0
81,47.0,46.0,49.0,48.0,48.0,49.0
82,51.0,48.0,47.0,49.0,49.0,47.0
83,49.0,50.0,50.0,50.0,50.0,48.0
84,46.0,46.0,48.0,47.0,47.0,48.0
85,50.0,47.0,46.0,49.0,49.0,46.0
86,48.0,50.0,49.0,49.0,49.0,49.0
87,45.0,46.0,46.0,48.0,48.0,46.0
88,49.0,48.0,46.0,49.0,49.0,46.0
89,49.0,48.0,50.0,50.0,50.0,50.0
90,47.0,46.0,50.0,49.0,49.0,50.0
91,51.0,47.0,50.0,50.0,50.0,50.0
92,51.0,48.0,52.0,49.0,49.0,52.0
93,46.0,51.0,51.0,48.0,48.0,50.0
94,51.0,47.0,50.0,49.0,49.0,50.0
95,50.0,47.0,52.0,49.0,49.0,52.0
96,46.0,51.0,50.0,49.0,49.0,50.0
97,51.0,47.0,51.0,50.0,50.0,51.0
98,51.0,48.0,52.0,49.0,49.0,52.0
99,45.0,50.0,50.0,47.0,47.0,49.0
100,50.0,46.0,49.0,48.0,48.0,49.0
101,49.0,46.0,51.0,48.0,48.0,51.0
102,45.0,50.0,49.0,48.0,48.0,49.0
103,50.0,47.0,50.0,49.0,49.0,50.0
104,50.0,47.0,51.0,49.0,49.0,51.0
105,44.0,46.0,46.0,47.0,47.0,46.0
106,49.0,47.0,46.0,48.0,48.0,46.0
107,49.0,47.0,51.0,49.0,49.0,51.0
108,41.0,41.0,40.0,44.0,44.0,40.0
109,46.0,43.0,41.0,46.0,46.0,42.0
110,43.0,46.0,45.0,48.0,48.0,45.0
111,43.0,42.0,44.0,45.0,45.0,44.0
112,47.0,46.0,42.0,48.0,48.0,42.0
113,46.0,47.0,45.0,50.0,50.0,45.0
114,42.0,42.0,43.0,44.0,44.0,43.0
115,46.0,45.0,41.0,47.0,47.0,41.0
116,45.0,46.0,44.0,49.0,49.0,44.0
117,41.0,42.0,41.0,45.0,45.0,41.0
118,46.0,44.0,42.0,47.0,47.0,42.0
119,45.0,47.0,45.0,50.0,50.0,45.0
120,43.0,46.0,45.0,46.0,46.0,45.0
121,50.0,47.0,45.0,50.0,50.0,45.0
122,47.0,48.0,47.0,50.0,50.0,47.0
123,43.0,46.0,46.0,45.0,45.0,45.0
124,50.0,46.0,45.0,49.0,49.0,45.0
125,46.0,47.0,47.0,50.0,50.0,47.0
126,44.0,46.0,45.0,46.0,46.0,45.0
127,50.0,47.0,46.0,50.0,50.0,46.0
128,46.0,48.0,47.0,50.0,50.0,47.0
129,42.0,45.0,45.0,44.0,44.0,44.0
130,49.0,46.0,44.0,48.0,48.0,44.0
131,45.0,47.0,46.0,49.0,49.0,46.0
132,43.0,45.0,44.0,45.0,45.0,44.0
133,49.0,46.0,45.0,49.0,49.0,45.0
134,46.0,47.0,46.0,50.0,50.0,46.0
135,40.0,43.0,41.0,46.0,46.0,42.0
136,46.0,44.0,42.0,48.0,48.0,42.0
137,45.0,47.0,46.0,50.0,50.0,46.0
138,44.0,47.0,45.0,47.0,47.0,45.0
