Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
0,41.0,41.0,41.0,39.0,39.0,40.0,39.0,42.0,40.0,36.0,39.0,40.0
1,43.0,43.0,42.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,43.0,42.0
2,43.0,43.0,42.0,42.0,42.0,42.0,43.0,43.0,42.0,38.0,42.0,42.0
3,43.0,42.0,41.0,42.0,41.0,42.0,40.0,42.0,41.0,37.0,40.0,40.0
4,43.0,43.0,42.0,43.0,43.0,42.0,42.0,42.0,42.0,41.0,42.0,42.0
5,43.0,43.0,43.0,42.0,42.0,42.0,44.0,43.0,42.0,40.0,42.0,42.0
6,42.0,41.0,41.0,41.0,40.0,41.0,39.0,42.0,41.0,37.0,41.0,41.0
7,43.0,43.0,43.0,43.0,42.0,42.0,43.0,42.0,42.0,42.0,42.0,42.0
8,44.0,44.0,44.0,42.0,42.0,43.0,43.0,42.0,43.0,39.0,43.0,43.0
9,42.0,42.0,42.0,41.0,40.0,41.0,39.0,42.0,41.0,42.0,41.0,40.0
10,44.0,44.0,42.0,44.0,44.0,43.0,44.0,42.0,42.0,43.0,42.0,42.0
11,43.0,43.0,42.0,42.0,42.0,42.0,43.0,42.0,43.0,43.0,42.0,43.0
12,42.0,41.0,41.0,41.0,40.0,41.0,38.0,41.0,40.0,41.0,40.0,40.0
13,43.0,43.0,41.0,43.0,43.0,42.0,43.0,41.0,42.0,42.0,41.0,42.0
14,43.0,43.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,42.0,41.0,43.0
15,41.0,40.0,40.0,40.0,39.0,40.0,38.0,41.0,40.0,36.0,40.0,40.0
16,42.0,42.0,41.0,42.0,42.0,41.0,40.0,41.0,42.0,42.0,41.0,42.0
17,43.0,43.0,42.0,42.0,42.0,42.0,40.0,42.0,43.0,39.0,42.0,43.0
18,42.0,42.0,42.0,41.0,40.0,41.0,40.0,42.0,41.0,37.0,40.0,40.0
19,43.0,43.0,42.0,43.0,42.0,42.0,43.0,42.0,42.0,40.0,42.0,41.0
20,43.0,43.0,43.0,42.0,42.0,42.0,44.0,42.0,42.0,40.0,42.0,42.0
21,43.0,43.0,43.0,41.0,41.0,42.0,39.0,41.0,41.0,38.0,40.0,41.0
22,43.0,43.0,43.0,43.0,42.0,42.0,44.0,42.0,42.0,41.0,41.0,42.0
23,44.0,44.0,44.0,42.0,42.0,43.0,43.0,42.0,43.0,41.0,43.0,43.0
24,42.0,43.0,42.0,41.0,42.0,42.0,40.0,41.0,41.0,43.0,41.0,40.0
25,44.0,44.0,43.0,44.0,44.0,43.0,43.0,42.0,42.0,44.0,42.0,42.0
26,43.0,43.0,43.0,42.0,42.0,42.0,44.0,42.0,43.0,44.0,42.0,43.0
27,41.0,42.0,41.0,40.0,41.0,41.0,39.0,41.0,40.0,42.0,40.0,40.0
