Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
0,48.0,47.0,45.0,47.0,46.0,48.0,46.0,46.0
1,45.0,47.0,47.0,47.0,46.0,48.0,46.0,46.0
2,43.0,50.0,47.0,50.0,49.0,50.0,49.0,49.0
3,47.0,47.0,48.0,47.0,46.0,48.0,46.0,46.0
4,48.0,48.0,50.0,48.0,46.0,48.0,46.0,46.0
5,47.0,51.0,50.0,51.0,48.0,50.0,48.0,48.0
6,48.0,47.0,47.0,47.0,45.0,47.0,45.0,44.0
7,49.0,49.0,49.0,49.0,46.0,49.0,46.0,44.0
8,48.0,50.0,51.0,50.0,49.0,49.0,49.0,49.0
9,43.0,47.0,47.0,47.0,45.0,47.0,44.0,44.0
10,47.0,46.0,51.0,46.0,47.0,46.0,47.0,45.0
11,44.0,51.0,47.0,51.0,48.0,47.0,48.0,48.0
12,47.0,47.0,46.0,47.0,44.0,46.0,43.0,43.0
13,48.0,47.0,50.0,47.0,46.0,47.0,46.0,46.0
14,44.0,51.0,46.0,51.0,47.0,46.0,47.0,47.0
15,48.0,47.0,43.0,47.0,44.0,47.0,44.0,42.0
16,49.0,48.0,49.0,48.0,45.0,48.0,45.0,43.0
17,45.0,48.0,47.0,48.0,46.0,45.0,46.0,46.0
18,48.0,47.0,47.0,47.0,46.0,47.0,45.0,45.0
19,49.0,49.0,49.0,49.0,49.0,49.0,47.0,47.0
20,47.0,50.0,49.0,50.0,49.0,49.0,49.0,49.0
21,49.0,48.0,48.0,48.0,47.0,48.0,45.0,45.0
22,50.0,50.0,50.0,50.0,50.0,50.0,48.0,48.0
23,48.0,49.0,50.0,49.0,49.0,48.0,48.0,48.0
24,44.0,47.0,48.0,47.0,49.0,47.0,49.0,49.0
25,46.0,48.0,50.0,48.0,50.0,46.0,48.0,48.0
26,48.0,50.0,50.0,50.0,48.0,47.0,48.0,48.0
27,48.0,47.0,47.0,47.0,48.0,46.0,48.0,48.0
28,49.0,48.0,49.0,48.0,49.0,48.0,47.0,47.0
29,47.0,50.0,49.0,50.0,47.0,46.0,47.0,47.0
30,49.0,48.0,44.0,48.0,45.0,47.0,43.0,43.0
31,50.0,49.0,50.0,49.0,46.0,49.0,44.0,43.0
32,47.0,48.0,50.0,48.0,46.0,47.0,46.0,46.0
33,48.0,48.0,46.0,48.0,45.0,48.0,45.0,45.0
34,49.0,49.0,48.0,49.0,45.0,49.0,45.0,45.0
35,49.0,50.0,51.0,50.0,50.0,49.0,48.0,48.0
36,43.0,47.0,47.0,47.0,50.0,45.0,48.0,48.0
37,47.0,49.0,51.0,49.0,51.0,47.0,49.0,49.0
38,49.0,50.0,49.0,50.0,49.0,48.0,49.0,49.0
39,47.0,47.0,46.0,47.0,49.0,45.0,47.0,47.0
40,48.0,49.0,50.0,49.0,50.0,47.0,48.0,48.0
41,48.0,50.0,48.0,50.0,48.0,47.0,48.0,48.0
42,48.0,46.0,43.0,46.0,46.0,46.0,44.0,44.0
43,49.0,48.0,48.0,48.0,44.0,48.0,44.0,44.0
44,48.0,49.0,49.0,49.0,45.0,48.0,46.0,46.0
45,43.0,47.0,45.0,47.0,44.0,45.0,43.0,43.0
46,43.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
47,44.0,49.0,47.0,49.0,49.0,47.0,49.0,49.0
48,44.0,47.0,46.0,47.0,49.0,45.0,47.0,47.0
49,46.0,46.0,50.0,46.0,50.0,46.0,48.0,48.0
50,46.0,49.0,50.0,49.0,48.0,47.0,48.0,48.0
51,45.0,47.0,47.0,47.0,50.0,45.0,48.0,48.0
52,47.0,47.0,51.0,47.0,51.0,47.0,49.0,49.0
53,46.0,49.0,51.0,49.0,47.0,46.0,47.0,47.0
54,43.0,46.0,45.0,46.0,48.0,44.0,46.0,46.0
55,49.0,46.0,49.0,46.0,49.0,46.0,47.0,47.0
56,46.0,48.0,49.0,48.0,47.0,46.0,47.0,47.0
57,44.0,47.0,46.0,47.0,49.0,45.0,47.0,47.0
58,50.0,47.0,50.0,47.0,50.0,47.0,48.0,48.0
59,47.0,49.0,50.0,49.0,46.0,45.0,46.0,46.0
60,42.0,46.0,43.0,46.0,42.0,46.0,42.0,42.0
61,44.0,48.0,48.0,48.0,42.0,48.0,43.0,43.0
62,47.0,46.0,49.0,46.0,45.0,46.0,45.0,43.0
63,47.0,46.0,46.0,46.0,45.0,46.0,45.0,45.0
64,48.0,48.0,48.0,48.0,48.0,48.0,46.0,46.0
65,48.0,49.0,48.0,49.0,48.0,48.0,48.0,48.0
66,48.0,47.0,47.0,47.0,46.0,47.0,46.0,46.0
67,49.0,49.0,49.0,49.0,49.0,49.0,47.0,47.0
68,49.0,49.0,49.0,49.0,48.0,49.0,48.0,48.0
69,48.0,46.0,47.0,46.0,48.0,46.0,48.0,48.0
70,47.0,47.0,49.0,47.0,49.0,47.0,49.0,49.0
71,47.0,49.0,49.0,49.0,49.0,46.0,49.0,49.0
72,47.0,46.0,46.0,46.0,47.0,45.0,47.0,47.0
73,48.0,47.0,48.0,47.0,48.0,47.0,48.0,48.0
74,48.0,49.0,48.0,49.0,48.0,45.0,48.0,48.0
75,48.0,47.0,43.0,47.0,45.0,46.0,45.0,45.0
76,49.0,48.0,49.0,48.0,47.0,48.0,47.0,47.0
77,49.0,47.0,49.0,47.0,46.0,46.0,46.0,46.0
78,47.0,47.0,45.0,47.0,46.0,47.0,47.0,47.0
79,49.0,49.0,47.0,49.0,48.0,49.0,48.0,48.0
80,48.0,50.0,50.0,50.0,49.0,50.0,49.0,49.0
81,49.0,46.0,46.0,46.0,49.0,46.0,48.0,48.0
82,48.0,48.0,50.0,48.0,50.0,48.0,50.0,50.0
83,48.0,49.0,48.0,49.0,49.0,47.0,50.0,50.0
84,48.0,46.0,45.0,46.0,48.0,45.0,47.0,47.0
85,49.0,48.0,49.0,48.0,49.0,47.0,49.0,49.0
86,49.0,49.0,47.0,49.0,48.0,46.0,49.0,49.0
87,48.0,46.0,42.0,46.0,46.0,46.0,46.0,46.0
88,50.0,48.0,47.0,48.0,48.0,48.0,48.0,48.0
89,50.0,48.0,48.0,48.0,47.0,47.0,47.0,47.0
90,47.0,46.0,48.0,46.0,49.0,44.0,49.0,49.0
91,48.0,45.0,46.0,45.0,48.0,45.0,48.0,48.0
92,43.0,48.0,50.0,48.0,48.0,46.0,48.0,48.0
93,48.0,46.0,47.0,46.0,48.0,44.0,48.0,48.0
94,47.0,46.0,49.0,46.0,49.0,46.0,49.0,48.0
95,46.0,48.0,49.0,48.0,49.0,46.0,50.0,50.0
96,48.0,46.0,48.0,46.0,49.0,45.0,49.0,49.0
97,48.0,47.0,50.0,47.0,50.0,47.0,50.0,49.0
98,47.0,48.0,50.0,48.0,50.0,45.0,51.0,51.0
99,47.0,45.0,46.0,45.0,47.0,43.0,47.0,47.0
100,48.0,45.0,48.0,45.0,48.0,45.0,48.0,47.0
101,46.0,47.0,48.0,47.0,48.0,45.0,49.0,49.0
102,47.0,46.0,47.0,46.0,48.0,44.0,48.0,48.0
103,49.0,46.0,49.0,46.0,49.0,46.0,49.0,48.0
104,47.0,48.0,49.0,48.0,49.0,46.0,50.0,50.0
