Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
0,44.0,44.0,45.0,48.0,46.0,46.0,44.0,44.0,45.0,41.0,41.0,46.0,46.0,42.0
1,44.0,44.0,45.0,44.0,44.0,47.0,45.0,45.0,46.0,43.0,43.0,47.0,46.0,44.0
2,43.0,44.0,42.0,42.0,43.0,46.0,48.0,48.0,45.0,43.0,43.0,44.0,46.0,43.0
3,45.0,45.0,46.0,49.0,48.0,47.0,47.0,47.0,47.0,45.0,45.0,48.0,46.0,46.0
4,45.0,46.0,45.0,45.0,45.0,49.0,47.0,47.0,46.0,45.0,46.0,48.0,49.0,47.0
5,45.0,46.0,45.0,46.0,44.0,48.0,48.0,48.0,46.0,45.0,46.0,48.0,47.0,47.0
6,45.0,45.0,46.0,47.0,46.0,47.0,46.0,46.0,47.0,41.0,41.0,48.0,46.0,43.0
7,44.0,44.0,45.0,44.0,45.0,49.0,48.0,48.0,46.0,43.0,43.0,48.0,49.0,44.0
8,44.0,44.0,45.0,42.0,43.0,48.0,46.0,46.0,45.0,44.0,44.0,48.0,47.0,44.0
9,44.0,44.0,45.0,47.0,47.0,47.0,48.0,48.0,46.0,42.0,42.0,47.0,46.0,44.0
10,44.0,44.0,44.0,46.0,45.0,47.0,45.0,45.0,46.0,44.0,44.0,47.0,46.0,44.0
11,44.0,44.0,43.0,43.0,45.0,45.0,48.0,48.0,46.0,43.0,43.0,45.0,47.0,43.0
12,46.0,46.0,47.0,48.0,47.0,47.0,47.0,47.0,48.0,45.0,45.0,48.0,47.0,48.0
13,46.0,46.0,47.0,50.0,48.0,47.0,44.0,44.0,49.0,43.0,43.0,48.0,47.0,44.0
14,46.0,46.0,47.0,49.0,49.0,47.0,47.0,47.0,47.0,42.0,42.0,47.0,46.0,44.0
15,46.0,46.0,46.0,48.0,48.0,48.0,44.0,44.0,48.0,46.0,46.0,49.0,48.0,42.0
16,47.0,47.0,48.0,49.0,49.0,47.0,44.0,44.0,50.0,43.0,43.0,49.0,46.0,45.0
17,47.0,47.0,48.0,50.0,50.0,47.0,46.0,46.0,48.0,43.0,43.0,47.0,47.0,45.0
18,45.0,45.0,46.0,49.0,49.0,46.0,48.0,48.0,48.0,45.0,45.0,49.0,45.0,46.0
19,45.0,45.0,44.0,46.0,45.0,48.0,46.0,46.0,46.0,45.0,45.0,47.0,49.0,46.0
20,45.0,46.0,45.0,46.0,45.0,48.0,47.0,47.0,46.0,45.0,46.0,48.0,47.0,46.0
21,45.0,45.0,46.0,48.0,48.0,46.0,47.0,47.0,48.0,43.0,43.0,49.0,46.0,45.0
22,45.0,46.0,44.0,45.0,44.0,48.0,47.0,47.0,45.0,45.0,46.0,47.0,49.0,45.0
23,45.0,46.0,45.0,45.0,45.0,48.0,47.0,47.0,46.0,45.0,46.0,48.0,47.0,45.0
24,45.0,45.0,46.0,48.0,48.0,46.0,48.0,48.0,47.0,43.0,43.0,46.0,46.0,46.0
25,45.0,45.0,45.0,47.0,46.0,46.0,45.0,45.0,46.0,45.0,45.0,46.0,46.0,45.0
26,46.0,46.0,47.0,45.0,46.0,47.0,47.0,47.0,47.0,46.0,46.0,47.0,47.0,45.0
27,47.0,47.0,48.0,50.0,48.0,46.0,47.0,47.0,49.0,46.0,46.0,49.0,47.0,50.0
28,48.0,48.0,49.0,50.0,49.0,46.0,44.0,44.0,50.0,46.0,46.0,48.0,46.0,45.0
29,47.0,47.0,48.0,49.0,49.0,47.0,46.0,46.0,48.0,45.0,45.0,48.0,46.0,45.0
30,47.0,47.0,46.0,49.0,49.0,47.0,46.0,46.0,48.0,47.0,47.0,48.0,48.0,43.0
31,47.0,47.0,47.0,50.0,50.0,46.0,45.0,45.0,49.0,45.0,45.0,48.0,46.0,45.0
32,47.0,47.0,47.0,50.0,50.0,47.0,47.0,47.0,48.0,46.0,46.0,49.0,47.0,45.0
33,45.0,45.0,46.0,47.0,46.0,42.0,46.0,46.0,45.0,41.0,41.0,45.0,43.0,43.0
34,43.0,44.0,42.0,44.0,44.0,44.0,46.0,46.0,44.0,43.0,43.0,45.0,46.0,44.0
35,44.0,44.0,45.0,42.0,45.0,47.0,46.0,46.0,44.0,42.0,43.0,46.0,46.0,44.0
36,44.0,44.0,45.0,47.0,47.0,45.0,49.0,49.0,45.0,42.0,42.0,46.0,44.0,44.0
37,45.0,45.0,46.0,46.0,46.0,45.0,46.0,46.0,45.0,43.0,44.0,46.0,46.0,44.0
38,45.0,45.0,46.0,45.0,45.0,47.0,46.0,46.0,45.0,43.0,43.0,47.0,46.0,44.0
39,46.0,46.0,47.0,48.0,47.0,47.0,48.0,48.0,46.0,45.0,45.0,49.0,45.0,48.0
40,49.0,49.0,50.0,50.0,48.0,45.0,45.0,45.0,49.0,42.0,43.0,48.0,47.0,44.0
41,47.0,47.0,48.0,49.0,48.0,47.0,47.0,47.0,47.0,42.0,42.0,48.0,46.0,44.0
42,46.0,46.0,46.0,48.0,48.0,48.0,45.0,45.0,47.0,46.0,46.0,47.0,46.0,42.0
43,46.0,47.0,47.0,49.0,49.0,44.0,46.0,46.0,46.0,43.0,43.0,46.0,45.0,45.0
44,46.0,47.0,47.0,49.0,49.0,47.0,48.0,48.0,47.0,43.0,43.0,49.0,46.0,45.0
45,43.0,43.0,44.0,44.0,50.0,44.0,47.0,47.0,45.0,42.0,42.0,44.0,45.0,43.0
46,44.0,44.0,45.0,45.0,46.0,47.0,47.0,47.0,45.0,44.0,44.0,47.0,45.0,43.0
47,46.0,46.0,47.0,44.0,46.0,46.0,48.0,48.0,47.0,43.0,44.0,46.0,46.0,43.0
48,47.0,47.0,48.0,48.0,50.0,48.0,47.0,47.0,47.0,46.0,46.0,48.0,46.0,47.0
49,47.0,47.0,48.0,50.0,50.0,50.0,47.0,47.0,47.0,45.0,45.0,50.0,47.0,47.0
50,47.0,47.0,48.0,49.0,49.0,47.0,48.0,48.0,47.0,44.0,44.0,47.0,46.0,47.0
51,45.0,45.0,46.0,45.0,50.0,47.0,47.0,47.0,46.0,45.0,45.0,47.0,45.0,43.0
52,46.0,46.0,47.0,45.0,46.0,46.0,48.0,48.0,47.0,44.0,44.0,47.0,46.0,45.0
53,48.0,48.0,49.0,50.0,50.0,47.0,48.0,48.0,48.0,44.0,44.0,47.0,47.0,45.0
54,47.0,47.0,48.0,48.0,50.0,48.0,47.0,47.0,48.0,46.0,46.0,50.0,48.0,47.0
55,49.0,49.0,50.0,50.0,50.0,49.0,46.0,46.0,49.0,47.0,47.0,51.0,49.0,49.0
56,48.0,48.0,49.0,49.0,49.0,47.0,48.0,48.0,50.0,47.0,47.0,48.0,48.0,49.0
57,47.0,47.0,47.0,48.0,50.0,48.0,48.0,48.0,49.0,47.0,47.0,48.0,49.0,47.0
58,48.0,48.0,48.0,50.0,50.0,50.0,47.0,47.0,49.0,48.0,48.0,50.0,50.0,49.0
59,49.0,49.0,50.0,50.0,50.0,48.0,48.0,48.0,51.0,48.0,48.0,49.0,49.0,49.0
60,45.0,46.0,46.0,45.0,50.0,47.0,45.0,45.0,46.0,45.0,46.0,47.0,47.0,40.0
61,47.0,48.0,47.0,45.0,45.0,46.0,45.0,45.0,47.0,47.0,48.0,46.0,48.0,45.0
62,48.0,48.0,49.0,47.0,49.0,47.0,45.0,45.0,51.0,47.0,48.0,49.0,48.0,45.0
63,45.0,45.0,45.0,49.0,48.0,45.0,47.0,47.0,47.0,44.0,44.0,48.0,44.0,46.0
64,44.0,44.0,43.0,46.0,45.0,47.0,47.0,47.0,45.0,45.0,45.0,46.0,48.0,47.0
65,45.0,45.0,44.0,46.0,45.0,47.0,47.0,47.0,45.0,45.0,45.0,47.0,46.0,47.0
66,45.0,45.0,45.0,49.0,49.0,45.0,48.0,48.0,47.0,43.0,43.0,48.0,45.0,45.0
67,44.0,45.0,43.0,46.0,45.0,47.0,48.0,48.0,44.0,44.0,45.0,46.0,48.0,45.0
68,45.0,46.0,44.0,45.0,45.0,47.0,48.0,48.0,46.0,45.0,46.0,47.0,46.0,45.0
69,46.0,46.0,46.0,49.0,49.0,45.0,47.0,47.0,46.0,43.0,43.0,45.0,45.0,46.0
70,45.0,45.0,44.0,46.0,48.0,45.0,44.0,44.0,45.0,44.0,44.0,45.0,45.0,45.0
71,46.0,46.0,46.0,46.0,48.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,44.0
72,47.0,47.0,47.0,49.0,49.0,45.0,46.0,46.0,48.0,46.0,46.0,48.0,46.0,49.0
73,47.0,47.0,48.0,50.0,48.0,45.0,43.0,43.0,49.0,45.0,45.0,47.0,45.0,46.0
74,47.0,47.0,47.0,50.0,49.0,46.0,45.0,45.0,47.0,45.0,45.0,47.0,45.0,46.0
75,47.0,47.0,45.0,50.0,50.0,46.0,45.0,45.0,47.0,47.0,47.0,47.0,47.0,42.0
76,47.0,47.0,46.0,49.0,49.0,45.0,44.0,44.0,48.0,44.0,45.0,47.0,45.0,45.0
77,47.0,47.0,46.0,50.0,50.0,46.0,46.0,46.0,47.0,46.0,46.0,48.0,46.0,45.0
78,45.0,45.0,45.0,48.0,47.0,42.0,47.0,47.0,44.0,42.0,42.0,44.0,42.0,44.0
79,43.0,43.0,42.0,45.0,45.0,45.0,47.0,47.0,43.0,42.0,43.0,46.0,45.0,43.0
80,43.0,44.0,44.0,44.0,45.0,46.0,47.0,47.0,44.0,42.0,43.0,45.0,45.0,44.0
81,45.0,45.0,44.0,48.0,48.0,44.0,48.0,48.0,46.0,43.0,43.0,45.0,43.0,46.0
82,44.0,44.0,45.0,45.0,48.0,44.0,45.0,45.0,44.0,44.0,45.0,45.0,45.0,43.0
83,45.0,45.0,45.0,45.0,48.0,46.0,47.0,47.0,44.0,44.0,45.0,46.0,45.0,45.0
84,46.0,46.0,46.0,50.0,48.0,46.0,47.0,47.0,45.0,46.0,46.0,48.0,44.0,50.0
85,48.0,48.0,49.0,50.0,48.0,44.0,44.0,44.0,48.0,43.0,44.0,47.0,46.0,45.0
86,47.0,47.0,47.0,49.0,48.0,46.0,46.0,46.0,46.0,43.0,44.0,47.0,46.0,45.0
87,47.0,47.0,45.0,49.0,49.0,47.0,44.0,44.0,46.0,47.0,47.0,47.0,45.0,43.0
88,46.0,47.0,47.0,48.0,48.0,44.0,45.0,45.0,46.0,43.0,44.0,45.0,45.0,44.0
89,46.0,47.0,47.0,49.0,49.0,46.0,47.0,47.0,46.0,44.0,45.0,48.0,46.0,44.0
90,43.0,43.0,43.0,44.0,49.0,44.0,46.0,46.0,46.0,43.0,43.0,45.0,45.0,44.0
