Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
0,42.0,47.0,43.0,43.0,42.0,37.0,37.0,37.0,37.0,42.0,39.0
1,43.0,42.0,39.0,39.0,42.0,39.0,43.0,43.0,39.0,40.0,40.0
2,44.0,44.0,41.0,41.0,42.0,42.0,42.0,42.0,42.0,40.0,41.0
3,42.0,47.0,47.0,47.0,46.0,40.0,40.0,40.0,40.0,42.0,43.0
4,47.0,42.0,42.0,42.0,44.0,43.0,44.0,44.0,43.0,41.0,42.0
5,47.0,44.0,44.0,44.0,45.0,43.0,44.0,44.0,43.0,42.0,43.0
6,42.0,46.0,48.0,48.0,41.0,37.0,37.0,37.0,37.0,41.0,41.0
7,44.0,42.0,43.0,43.0,42.0,42.0,42.0,42.0,42.0,41.0,41.0
8,44.0,44.0,45.0,45.0,44.0,39.0,40.0,40.0,39.0,43.0,42.0
9,42.0,46.0,43.0,43.0,42.0,43.0,43.0,43.0,43.0,44.0,39.0
10,46.0,42.0,40.0,40.0,43.0,46.0,46.0,46.0,46.0,43.0,43.0
11,45.0,44.0,41.0,41.0,42.0,45.0,45.0,45.0,45.0,43.0,41.0
12,44.0,46.0,42.0,42.0,44.0,42.0,42.0,42.0,42.0,43.0,42.0
13,47.0,44.0,40.0,40.0,43.0,45.0,45.0,45.0,45.0,42.0,42.0
14,46.0,46.0,41.0,41.0,43.0,44.0,44.0,44.0,44.0,42.0,41.0
15,45.0,46.0,43.0,43.0,45.0,43.0,43.0,43.0,43.0,42.0,43.0
16,43.0,45.0,41.0,41.0,44.0,40.0,40.0,40.0,40.0,41.0,43.0
17,43.0,45.0,42.0,42.0,44.0,40.0,43.0,43.0,40.0,40.0,42.0
18,42.0,47.0,47.0,47.0,46.0,40.0,40.0,40.0,40.0,42.0,44.0
19,46.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,41.0,42.0
20,47.0,44.0,44.0,44.0,45.0,43.0,44.0,44.0,43.0,42.0,43.0
21,43.0,46.0,48.0,48.0,44.0,41.0,41.0,41.0,41.0,41.0,45.0
22,47.0,42.0,44.0,44.0,43.0,43.0,44.0,44.0,43.0,41.0,42.0
23,47.0,44.0,45.0,45.0,44.0,43.0,44.0,44.0,43.0,43.0,43.0
24,44.0,46.0,45.0,45.0,44.0,45.0,45.0,45.0,45.0,44.0,43.0
25,48.0,42.0,44.0,44.0,45.0,47.0,47.0,47.0,47.0,43.0,44.0
26,48.0,44.0,44.0,44.0,44.0,46.0,46.0,46.0,46.0,43.0,44.0
27,46.0,46.0,44.0,44.0,46.0,44.0,44.0,44.0,44.0,43.0,45.0
28,47.0,44.0,44.0,44.0,45.0,46.0,46.0,46.0,46.0,42.0,46.0
29,47.0,46.0,45.0,45.0,47.0,45.0,45.0,45.0,45.0,42.0,45.0
30,47.0,46.0,44.0,44.0,46.0,45.0,45.0,45.0,45.0,42.0,45.0
31,47.0,45.0,45.0,45.0,46.0,44.0,44.0,44.0,44.0,41.0,47.0
32,47.0,45.0,45.0,45.0,46.0,44.0,44.0,44.0,44.0,41.0,46.0
33,40.0,43.0,45.0,45.0,40.0,36.0,36.0,36.0,36.0,38.0,41.0
34,42.0,42.0,43.0,43.0,42.0,38.0,39.0,39.0,38.0,41.0,40.0
35,43.0,41.0,44.0,44.0,42.0,39.0,40.0,40.0,39.0,42.0,42.0
36,42.0,44.0,45.0,45.0,42.0,43.0,43.0,43.0,43.0,43.0,39.0
37,46.0,42.0,43.0,43.0,43.0,46.0,46.0,46.0,46.0,43.0,43.0
38,45.0,43.0,45.0,45.0,43.0,45.0,45.0,45.0,45.0,43.0,43.0
39,44.0,46.0,45.0,45.0,44.0,42.0,42.0,42.0,42.0,43.0,42.0
40,47.0,45.0,44.0,44.0,42.0,45.0,45.0,45.0,45.0,43.0,42.0
41,46.0,46.0,46.0,46.0,43.0,44.0,44.0,44.0,44.0,42.0,42.0
42,45.0,44.0,45.0,45.0,45.0,43.0,43.0,43.0,43.0,42.0,43.0
43,42.0,45.0,45.0,45.0,43.0,39.0,39.0,39.0,39.0,41.0,43.0
44,44.0,45.0,45.0,45.0,44.0,42.0,42.0,42.0,42.0,42.0,43.0
45,42.0,44.0,42.0,42.0,41.0,44.0,44.0,44.0,44.0,44.0,40.0
46,47.0,44.0,41.0,41.0,42.0,45.0,45.0,45.0,45.0,43.0,44.0
47,47.0,44.0,41.0,41.0,43.0,45.0,45.0,45.0,45.0,43.0,41.0
