Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
0,57.0,50.0,55.0,50.0,50.0
1,58.0,51.0,55.0,51.0,51.0
2,57.0,51.0,54.0,52.0,52.0
3,56.0,52.0,56.0,52.0,52.0
4,57.0,51.0,57.0,53.0,53.0
5,57.0,53.0,56.0,53.0,53.0
6,56.0,52.0,56.0,50.0,50.0
7,58.0,51.0,57.0,52.0,52.0
8,57.0,51.0,55.0,52.0,52.0
9,55.0,55.0,54.0,54.0,54.0
10,57.0,54.0,54.0,54.0,54.0
11,57.0,57.0,54.0,55.0,55.0
12,54.0,54.0,56.0,55.0,55.0
13,57.0,53.0,57.0,53.0,53.0
14,58.0,56.0,56.0,54.0,54.0
15,55.0,55.0,57.0,56.0,56.0
16,58.0,54.0,58.0,54.0,54.0
17,58.0,53.0,57.0,55.0,55.0
18,55.0,52.0,56.0,52.0,52.0
19,61.0,55.0,58.0,55.0,55.0
20,57.0,53.0,55.0,54.0,54.0
21,55.0,52.0,56.0,52.0,52.0
22,61.0,55.0,58.0,55.0,55.0
23,58.0,53.0,54.0,54.0,54.0
24,54.0,55.0,54.0,55.0,55.0
25,58.0,54.0,54.0,55.0,55.0
26,58.0,57.0,56.0,55.0,55.0
27,55.0,54.0,56.0,55.0,55.0
28,57.0,55.0,58.0,54.0,54.0
29,57.0,56.0,58.0,54.0,54.0
30,56.0,55.0,57.0,56.0,56.0
31,57.0,56.0,59.0,54.0,54.0
32,57.0,57.0,59.0,55.0,55.0
33,55.0,52.0,55.0,50.0,50.0
34,57.0,51.0,53.0,54.0,54.0
35,57.0,51.0,53.0,55.0,55.0
36,53.0,55.0,53.0,55.0,55.0
37,57.0,54.0,55.0,55.0,55.0
38,57.0,54.0,55.0,54.0,54.0
39,55.0,54.0,56.0,55.0,55.0
40,57.0,56.0,57.0,54.0,54.0
41,57.0,57.0,58.0,53.0,53.0
42,56.0,55.0,57.0,56.0,56.0
43,58.0,57.0,58.0,54.0,54.0
44,57.0,58.0,59.0,53.0,53.0
45,57.0,55.0,57.0,55.0,55.0
46,56.0,56.0,54.0,56.0,56.0
47,58.0,60.0,56.0,60.0,60.0
48,58.0,56.0,56.0,55.0,55.0
49,57.0,57.0,55.0,57.0,57.0
50,57.0,61.0,57.0,59.0,59.0
51,59.0,56.0,56.0,56.0,56.0
52,58.0,58.0,55.0,58.0,58.0
53,58.0,59.0,56.0,59.0,59.0
54,57.0,55.0,56.0,55.0,55.0
55,58.0,58.0,58.0,58.0,58.0
56,56.0,60.0,58.0,59.0,59.0
57,58.0,56.0,57.0,56.0,56.0
58,59.0,59.0,59.0,59.0,59.0
59,57.0,60.0,59.0,60.0,60.0
60,52.0,55.0,58.0,55.0,55.0
61,59.0,59.0,60.0,59.0,59.0
62,57.0,60.0,59.0,60.0,60.0
63,54.0,54.0,55.0,52.0,52.0
64,60.0,54.0,57.0,54.0,54.0
65,56.0,53.0,55.0,54.0,54.0
66,54.0,55.0,55.0,53.0,53.0
67,60.0,54.0,57.0,55.0,55.0
68,57.0,53.0,55.0,54.0,54.0
69,53.0,54.0,56.0,54.0,54.0
70,57.0,54.0,58.0,54.0,54.0
71,58.0,56.0,55.0,54.0,54.0
72,54.0,57.0,55.0,57.0,57.0
73,56.0,55.0,57.0,54.0,54.0
74,57.0,56.0,57.0,53.0,53.0
75,55.0,58.0,56.0,58.0,58.0
76,56.0,56.0,58.0,55.0,55.0
77,56.0,57.0,58.0,54.0,54.0
78,54.0,55.0,56.0,53.0,53.0
79,57.0,54.0,56.0,55.0,55.0
80,56.0,53.0,55.0,55.0,55.0
81,53.0,54.0,56.0,54.0,54.0
82,57.0,54.0,58.0,54.0,54.0
83,58.0,54.0,55.0,54.0,54.0
84,54.0,58.0,55.0,58.0,58.0
85,56.0,56.0,57.0,55.0,55.0
86,57.0,57.0,57.0,53.0,53.0
87,55.0,59.0,56.0,59.0,59.0
88,57.0,57.0,58.0,56.0,56.0
89,57.0,58.0,58.0,54.0,54.0
90,56.0,54.0,56.0,54.0,54.0
91,55.0,55.0,55.0,55.0,55.0
92,57.0,59.0,55.0,59.0,59.0
93,57.0,55.0,57.0,54.0,54.0
94,56.0,56.0,58.0,56.0,56.0
95,57.0,60.0,56.0,58.0,58.0
96,58.0,55.0,58.0,55.0,55.0
97,57.0,57.0,59.0,57.0,57.0
98,57.0,58.0,57.0,58.0,58.0
99,56.0,58.0,56.0,58.0,58.0
100,57.0,58.0,57.0,58.0,58.0
101,56.0,59.0,57.0,59.0,59.0
102,57.0,59.0,57.0,59.0,59.0
