Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
0,46.0,44.0,43.0,47.0,42.0,45.0,43.0,42.0,47.0
1,46.0,44.0,43.0,43.0,44.0,46.0,43.0,44.0,46.0
2,46.0,45.0,45.0,45.0,44.0,45.0,45.0,45.0,47.0
3,46.0,47.0,46.0,46.0,45.0,45.0,46.0,44.0,47.0
4,46.0,46.0,45.0,45.0,45.0,46.0,45.0,45.0,46.0
5,47.0,47.0,47.0,46.0,45.0,46.0,47.0,45.0,47.0
6,45.0,44.0,45.0,47.0,44.0,44.0,45.0,45.0,45.0
7,45.0,44.0,44.0,44.0,45.0,45.0,44.0,44.0,46.0
8,46.0,46.0,46.0,46.0,45.0,45.0,46.0,45.0,47.0
9,43.0,44.0,43.0,43.0,44.0,44.0,44.0,43.0,43.0
10,44.0,44.0,43.0,43.0,45.0,44.0,44.0,44.0,46.0
11,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,46.0
12,47.0,43.0,47.0,47.0,44.0,44.0,44.0,42.0,45.0
13,45.0,43.0,45.0,46.0,44.0,45.0,46.0,43.0,45.0
14,47.0,44.0,47.0,47.0,45.0,44.0,47.0,43.0,47.0
15,43.0,41.0,43.0,45.0,43.0,44.0,43.0,42.0,44.0
16,44.0,43.0,43.0,43.0,43.0,44.0,43.0,43.0,46.0
17,44.0,44.0,42.0,42.0,44.0,43.0,43.0,43.0,46.0
18,45.0,46.0,45.0,45.0,44.0,45.0,45.0,44.0,46.0
19,46.0,46.0,46.0,44.0,45.0,46.0,46.0,45.0,46.0
20,47.0,47.0,47.0,45.0,45.0,46.0,47.0,45.0,47.0
21,45.0,44.0,44.0,46.0,44.0,45.0,44.0,44.0,44.0
22,46.0,46.0,45.0,44.0,45.0,46.0,45.0,45.0,46.0
23,47.0,47.0,47.0,45.0,45.0,46.0,47.0,45.0,47.0
24,44.0,44.0,44.0,43.0,43.0,44.0,45.0,43.0,44.0
25,46.0,46.0,46.0,44.0,45.0,44.0,46.0,45.0,46.0
26,46.0,46.0,46.0,45.0,45.0,43.0,46.0,44.0,46.0
27,46.0,45.0,46.0,46.0,44.0,44.0,45.0,42.0,45.0
28,46.0,45.0,46.0,45.0,46.0,46.0,45.0,44.0,45.0
29,46.0,47.0,46.0,46.0,46.0,44.0,46.0,44.0,47.0
30,44.0,44.0,44.0,44.0,42.0,44.0,44.0,43.0,44.0
31,44.0,46.0,44.0,43.0,43.0,44.0,44.0,45.0,46.0
32,44.0,46.0,44.0,44.0,44.0,43.0,44.0,45.0,46.0
