Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
0,47.0,47.0,45.0,45.0,43.0,44.0,46.0,38.0,38.0,46.0,47.0,43.0,47.0
1,45.0,45.0,43.0,43.0,40.0,40.0,45.0,40.0,40.0,45.0,46.0,45.0,46.0
2,45.0,45.0,43.0,43.0,40.0,40.0,46.0,40.0,40.0,46.0,47.0,45.0,47.0
3,46.0,46.0,46.0,46.0,44.0,45.0,47.0,44.0,44.0,47.0,47.0,44.0,47.0
4,45.0,45.0,44.0,44.0,45.0,45.0,46.0,39.0,39.0,46.0,46.0,46.0,46.0
5,46.0,46.0,44.0,44.0,45.0,45.0,47.0,39.0,39.0,47.0,47.0,46.0,47.0
6,47.0,47.0,45.0,45.0,44.0,44.0,47.0,43.0,44.0,47.0,46.0,43.0,46.0
7,46.0,46.0,43.0,43.0,46.0,46.0,46.0,39.0,39.0,46.0,45.0,45.0,45.0
8,47.0,47.0,43.0,43.0,46.0,46.0,47.0,39.0,39.0,47.0,46.0,45.0,46.0
9,45.0,45.0,41.0,41.0,45.0,45.0,46.0,39.0,39.0,46.0,47.0,44.0,47.0
10,42.0,41.0,41.0,40.0,40.0,40.0,46.0,40.0,40.0,46.0,46.0,46.0,46.0
11,43.0,43.0,40.0,40.0,41.0,41.0,46.0,40.0,40.0,46.0,47.0,46.0,47.0
12,46.0,46.0,44.0,44.0,46.0,46.0,45.0,44.0,44.0,46.0,46.0,45.0,46.0
13,45.0,45.0,44.0,41.0,45.0,45.0,47.0,44.0,41.0,47.0,47.0,47.0,47.0
14,46.0,46.0,42.0,42.0,46.0,46.0,47.0,42.0,42.0,47.0,48.0,47.0,48.0
15,46.0,46.0,45.0,45.0,45.0,45.0,46.0,39.0,39.0,46.0,46.0,44.0,46.0
16,46.0,46.0,45.0,42.0,40.0,40.0,47.0,40.0,40.0,47.0,47.0,46.0,47.0
17,47.0,47.0,43.0,43.0,41.0,41.0,47.0,40.0,40.0,47.0,47.0,46.0,47.0
18,47.0,47.0,46.0,46.0,44.0,44.0,46.0,43.0,43.0,46.0,46.0,44.0,46.0
19,46.0,46.0,45.0,45.0,46.0,46.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
20,47.0,47.0,46.0,46.0,46.0,46.0,46.0,45.0,45.0,46.0,46.0,45.0,46.0
21,48.0,48.0,47.0,47.0,45.0,45.0,46.0,44.0,44.0,46.0,46.0,45.0,46.0
22,47.0,47.0,46.0,46.0,47.0,47.0,45.0,46.0,46.0,45.0,45.0,45.0,45.0
23,48.0,48.0,47.0,47.0,47.0,47.0,46.0,46.0,46.0,46.0,46.0,45.0,46.0
24,46.0,46.0,45.0,45.0,46.0,46.0,46.0,45.0,45.0,46.0,46.0,44.0,46.0
25,43.0,43.0,42.0,42.0,41.0,41.0,45.0,40.0,40.0,45.0,46.0,45.0,46.0
26,43.0,43.0,42.0,42.0,41.0,41.0,46.0,40.0,40.0,46.0,46.0,46.0,46.0
27,47.0,47.0,46.0,46.0,47.0,47.0,45.0,46.0,46.0,45.0,45.0,45.0,45.0
28,46.0,46.0,45.0,45.0,46.0,46.0,46.0,45.0,45.0,46.0,47.0,46.0,47.0
29,46.0,46.0,45.0,45.0,46.0,46.0,47.0,45.0,45.0,47.0,47.0,47.0,47.0
30,46.0,46.0,45.0,45.0,46.0,46.0,45.0,45.0,45.0,45.0,45.0,44.0,45.0
31,47.0,47.0,46.0,46.0,41.0,41.0,47.0,40.0,40.0,47.0,46.0,45.0,46.0
32,47.0,47.0,46.0,46.0,41.0,41.0,46.0,40.0,40.0,46.0,46.0,46.0,46.0
33,48.0,48.0,48.0,48.0,44.0,44.0,46.0,44.0,44.0,46.0,46.0,43.0,46.0
34,47.0,47.0,47.0,47.0,46.0,47.0,45.0,46.0,47.0,45.0,45.0,45.0,45.0
35,48.0,48.0,48.0,48.0,46.0,47.0,46.0,46.0,47.0,46.0,46.0,45.0,46.0
36,46.0,46.0,45.0,46.0,45.0,46.0,47.0,45.0,46.0,47.0,46.0,45.0,46.0
37,44.0,44.0,43.0,43.0,42.0,42.0,46.0,41.0,41.0,46.0,46.0,46.0,46.0
38,44.0,44.0,43.0,43.0,42.0,42.0,47.0,41.0,41.0,47.0,46.0,47.0,46.0
39,46.0,47.0,46.0,47.0,46.0,47.0,46.0,46.0,47.0,46.0,45.0,46.0,45.0
40,47.0,47.0,46.0,46.0,47.0,47.0,47.0,46.0,46.0,47.0,47.0,47.0,47.0
41,47.0,47.0,46.0,46.0,47.0,47.0,48.0,46.0,46.0,48.0,47.0,48.0,47.0
42,47.0,47.0,46.0,46.0,45.0,46.0,46.0,45.0,46.0,46.0,45.0,45.0,45.0
43,48.0,48.0,47.0,47.0,42.0,42.0,48.0,41.0,41.0,47.0,46.0,46.0,46.0
44,48.0,48.0,47.0,47.0,42.0,42.0,47.0,41.0,41.0,47.0,46.0,47.0,46.0
45,45.0,45.0,44.0,44.0,45.0,45.0,45.0,44.0,44.0,45.0,44.0,45.0,44.0
46,44.0,42.0,43.0,42.0,44.0,42.0,44.0,43.0,42.0,44.0,45.0,44.0,45.0
47,41.0,41.0,39.0,39.0,41.0,41.0,46.0,39.0,39.0,46.0,46.0,46.0,46.0
48,46.0,46.0,45.0,45.0,46.0,46.0,46.0,45.0,45.0,45.0,45.0,46.0,45.0
49,45.0,43.0,44.0,43.0,45.0,43.0,45.0,44.0,43.0,45.0,46.0,45.0,46.0
50,43.0,42.0,41.0,41.0,43.0,42.0,47.0,41.0,41.0,47.0,47.0,47.0,47.0
51,46.0,46.0,45.0,45.0,45.0,45.0,45.0,44.0,44.0,45.0,45.0,45.0,45.0
52,45.0,43.0,44.0,43.0,44.0,42.0,46.0,43.0,42.0,45.0,46.0,44.0,46.0
53,44.0,42.0,42.0,42.0,41.0,41.0,47.0,39.0,39.0,47.0,47.0,46.0,47.0
54,46.0,46.0,45.0,45.0,46.0,46.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
55,45.0,43.0,44.0,43.0,45.0,43.0,46.0,44.0,43.0,45.0,46.0,46.0,46.0
