Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
0,39.0,39.0,38.0,38.0,40.0,38.0,38.0,36.0,36.0,37.0,37.0
1,42.0,42.0,41.0,39.0,39.0,38.0,38.0,36.0,36.0,38.0,38.0
2,41.0,41.0,40.0,40.0,40.0,40.0,40.0,38.0,38.0,39.0,39.0
3,38.0,38.0,38.0,37.0,41.0,39.0,39.0,39.0,39.0,39.0,39.0
4,42.0,42.0,42.0,42.0,42.0,40.0,40.0,40.0,40.0,41.0,41.0
5,41.0,41.0,40.0,42.0,42.0,41.0,41.0,41.0,41.0,41.0,41.0
6,37.0,38.0,37.0,38.0,40.0,40.0,40.0,40.0,40.0,38.0,38.0
7,42.0,43.0,43.0,43.0,43.0,41.0,41.0,41.0,41.0,42.0,42.0
8,42.0,42.0,41.0,42.0,43.0,42.0,42.0,42.0,42.0,42.0,42.0
9,40.0,40.0,40.0,44.0,44.0,42.0,42.0,41.0,41.0,43.0,43.0
10,42.0,42.0,42.0,44.0,44.0,41.0,41.0,41.0,41.0,43.0,43.0
11,42.0,42.0,42.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0
12,43.0,43.0,43.0,43.0,43.0,41.0,41.0,40.0,40.0,42.0,42.0
13,42.0,43.0,43.0,43.0,43.0,40.0,40.0,40.0,40.0,42.0,42.0
14,43.0,43.0,42.0,42.0,42.0,39.0,39.0,39.0,39.0,41.0,41.0
15,44.0,44.0,44.0,44.0,44.0,42.0,42.0,40.0,40.0,43.0,43.0
16,43.0,44.0,44.0,43.0,43.0,40.0,40.0,37.0,37.0,42.0,42.0
17,43.0,43.0,42.0,43.0,43.0,40.0,40.0,38.0,38.0,42.0,42.0
18,37.0,37.0,37.0,39.0,41.0,38.0,38.0,38.0,38.0,38.0,38.0
19,42.0,41.0,42.0,41.0,42.0,40.0,40.0,39.0,39.0,40.0,40.0
20,40.0,40.0,40.0,41.0,42.0,40.0,40.0,42.0,42.0,40.0,40.0
21,37.0,37.0,37.0,40.0,41.0,39.0,39.0,39.0,39.0,39.0,39.0
22,43.0,42.0,43.0,42.0,43.0,41.0,41.0,40.0,40.0,41.0,41.0
