Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
0,38.0,34.0,34.0,36.0,38.0
1,38.0,38.0,35.0,38.0,41.0
2,38.0,37.0,40.0,34.0,40.0
3,38.0,36.0,37.0,37.0,39.0
4,38.0,38.0,39.0,39.0,41.0
5,40.0,38.0,39.0,39.0,41.0
6,35.0,33.0,38.0,36.0,36.0
7,35.0,38.0,34.0,37.0,41.0
8,38.0,39.0,39.0,40.0,40.0
9,34.0,37.0,34.0,38.0,36.0
10,38.0,38.0,39.0,33.0,41.0
11,36.0,38.0,38.0,33.0,41.0
12,35.0,37.0,33.0,39.0,35.0
13,37.0,37.0,38.0,34.0,40.0
14,37.0,37.0,37.0,36.0,40.0
15,36.0,33.0,33.0,34.0,35.0
16,35.0,38.0,34.0,32.0,41.0
17,38.0,38.0,36.0,32.0,41.0
18,38.0,36.0,38.0,37.0,39.0
19,38.0,37.0,38.0,38.0,40.0
20,40.0,38.0,40.0,39.0,41.0
21,35.0,33.0,38.0,36.0,37.0
22,35.0,37.0,38.0,38.0,40.0
23,38.0,39.0,39.0,39.0,41.0
24,34.0,36.0,38.0,38.0,39.0
25,38.0,37.0,38.0,32.0,41.0
26,36.0,38.0,38.0,36.0,42.0
27,35.0,36.0,37.0,38.0,38.0
28,37.0,36.0,37.0,33.0,40.0
29,37.0,37.0,37.0,35.0,41.0
30,36.0,33.0,36.0,36.0,39.0
31,35.0,37.0,33.0,32.0,40.0
32,38.0,38.0,38.0,35.0,42.0
33,33.0,33.0,32.0,35.0,36.0
34,34.0,35.0,34.0,37.0,37.0
35,38.0,35.0,37.0,37.0,38.0
36,33.0,36.0,33.0,37.0,36.0
37,38.0,35.0,37.0,33.0,37.0
38,37.0,37.0,35.0,35.0,39.0
39,33.0,35.0,32.0,36.0,35.0
40,37.0,35.0,37.0,34.0,36.0
41,37.0,37.0,34.0,36.0,39.0
42,34.0,33.0,33.0,35.0,36.0
43,35.0,35.0,33.0,31.0,37.0
44,38.0,38.0,34.0,34.0,40.0
45,34.0,36.0,33.0,32.0,36.0
46,37.0,38.0,33.0,32.0,38.0
47,36.0,38.0,34.0,32.0,40.0
48,33.0,36.0,34.0,31.0,35.0
49,37.0,38.0,36.0,35.0,38.0
50,37.0,38.0,38.0,36.0,39.0
51,34.0,37.0,33.0,30.0,36.0
52,38.0,38.0,37.0,32.0,37.0
53,38.0,38.0,39.0,32.0,40.0
54,32.0,36.0,33.0,30.0,34.0
55,36.0,37.0,36.0,34.0,37.0
56,37.0,37.0,37.0,35.0,39.0
