Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
0,40.0,40.0,39.0,39.0,39.0,38.0,39.0,39.0,41.0,39.0
1,40.0,41.0,40.0,40.0,40.0,39.0,40.0,40.0,41.0,39.0
2,44.0,44.0,39.0,40.0,40.0,39.0,40.0,40.0,45.0,39.0
3,40.0,40.0,42.0,39.0,41.0,38.0,40.0,39.0,41.0,39.0
4,40.0,41.0,40.0,40.0,43.0,39.0,40.0,40.0,41.0,39.0
5,44.0,44.0,40.0,44.0,43.0,39.0,44.0,44.0,45.0,39.0
6,41.0,40.0,39.0,39.0,39.0,38.0,41.0,39.0,41.0,39.0
7,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,35.0
8,44.0,44.0,40.0,44.0,44.0,40.0,44.0,44.0,45.0,39.0
9,41.0,41.0,41.0,39.0,39.0,39.0,39.0,39.0,40.0,39.0
10,41.0,42.0,39.0,44.0,44.0,41.0,44.0,44.0,41.0,39.0
11,45.0,45.0,40.0,40.0,40.0,39.0,40.0,40.0,45.0,39.0
12,41.0,41.0,41.0,39.0,39.0,38.0,39.0,39.0,39.0,39.0
13,41.0,42.0,40.0,43.0,43.0,43.0,43.0,43.0,41.0,40.0
14,45.0,45.0,40.0,40.0,41.0,43.0,40.0,40.0,45.0,40.0
15,41.0,41.0,41.0,39.0,39.0,38.0,39.0,39.0,40.0,39.0
16,41.0,42.0,40.0,40.0,39.0,43.0,40.0,40.0,41.0,40.0
17,45.0,45.0,40.0,40.0,41.0,43.0,40.0,40.0,44.0,40.0
18,40.0,40.0,44.0,40.0,41.0,39.0,40.0,40.0,40.0,39.0
19,41.0,41.0,42.0,41.0,43.0,43.0,41.0,41.0,40.0,38.0
20,43.0,43.0,43.0,44.0,45.0,40.0,44.0,44.0,44.0,39.0
21,41.0,41.0,45.0,41.0,41.0,40.0,41.0,41.0,40.0,39.0
22,42.0,42.0,42.0,42.0,43.0,44.0,42.0,42.0,40.0,39.0
23,43.0,43.0,43.0,44.0,46.0,41.0,44.0,44.0,44.0,39.0
24,40.0,40.0,40.0,40.0,41.0,39.0,40.0,40.0,40.0,39.0
25,40.0,41.0,43.0,43.0,46.0,43.0,43.0,43.0,41.0,39.0
26,44.0,44.0,42.0,44.0,42.0,40.0,44.0,44.0,45.0,40.0
27,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,39.0,39.0
28,41.0,41.0,42.0,42.0,45.0,42.0,42.0,42.0,41.0,40.0
29,45.0,44.0,43.0,44.0,43.0,43.0,44.0,44.0,45.0,44.0
30,40.0,40.0,40.0,40.0,41.0,38.0,40.0,40.0,40.0,39.0
31,40.0,41.0,41.0,40.0,41.0,43.0,40.0,40.0,41.0,40.0
32,44.0,44.0,43.0,44.0,43.0,43.0,44.0,44.0,43.0,44.0
33,41.0,40.0,41.0,40.0,39.0,39.0,41.0,40.0,40.0,39.0
34,41.0,41.0,39.0,41.0,40.0,41.0,41.0,41.0,40.0,40.0
35,42.0,41.0,39.0,44.0,44.0,41.0,44.0,44.0,41.0,40.0
36,41.0,40.0,38.0,39.0,40.0,40.0,41.0,39.0,40.0,40.0
37,41.0,41.0,39.0,44.0,44.0,44.0,44.0,44.0,41.0,39.0
38,44.0,44.0,40.0,45.0,40.0,41.0,45.0,45.0,45.0,40.0
39,41.0,40.0,39.0,39.0,39.0,40.0,41.0,39.0,39.0,40.0
40,42.0,41.0,39.0,43.0,43.0,43.0,43.0,43.0,41.0,40.0
41,45.0,44.0,43.0,45.0,43.0,40.0,45.0,45.0,45.0,45.0
42,41.0,40.0,39.0,39.0,40.0,39.0,41.0,39.0,40.0,40.0
43,41.0,41.0,39.0,40.0,41.0,44.0,40.0,40.0,41.0,40.0
44,41.0,41.0,43.0,45.0,43.0,39.0,45.0,45.0,41.0,45.0
45,40.0,40.0,38.0,39.0,40.0,39.0,39.0,39.0,40.0,39.0
46,41.0,41.0,40.0,45.0,40.0,41.0,45.0,45.0,41.0,40.0
47,45.0,45.0,39.0,40.0,39.0,38.0,40.0,40.0,44.0,41.0
48,40.0,40.0,38.0,38.0,41.0,38.0,39.0,38.0,40.0,39.0
49,41.0,41.0,43.0,45.0,43.0,44.0,45.0,45.0,41.0,45.0
50,45.0,45.0,40.0,40.0,41.0,43.0,43.0,40.0,44.0,43.0
51,40.0,40.0,38.0,39.0,40.0,38.0,39.0,39.0,40.0,39.0
52,41.0,41.0,43.0,45.0,43.0,44.0,45.0,45.0,41.0,45.0
53,45.0,45.0,40.0,41.0,41.0,43.0,41.0,41.0,44.0,43.0
54,40.0,39.0,38.0,38.0,40.0,37.0,38.0,38.0,39.0,38.0
55,41.0,41.0,42.0,44.0,42.0,44.0,44.0,44.0,40.0,44.0
56,45.0,45.0,40.0,40.0,40.0,43.0,42.0,40.0,43.0,42.0
57,40.0,40.0,38.0,38.0,41.0,37.0,39.0,38.0,40.0,38.0
58,41.0,41.0,42.0,44.0,42.0,44.0,44.0,44.0,41.0,44.0
59,45.0,45.0,40.0,40.0,40.0,43.0,40.0,40.0,44.0,42.0
60,40.0,40.0,38.0,39.0,40.0,37.0,39.0,39.0,40.0,39.0
61,41.0,41.0,41.0,40.0,39.0,44.0,40.0,40.0,41.0,40.0
62,41.0,41.0,40.0,40.0,39.0,43.0,40.0,40.0,41.0,40.0
63,39.0,39.0,43.0,39.0,40.0,38.0,39.0,39.0,39.0,38.0
64,40.0,40.0,42.0,40.0,42.0,42.0,40.0,40.0,39.0,37.0
65,42.0,42.0,43.0,43.0,44.0,39.0,43.0,43.0,43.0,38.0
