Scenario,Roll 0,Roll 1,Roll 2
0,43.0,47.0,45.0
1,44.0,49.0,44.0
2,42.0,49.0,42.0
3,45.0,48.0,45.0
4,44.0,49.0,46.0
5,47.0,50.0,47.0
6,45.0,45.0,45.0
7,44.0,45.0,46.0
8,47.0,50.0,47.0
9,44.0,46.0,44.0
10,44.0,50.0,46.0
11,43.0,49.0,43.0
12,45.0,46.0,45.0
13,46.0,49.0,46.0
14,47.0,49.0,47.0
15,46.0,45.0,46.0
16,47.0,45.0,46.0
17,44.0,49.0,45.0
18,45.0,48.0,45.0
19,46.0,48.0,46.0
20,49.0,50.0,49.0
21,45.0,46.0,45.0
22,47.0,46.0,47.0
23,49.0,50.0,49.0
24,44.0,46.0,44.0
25,49.0,50.0,49.0
26,47.0,49.0,47.0
27,45.0,46.0,45.0
28,48.0,49.0,48.0
29,48.0,49.0,49.0
30,46.0,45.0,46.0
31,47.0,45.0,45.0
32,47.0,49.0,45.0
33,45.0,44.0,45.0
34,47.0,45.0,47.0
35,49.0,50.0,49.0
36,44.0,44.0,44.0
37,49.0,50.0,49.0
38,47.0,49.0,47.0
39,45.0,44.0,45.0
40,48.0,49.0,48.0
41,48.0,49.0,49.0
42,46.0,44.0,46.0
43,47.0,45.0,45.0
44,47.0,49.0,45.0
45,43.0,46.0,43.0
46,44.0,49.0,45.0
47,43.0,49.0,43.0
48,43.0,46.0,43.0
49,48.0,49.0,49.0
50,47.0,49.0,47.0
51,44.0,46.0,44.0
52,45.0,49.0,45.0
53,44.0,49.0,45.0
54,42.0,45.0,42.0
55,47.0,47.0,48.0
56,46.0,48.0,46.0
57,43.0,45.0,43.0
58,48.0,48.0,48.0
59,47.0,49.0,47.0
60,44.0,44.0,44.0
61,44.0,45.0,44.0
62,44.0,45.0,44.0
63,44.0,47.0,44.0
64,45.0,47.0,45.0
65,49.0,49.0,49.0
66,44.0,45.0,44.0
67,46.0,46.0,46.0
68,49.0,49.0,49.0
69,44.0,46.0,44.0
70,49.0,49.0,49.0
71,48.0,48.0,48.0
72,44.0,46.0,44.0
73,48.0,48.0,48.0
74,48.0,48.0,48.0
75,45.0,44.0,45.0
76,46.0,45.0,44.0
77,48.0,48.0,48.0
78,44.0,45.0,44.0
79,46.0,45.0,46.0
80,49.0,49.0,49.0
81,44.0,45.0,44.0
82,49.0,49.0,49.0
83,48.0,48.0,48.0
84,44.0,45.0,44.0
85,48.0,48.0,48.0
86,48.0,48.0,48.0
87,45.0,45.0,45.0
88,46.0,45.0,44.0
89,48.0,48.0,48.0
90,43.0,45.0,43.0
91,48.0,48.0,48.0
92,47.0,49.0,47.0
93,43.0,45.0,43.0
94,48.0,48.0,48.0
95,48.0,49.0,48.0
96,44.0,45.0,44.0
97,48.0,48.0,48.0
98,47.0,48.0,44.0
99,43.0,44.0,43.0
100,48.0,47.0,48.0
101,48.0,48.0,48.0
102,43.0,44.0,43.0
103,48.0,47.0,48.0
104,48.0,48.0,48.0
105,44.0,44.0,44.0
106,44.0,44.0,44.0
107,44.0,46.0,44.0
108,43.0,43.0,43.0
109,44.0,44.0,44.0
110,49.0,45.0,49.0
111,44.0,43.0,44.0
112,49.0,45.0,49.0
113,48.0,48.0,48.0
114,43.0,43.0,43.0
115,48.0,44.0,48.0
116,48.0,48.0,48.0
117,43.0,43.0,43.0
118,44.0,44.0,44.0
119,48.0,46.0,48.0
120,43.0,45.0,43.0
121,48.0,48.0,48.0
122,47.0,48.0,47.0
123,43.0,45.0,43.0
124,48.0,48.0,48.0
125,48.0,48.0,48.0
126,44.0,45.0,44.0
127,48.0,46.0,48.0
128,47.0,47.0,44.0
129,43.0,44.0,43.0
130,48.0,47.0,48.0
131,48.0,47.0,48.0
132,43.0,44.0,43.0
133,48.0,45.0,48.0
134,48.0,47.0,48.0
135,44.0,43.0,44.0
136,44.0,44.0,44.0
137,44.0,45.0,44.0
138,43.0,45.0,43.0
139,44.0,47.0,44.0
140,43.0,48.0,43.0
141,44.0,45.0,43.0
142,48.0,47.0,48.0
143,47.0,48.0,47.0
144,44.0,45.0,44.0
145,44.0,47.0,44.0
146,44.0,48.0,44.0
147,43.0,45.0,42.0
148,48.0,47.0,48.0
149,47.0,48.0,47.0
150,44.0,45.0,43.0
151,48.0,47.0,48.0
152,47.0,48.0,47.0
153,44.0,45.0,44.0
154,44.0,45.0,44.0
155,44.0,45.0,44.0
156,42.0,43.0,42.0
157,48.0,45.0,48.0
158,46.0,47.0,46.0
159,43.0,44.0,42.0
160,48.0,46.0,48.0
161,47.0,47.0,47.0
162,43.0,44.0,43.0
163,44.0,44.0,44.0
164,45.0,45.0,44.0
165,42.0,42.0,42.0
166,43.0,43.0,43.0
167,44.0,45.0,44.0
