Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
0,45.0,49.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,47.0,47.0,45.0,45.0,47.0,45.0,47.0
1,42.0,45.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,41.0,42.0,42.0,41.0,42.0,43.0
2,44.0,41.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,41.0,39.0,44.0,44.0,39.0,44.0,41.0
3,49.0,53.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,51.0,51.0,49.0,49.0,51.0,49.0,51.0
4,44.0,46.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,47.0,41.0,44.0,44.0,41.0,44.0,47.0
5,48.0,43.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,43.0,41.0,48.0,48.0,41.0,48.0,43.0
6,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
7,45.0,45.0,45.0,45.0,44.0,45.0,44.0,45.0,44.0,47.0,41.0,45.0,44.0,41.0,45.0,47.0
8,49.0,41.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,43.0,42.0,49.0,49.0,42.0,49.0,43.0
9,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
10,47.0,51.0,49.0,48.0,48.0,47.0,47.0,47.0,48.0,48.0,47.0,48.0,47.0,47.0,47.0,48.0
11,48.0,47.0,47.0,47.0,47.0,49.0,48.0,48.0,48.0,47.0,45.0,48.0,48.0,45.0,48.0,47.0
12,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
13,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,47.0,46.0,50.0,50.0,46.0,50.0,47.0
14,47.0,47.0,46.0,46.0,46.0,48.0,47.0,47.0,47.0,46.0,46.0,47.0,47.0,46.0,47.0,46.0
15,46.0,46.0,45.0,46.0,45.0,45.0,45.0,46.0,45.0,46.0,46.0,46.0,45.0,46.0,46.0,46.0
16,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,47.0,51.0,51.0,47.0,51.0,47.0
17,46.0,46.0,45.0,46.0,45.0,45.0,45.0,46.0,45.0,45.0,45.0,46.0,45.0,45.0,46.0,45.0
18,48.0,53.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,51.0,51.0,48.0,48.0,51.0,48.0,51.0
19,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,41.0,46.0,46.0,41.0,46.0,47.0
20,50.0,43.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,43.0,41.0,50.0,50.0,41.0,50.0,43.0
21,49.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,51.0,51.0,49.0,49.0,51.0,49.0,51.0
22,47.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,41.0,47.0,47.0,41.0,47.0,47.0
23,51.0,42.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,46.0,46.0,51.0,51.0,46.0,51.0,46.0
24,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
25,48.0,52.0,52.0,52.0,52.0,47.0,47.0,48.0,52.0,52.0,47.0,52.0,47.0,47.0,48.0,52.0
26,52.0,48.0,48.0,48.0,48.0,52.0,52.0,52.0,52.0,48.0,47.0,52.0,52.0,47.0,52.0,48.0
27,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
28,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,46.0,51.0,51.0,46.0,51.0,51.0
29,51.0,48.0,48.0,48.0,48.0,51.0,51.0,51.0,51.0,47.0,47.0,51.0,51.0,47.0,51.0,47.0
30,48.0,50.0,47.0,48.0,47.0,47.0,47.0,48.0,47.0,50.0,50.0,48.0,47.0,50.0,48.0,50.0
31,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,47.0,47.0,52.0,52.0,47.0,52.0,47.0
32,47.0,47.0,46.0,47.0,46.0,46.0,46.0,47.0,46.0,46.0,46.0,47.0,46.0,46.0,47.0,46.0
33,47.0,51.0,48.0,47.0,47.0,48.0,47.0,47.0,47.0,50.0,50.0,47.0,47.0,50.0,47.0,50.0
34,48.0,42.0,47.0,48.0,46.0,47.0,46.0,48.0,46.0,47.0,42.0,48.0,46.0,42.0,48.0,47.0
35,48.0,42.0,47.0,48.0,46.0,47.0,46.0,48.0,46.0,43.0,41.0,48.0,46.0,41.0,48.0,43.0
36,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
37,49.0,47.0,53.0,53.0,53.0,48.0,47.0,49.0,53.0,53.0,47.0,53.0,47.0,47.0,49.0,53.0
38,53.0,47.0,49.0,49.0,49.0,53.0,53.0,53.0,53.0,49.0,47.0,53.0,53.0,47.0,53.0,49.0
39,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
40,48.0,47.0,52.0,52.0,52.0,47.0,46.0,48.0,52.0,52.0,47.0,52.0,46.0,47.0,48.0,52.0
41,52.0,46.0,49.0,48.0,48.0,52.0,52.0,52.0,52.0,48.0,46.0,52.0,52.0,46.0,52.0,48.0
42,49.0,51.0,48.0,49.0,48.0,48.0,48.0,49.0,48.0,51.0,51.0,49.0,48.0,51.0,49.0,51.0
43,47.0,48.0,48.0,47.0,47.0,48.0,47.0,47.0,47.0,48.0,48.0,47.0,47.0,48.0,47.0,48.0
44,46.0,43.0,45.0,46.0,44.0,45.0,45.0,46.0,45.0,45.0,45.0,46.0,45.0,45.0,46.0,45.0
45,52.0,49.0,51.0,52.0,51.0,49.0,49.0,52.0,51.0,51.0,50.0,52.0,49.0,50.0,52.0,51.0
46,48.0,47.0,49.0,50.0,47.0,47.0,47.0,48.0,47.0,49.0,47.0,50.0,47.0,47.0,48.0,49.0
47,50.0,48.0,49.0,50.0,48.0,49.0,48.0,50.0,48.0,51.0,51.0,50.0,48.0,51.0,50.0,51.0
48,52.0,51.0,50.0,52.0,50.0,49.0,49.0,52.0,50.0,51.0,51.0,52.0,49.0,51.0,52.0,51.0
49,49.0,52.0,48.0,50.0,48.0,48.0,48.0,49.0,48.0,51.0,51.0,50.0,48.0,51.0,49.0,51.0
50,50.0,48.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,52.0,52.0,50.0,50.0,52.0,50.0,52.0
51,52.0,49.0,49.0,52.0,49.0,49.0,49.0,52.0,49.0,51.0,51.0,52.0,49.0,51.0,52.0,51.0
52,49.0,53.0,49.0,50.0,48.0,49.0,48.0,49.0,48.0,52.0,52.0,50.0,48.0,52.0,49.0,52.0
53,50.0,47.0,47.0,48.0,47.0,47.0,47.0,50.0,47.0,51.0,51.0,50.0,47.0,51.0,50.0,51.0
54,51.0,51.0,49.0,51.0,49.0,49.0,49.0,51.0,49.0,51.0,51.0,51.0,49.0,51.0,51.0,51.0
55,50.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
56,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
57,51.0,51.0,50.0,51.0,50.0,50.0,50.0,51.0,50.0,51.0,51.0,51.0,50.0,51.0,51.0,51.0
58,51.0,52.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
59,50.0,47.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
60,44.0,47.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,47.0,47.0,44.0,44.0,47.0,44.0,47.0
61,48.0,48.0,48.0,48.0,47.0,48.0,47.0,48.0,47.0,48.0,48.0,48.0,47.0,48.0,48.0,48.0
62,46.0,43.0,44.0,46.0,44.0,44.0,44.0,46.0,44.0,46.0,46.0,46.0,44.0,46.0,46.0,46.0
63,47.0,52.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,47.0,47.0,50.0,47.0,50.0
64,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,40.0,45.0,45.0,40.0,45.0,46.0
65,49.0,42.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,42.0,40.0,49.0,49.0,40.0,49.0,42.0
66,48.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,50.0,50.0,48.0,48.0,50.0,48.0,50.0
67,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,41.0,46.0,46.0,41.0,46.0,46.0
68,50.0,42.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,45.0,45.0,50.0,50.0,45.0,50.0,45.0
69,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
70,47.0,52.0,51.0,51.0,51.0,47.0,47.0,47.0,51.0,51.0,47.0,51.0,47.0,47.0,47.0,51.0
71,51.0,48.0,48.0,48.0,48.0,51.0,51.0,51.0,51.0,47.0,47.0,51.0,51.0,47.0,51.0,47.0
72,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
73,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,46.0,51.0,51.0,46.0,51.0,50.0
74,50.0,48.0,48.0,48.0,48.0,50.0,50.0,50.0,50.0,46.0,46.0,50.0,50.0,46.0,50.0,46.0
75,47.0,49.0,46.0,47.0,46.0,46.0,46.0,47.0,46.0,49.0,49.0,47.0,46.0,49.0,47.0,49.0
76,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,47.0,47.0,52.0,52.0,47.0,52.0,47.0
77,47.0,47.0,46.0,47.0,46.0,46.0,46.0,47.0,46.0,46.0,46.0,47.0,46.0,46.0,47.0,46.0
78,47.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,47.0,47.0,50.0,47.0,50.0
79,47.0,42.0,46.0,47.0,46.0,46.0,46.0,47.0,46.0,47.0,41.0,47.0,46.0,41.0,47.0,47.0
80,47.0,41.0,46.0,47.0,45.0,46.0,45.0,47.0,45.0,43.0,40.0,47.0,45.0,40.0,47.0,43.0
81,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
82,48.0,47.0,52.0,52.0,52.0,48.0,47.0,48.0,52.0,52.0,47.0,52.0,47.0,47.0,48.0,52.0
83,52.0,47.0,48.0,48.0,48.0,52.0,52.0,52.0,52.0,48.0,47.0,52.0,52.0,47.0,52.0,48.0
84,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
85,47.0,47.0,51.0,51.0,51.0,47.0,46.0,47.0,51.0,51.0,47.0,51.0,46.0,47.0,47.0,51.0
86,51.0,46.0,49.0,48.0,48.0,51.0,51.0,51.0,51.0,47.0,47.0,51.0,51.0,47.0,51.0,47.0
