Scenario,Roll 0,Roll 1,Roll 2,Roll 3
0,42.0,43.0,43.0,41.0
1,42.0,43.0,43.0,43.0
2,41.0,43.0,43.0,43.0
3,45.0,44.0,44.0,43.0
4,45.0,44.0,44.0,43.0
5,45.0,48.0,44.0,44.0
6,45.0,43.0,43.0,43.0
7,45.0,43.0,43.0,43.0
8,45.0,48.0,43.0,43.0
9,44.0,43.0,43.0,43.0
10,45.0,42.0,41.0,41.0
11,43.0,44.0,44.0,44.0
12,43.0,43.0,43.0,43.0
13,45.0,41.0,41.0,41.0
14,43.0,43.0,44.0,44.0
15,44.0,42.0,41.0,41.0
16,42.0,42.0,42.0,42.0
17,42.0,43.0,44.0,44.0
18,46.0,45.0,45.0,45.0
19,45.0,44.0,44.0,44.0
20,46.0,48.0,45.0,45.0
21,46.0,45.0,45.0,45.0
22,45.0,44.0,44.0,44.0
23,46.0,48.0,45.0,45.0
24,47.0,43.0,47.0,47.0
25,46.0,42.0,42.0,42.0
26,47.0,45.0,44.0,44.0
27,46.0,43.0,47.0,47.0
28,46.0,42.0,42.0,42.0
29,46.0,44.0,44.0,44.0
30,47.0,42.0,45.0,45.0
31,46.0,43.0,43.0,42.0
32,47.0,44.0,44.0,44.0
33,45.0,43.0,43.0,43.0
34,45.0,44.0,44.0,44.0
35,45.0,48.0,45.0,44.0
36,47.0,43.0,47.0,47.0
37,46.0,43.0,43.0,43.0
38,47.0,44.0,44.0,44.0
39,46.0,43.0,47.0,47.0
40,46.0,43.0,43.0,43.0
41,46.0,43.0,44.0,44.0
42,47.0,43.0,45.0,45.0
43,46.0,43.0,43.0,43.0
44,47.0,44.0,44.0,44.0
45,45.0,44.0,44.0,43.0
46,47.0,44.0,46.0,46.0
47,44.0,46.0,46.0,44.0
48,45.0,45.0,45.0,45.0
49,47.0,44.0,46.0,46.0
50,46.0,46.0,47.0,45.0
51,45.0,44.0,44.0,44.0
52,47.0,44.0,46.0,46.0
53,46.0,46.0,48.0,46.0
54,44.0,44.0,44.0,44.0
55,46.0,43.0,45.0,45.0
56,46.0,45.0,46.0,45.0
57,45.0,43.0,43.0,43.0
58,47.0,44.0,46.0,45.0
59,46.0,45.0,47.0,45.0
60,45.0,41.0,41.0,41.0
61,44.0,42.0,42.0,41.0
62,44.0,42.0,42.0,42.0
63,45.0,44.0,44.0,44.0
64,44.0,43.0,43.0,43.0
65,48.0,47.0,44.0,44.0
66,45.0,44.0,44.0,44.0
67,44.0,44.0,44.0,44.0
68,48.0,47.0,44.0,44.0
69,46.0,43.0,47.0,47.0
70,47.0,41.0,42.0,41.0
71,46.0,44.0,43.0,43.0
72,45.0,43.0,46.0,46.0
73,46.0,42.0,42.0,41.0
74,45.0,43.0,43.0,43.0
75,46.0,42.0,44.0,44.0
76,45.0,43.0,43.0,41.0
77,46.0,44.0,43.0,43.0
78,45.0,43.0,44.0,42.0
79,44.0,45.0,43.0,45.0
80,48.0,47.0,45.0,45.0
81,46.0,44.0,47.0,47.0
82,47.0,42.0,42.0,42.0
83,46.0,45.0,44.0,43.0
84,45.0,44.0,46.0,46.0
85,46.0,42.0,42.0,42.0
86,45.0,44.0,43.0,43.0
87,46.0,43.0,44.0,44.0
88,45.0,42.0,42.0,42.0
89,46.0,45.0,43.0,43.0
90,44.0,45.0,44.0,44.0
91,46.0,43.0,46.0,46.0
92,43.0,48.0,46.0,46.0
93,44.0,45.0,45.0,45.0
94,46.0,43.0,46.0,46.0
95,45.0,48.0,47.0,46.0
96,44.0,43.0,44.0,44.0
97,46.0,43.0,46.0,46.0
98,45.0,48.0,48.0,46.0
99,43.0,44.0,44.0,44.0
100,45.0,42.0,45.0,45.0
101,45.0,47.0,46.0,45.0
102,44.0,42.0,43.0,43.0
103,46.0,43.0,46.0,45.0
104,45.0,47.0,47.0,45.0
105,44.0,42.0,40.0,40.0
106,43.0,41.0,42.0,41.0
107,43.0,44.0,44.0,44.0
108,41.0,42.0,41.0,42.0
109,43.0,43.0,41.0,43.0
110,44.0,44.0,42.0,43.0
111,42.0,45.0,46.0,45.0
112,45.0,43.0,42.0,42.0
113,46.0,44.0,43.0,43.0
114,41.0,44.0,45.0,44.0
115,44.0,42.0,41.0,41.0
116,46.0,45.0,43.0,43.0
117,42.0,43.0,41.0,41.0
118,44.0,41.0,41.0,41.0
119,44.0,46.0,43.0,43.0
120,43.0,46.0,44.0,44.0
121,47.0,44.0,44.0,43.0
122,44.0,48.0,46.0,46.0
123,42.0,46.0,45.0,45.0
124,47.0,44.0,45.0,45.0
125,46.0,48.0,46.0,46.0
126,43.0,43.0,44.0,44.0
127,46.0,43.0,43.0,43.0
128,46.0,48.0,46.0,46.0
129,42.0,45.0,44.0,44.0
130,46.0,43.0,44.0,44.0
131,46.0,47.0,45.0,45.0
132,42.0,43.0,43.0,43.0
133,45.0,44.0,44.0,42.0
134,46.0,47.0,45.0,45.0
135,43.0,43.0,41.0,41.0
136,42.0,40.0,40.0,40.0
137,43.0,44.0,44.0,44.0
138,45.0,44.0,45.0,45.0
139,46.0,47.0,43.0,43.0
140,45.0,44.0,45.0,44.0
141,44.0,44.0,45.0,45.0
142,47.0,47.0,45.0,45.0
143,48.0,46.0,46.0,46.0
144,45.0,44.0,45.0,45.0
145,48.0,47.0,45.0,45.0
146,48.0,45.0,47.0,47.0
147,44.0,45.0,45.0,45.0
148,47.0,46.0,46.0,46.0
149,48.0,46.0,47.0,47.0
150,44.0,44.0,45.0,45.0
151,48.0,46.0,46.0,46.0
152,48.0,45.0,47.0,47.0
153,45.0,44.0,45.0,45.0
154,46.0,44.0,44.0,44.0
155,48.0,45.0,46.0,46.0
156,43.0,44.0,44.0,44.0
157,46.0,45.0,46.0,46.0
158,47.0,45.0,46.0,46.0
159,44.0,44.0,45.0,45.0
160,47.0,45.0,45.0,45.0
161,48.0,45.0,47.0,47.0
162,44.0,43.0,44.0,44.0
163,45.0,43.0,43.0,43.0
164,48.0,44.0,47.0,47.0
165,44.0,39.0,41.0,41.0
166,43.0,40.0,39.0,39.0
167,44.0,42.0,43.0,43.0
