Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
0,37.0,39.0,41.0,36.0,37.0,41.0,41.0,41.0,40.0
1,32.0,38.0,38.0,36.0,31.0,40.0,43.0,40.0,42.0
2,36.0,39.0,43.0,38.0,32.0,40.0,42.0,42.0,38.0
3,41.0,41.0,41.0,40.0,37.0,41.0,42.0,41.0,42.0
4,39.0,41.0,43.0,38.0,38.0,41.0,42.0,43.0,44.0
5,43.0,41.0,43.0,42.0,39.0,43.0,42.0,42.0,41.0
6,41.0,42.0,42.0,41.0,38.0,42.0,43.0,42.0,40.0
7,39.0,42.0,44.0,39.0,38.0,41.0,43.0,44.0,43.0
8,43.0,42.0,43.0,43.0,39.0,42.0,43.0,42.0,42.0
9,38.0,40.0,42.0,37.0,37.0,39.0,41.0,41.0,42.0
10,33.0,39.0,40.0,38.0,36.0,40.0,41.0,41.0,44.0
11,37.0,40.0,44.0,39.0,33.0,41.0,43.0,43.0,39.0
12,37.0,43.0,42.0,36.0,36.0,43.0,44.0,41.0,41.0
13,37.0,38.0,44.0,37.0,35.0,39.0,40.0,43.0,43.0
14,36.0,39.0,43.0,38.0,32.0,40.0,42.0,42.0,39.0
15,38.0,44.0,43.0,37.0,37.0,44.0,45.0,42.0,42.0
16,38.0,38.0,45.0,37.0,32.0,40.0,40.0,44.0,44.0
17,37.0,39.0,44.0,37.0,33.0,41.0,43.0,41.0,40.0
18,41.0,41.0,41.0,40.0,41.0,41.0,41.0,41.0,42.0
19,43.0,41.0,43.0,42.0,41.0,42.0,42.0,43.0,44.0
20,42.0,40.0,42.0,41.0,40.0,42.0,42.0,42.0,41.0
21,42.0,42.0,42.0,41.0,42.0,42.0,42.0,42.0,42.0
22,44.0,42.0,44.0,43.0,42.0,43.0,43.0,44.0,44.0
23,42.0,41.0,43.0,42.0,41.0,43.0,43.0,43.0,42.0
24,42.0,43.0,43.0,41.0,40.0,42.0,42.0,43.0,43.0
25,40.0,44.0,44.0,39.0,40.0,43.0,42.0,44.0,44.0
26,44.0,41.0,44.0,43.0,40.0,43.0,43.0,43.0,41.0
27,42.0,43.0,42.0,41.0,43.0,43.0,43.0,42.0,42.0
28,44.0,43.0,44.0,43.0,39.0,42.0,42.0,43.0,43.0
29,43.0,44.0,43.0,42.0,39.0,43.0,43.0,42.0,40.0
30,43.0,44.0,43.0,42.0,44.0,44.0,44.0,42.0,42.0
31,45.0,43.0,45.0,44.0,39.0,43.0,43.0,44.0,44.0
32,43.0,45.0,43.0,42.0,39.0,44.0,44.0,43.0,41.0
33,42.0,42.0,42.0,42.0,42.0,41.0,42.0,42.0,40.0
