Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
0,44.0,45.0,51.0,52.0,49.0,50.0,48.0,51.0,50.0,48.0,48.0,50.0,52.0
1,41.0,42.0,53.0,51.0,47.0,52.0,45.0,46.0,52.0,51.0,51.0,49.0,48.0
2,43.0,44.0,51.0,51.0,49.0,53.0,46.0,50.0,51.0,50.0,50.0,48.0,50.0
3,51.0,50.0,51.0,52.0,50.0,51.0,51.0,51.0,52.0,50.0,50.0,51.0,55.0
4,46.0,47.0,53.0,51.0,51.0,52.0,49.0,52.0,52.0,55.0,55.0,49.0,52.0
5,50.0,50.0,53.0,52.0,51.0,53.0,49.0,52.0,52.0,55.0,55.0,52.0,49.0
6,52.0,51.0,51.0,49.0,49.0,51.0,52.0,52.0,51.0,49.0,49.0,50.0,53.0
7,47.0,48.0,52.0,51.0,51.0,52.0,50.0,53.0,52.0,51.0,50.0,49.0,51.0
8,51.0,51.0,52.0,51.0,51.0,53.0,50.0,53.0,51.0,51.0,51.0,51.0,50.0
9,50.0,50.0,54.0,49.0,51.0,51.0,52.0,51.0,52.0,49.0,49.0,52.0,52.0
10,44.0,44.0,51.0,50.0,48.0,52.0,49.0,45.0,51.0,51.0,51.0,49.0,49.0
11,49.0,49.0,51.0,50.0,49.0,52.0,49.0,49.0,54.0,51.0,51.0,54.0,50.0
12,50.0,50.0,53.0,48.0,50.0,50.0,51.0,51.0,52.0,50.0,50.0,53.0,53.0
13,44.0,44.0,50.0,50.0,49.0,51.0,48.0,45.0,50.0,50.0,50.0,50.0,50.0
14,49.0,48.0,51.0,50.0,48.0,51.0,49.0,48.0,54.0,50.0,50.0,55.0,52.0
15,46.0,47.0,50.0,49.0,49.0,50.0,47.0,51.0,50.0,51.0,51.0,50.0,51.0
16,41.0,42.0,50.0,50.0,50.0,51.0,47.0,46.0,51.0,51.0,50.0,49.0,51.0
17,44.0,44.0,52.0,50.0,47.0,51.0,45.0,49.0,51.0,50.0,50.0,52.0,51.0
18,50.0,50.0,51.0,51.0,50.0,51.0,52.0,52.0,52.0,50.0,50.0,51.0,54.0
19,49.0,50.0,55.0,55.0,55.0,55.0,52.0,54.0,52.0,54.0,54.0,51.0,51.0
20,49.0,49.0,52.0,55.0,55.0,55.0,50.0,52.0,52.0,55.0,55.0,52.0,49.0
21,51.0,51.0,51.0,51.0,50.0,51.0,53.0,53.0,51.0,50.0,50.0,50.0,52.0
22,50.0,51.0,56.0,55.0,55.0,56.0,53.0,55.0,52.0,53.0,53.0,50.0,50.0
23,50.0,50.0,52.0,55.0,55.0,56.0,51.0,53.0,51.0,51.0,51.0,51.0,49.0
24,53.0,52.0,53.0,50.0,51.0,50.0,51.0,51.0,53.0,50.0,50.0,52.0,51.0
25,48.0,48.0,51.0,51.0,51.0,51.0,53.0,48.0,53.0,51.0,51.0,53.0,53.0
26,50.0,50.0,50.0,51.0,51.0,51.0,52.0,49.0,54.0,54.0,54.0,54.0,51.0
27,53.0,52.0,52.0,49.0,50.0,50.0,53.0,52.0,53.0,53.0,53.0,53.0,52.0
28,48.0,49.0,51.0,50.0,50.0,50.0,52.0,49.0,53.0,52.0,52.0,54.0,53.0
29,50.0,49.0,51.0,50.0,50.0,50.0,51.0,51.0,54.0,53.0,53.0,55.0,52.0
30,48.0,49.0,51.0,49.0,49.0,50.0,50.0,53.0,50.0,54.0,54.0,50.0,50.0
31,47.0,49.0,52.0,51.0,51.0,51.0,52.0,50.0,50.0,53.0,53.0,51.0,53.0
32,48.0,50.0,52.0,50.0,50.0,51.0,48.0,52.0,51.0,54.0,54.0,52.0,53.0
33,47.0,50.0,50.0,48.0,48.0,51.0,51.0,51.0,50.0,49.0,49.0,50.0,48.0
34,51.0,50.0,56.0,51.0,50.0,56.0,54.0,53.0,51.0,50.0,49.0,46.0,49.0
35,49.0,48.0,52.0,51.0,51.0,56.0,51.0,50.0,47.0,49.0,48.0,46.0,45.0
36,54.0,53.0,51.0,49.0,50.0,51.0,52.0,52.0,52.0,51.0,51.0,50.0,52.0
37,49.0,49.0,49.0,51.0,51.0,52.0,54.0,47.0,51.0,51.0,51.0,49.0,54.0
38,51.0,51.0,49.0,51.0,51.0,51.0,53.0,50.0,50.0,50.0,50.0,50.0,52.0
39,54.0,53.0,51.0,49.0,49.0,51.0,54.0,53.0,52.0,51.0,51.0,50.0,52.0
40,49.0,50.0,50.0,50.0,50.0,51.0,53.0,50.0,50.0,51.0,51.0,52.0,54.0
41,51.0,50.0,50.0,50.0,50.0,51.0,52.0,52.0,50.0,50.0,50.0,52.0,52.0
42,49.0,50.0,52.0,49.0,49.0,50.0,51.0,54.0,50.0,52.0,52.0,50.0,48.0
43,48.0,50.0,50.0,51.0,51.0,51.0,53.0,51.0,50.0,50.0,50.0,50.0,50.0
44,49.0,51.0,51.0,50.0,50.0,51.0,49.0,53.0,51.0,51.0,51.0,52.0,51.0
45,52.0,52.0,51.0,50.0,50.0,47.0,47.0,50.0,53.0,47.0,47.0,53.0,50.0
46,46.0,46.0,48.0,50.0,50.0,49.0,48.0,45.0,49.0,49.0,49.0,49.0,52.0
47,48.0,48.0,50.0,49.0,49.0,49.0,48.0,48.0,53.0,50.0,50.0,53.0,48.0
48,52.0,52.0,53.0,49.0,49.0,50.0,50.0,50.0,53.0,50.0,50.0,54.0,51.0
49,46.0,48.0,53.0,50.0,50.0,50.0,52.0,44.0,50.0,49.0,49.0,50.0,52.0
50,48.0,48.0,50.0,49.0,49.0,50.0,49.0,48.0,53.0,49.0,49.0,54.0,51.0
51,51.0,50.0,50.0,50.0,50.0,50.0,51.0,49.0,54.0,51.0,51.0,53.0,51.0
52,46.0,49.0,54.0,51.0,51.0,51.0,53.0,45.0,51.0,48.0,48.0,49.0,53.0
53,48.0,48.0,49.0,49.0,49.0,50.0,48.0,48.0,51.0,50.0,50.0,51.0,50.0
54,52.0,51.0,53.0,48.0,48.0,49.0,49.0,49.0,52.0,51.0,51.0,53.0,51.0
55,46.0,48.0,52.0,49.0,49.0,49.0,51.0,43.0,49.0,48.0,48.0,50.0,52.0
56,48.0,47.0,49.0,48.0,48.0,49.0,48.0,47.0,52.0,50.0,50.0,53.0,50.0
57,51.0,51.0,50.0,49.0,49.0,50.0,50.0,49.0,53.0,52.0,52.0,52.0,51.0
58,46.0,49.0,53.0,50.0,50.0,50.0,52.0,44.0,50.0,49.0,49.0,51.0,53.0
59,48.0,47.0,49.0,49.0,49.0,50.0,48.0,47.0,50.0,51.0,51.0,50.0,51.0
60,44.0,45.0,51.0,50.0,50.0,48.0,46.0,48.0,49.0,50.0,50.0,48.0,48.0
61,41.0,43.0,49.0,49.0,49.0,47.0,48.0,44.0,48.0,50.0,50.0,48.0,50.0
62,42.0,43.0,48.0,49.0,49.0,47.0,44.0,45.0,50.0,49.0,50.0,49.0,50.0
63,49.0,49.0,50.0,50.0,49.0,50.0,51.0,52.0,51.0,49.0,49.0,50.0,53.0
64,48.0,49.0,54.0,54.0,54.0,54.0,53.0,54.0,52.0,55.0,55.0,51.0,50.0
65,48.0,48.0,51.0,55.0,55.0,55.0,49.0,51.0,51.0,54.0,54.0,51.0,48.0
66,50.0,50.0,50.0,50.0,50.0,50.0,52.0,53.0,50.0,49.0,49.0,49.0,51.0
67,49.0,50.0,55.0,54.0,54.0,55.0,54.0,55.0,52.0,53.0,53.0,51.0,49.0
68,49.0,49.0,51.0,55.0,55.0,56.0,50.0,52.0,50.0,51.0,51.0,50.0,48.0
69,52.0,51.0,52.0,50.0,51.0,50.0,50.0,51.0,53.0,49.0,49.0,51.0,50.0
70,52.0,52.0,50.0,52.0,52.0,52.0,52.0,50.0,53.0,51.0,51.0,53.0,52.0
71,49.0,49.0,51.0,54.0,54.0,54.0,51.0,49.0,53.0,53.0,53.0,53.0,50.0
72,52.0,51.0,51.0,49.0,50.0,49.0,52.0,52.0,53.0,52.0,52.0,52.0,51.0
73,52.0,51.0,50.0,51.0,51.0,51.0,54.0,49.0,53.0,51.0,51.0,54.0,52.0
74,49.0,48.0,53.0,53.0,53.0,53.0,50.0,51.0,53.0,52.0,52.0,54.0,52.0
75,47.0,48.0,50.0,49.0,49.0,49.0,49.0,53.0,49.0,53.0,53.0,49.0,49.0
76,48.0,50.0,51.0,52.0,50.0,52.0,53.0,50.0,51.0,52.0,52.0,51.0,52.0
77,48.0,49.0,54.0,54.0,54.0,54.0,49.0,52.0,50.0,53.0,53.0,51.0,53.0
78,46.0,49.0,49.0,50.0,50.0,51.0,50.0,51.0,49.0,48.0,48.0,49.0,48.0
79,50.0,49.0,55.0,53.0,50.0,55.0,55.0,53.0,51.0,49.0,48.0,50.0,48.0
80,48.0,48.0,51.0,52.0,52.0,56.0,51.0,50.0,46.0,49.0,49.0,45.0,45.0
81,53.0,52.0,51.0,50.0,51.0,51.0,51.0,52.0,52.0,50.0,50.0,51.0,51.0
82,53.0,53.0,51.0,52.0,52.0,53.0,53.0,48.0,53.0,52.0,52.0,53.0,53.0
83,50.0,50.0,52.0,54.0,54.0,55.0,52.0,50.0,49.0,49.0,49.0,49.0,51.0
84,53.0,52.0,50.0,50.0,50.0,50.0,53.0,53.0,52.0,50.0,50.0,52.0,51.0
85,53.0,52.0,50.0,52.0,51.0,52.0,55.0,50.0,53.0,52.0,52.0,54.0,53.0
86,50.0,49.0,54.0,53.0,53.0,54.0,51.0,52.0,49.0,51.0,51.0,51.0,51.0
