Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
0,41.0,40.0,40.0,39.0,40.0,39.0,39.0
1,40.0,42.0,42.0,38.0,39.0,38.0,38.0
2,42.0,39.0,39.0,40.0,41.0,42.0,42.0
3,44.0,41.0,41.0,40.0,40.0,40.0,40.0
4,41.0,42.0,42.0,41.0,41.0,41.0,41.0
5,42.0,43.0,43.0,41.0,41.0,46.0,46.0
6,41.0,40.0,40.0,39.0,40.0,39.0,39.0
7,41.0,42.0,42.0,41.0,41.0,41.0,41.0
8,42.0,42.0,42.0,41.0,41.0,42.0,42.0
9,45.0,42.0,42.0,40.0,45.0,41.0,41.0
10,41.0,42.0,42.0,38.0,42.0,38.0,38.0
11,40.0,40.0,40.0,41.0,43.0,42.0,42.0
12,44.0,41.0,41.0,39.0,44.0,41.0,41.0
13,41.0,43.0,43.0,37.0,41.0,42.0,43.0
14,43.0,43.0,43.0,42.0,42.0,46.0,46.0
15,40.0,41.0,41.0,40.0,40.0,40.0,40.0
16,37.0,42.0,42.0,38.0,38.0,38.0,39.0
17,40.0,42.0,42.0,42.0,40.0,42.0,42.0
18,44.0,41.0,41.0,40.0,40.0,40.0,40.0
19,41.0,42.0,42.0,41.0,41.0,41.0,41.0
20,42.0,45.0,45.0,46.0,41.0,46.0,46.0
21,45.0,41.0,41.0,40.0,40.0,40.0,40.0
22,42.0,43.0,43.0,41.0,41.0,42.0,42.0
23,42.0,46.0,46.0,46.0,41.0,46.0,46.0
24,45.0,42.0,42.0,41.0,45.0,41.0,41.0
25,44.0,41.0,41.0,41.0,43.0,40.0,40.0
26,43.0,41.0,41.0,45.0,43.0,42.0,42.0
27,44.0,43.0,43.0,40.0,44.0,43.0,43.0
28,43.0,42.0,43.0,41.0,42.0,41.0,42.0
29,42.0,46.0,46.0,46.0,42.0,46.0,46.0
30,40.0,40.0,40.0,39.0,40.0,39.0,39.0
31,39.0,41.0,41.0,37.0,38.0,37.0,38.0
32,40.0,42.0,42.0,42.0,40.0,42.0,42.0
33,41.0,37.0,37.0,36.0,37.0,37.0,37.0
34,41.0,38.0,38.0,37.0,39.0,38.0,38.0
35,41.0,42.0,42.0,41.0,41.0,42.0,42.0
36,46.0,38.0,38.0,41.0,42.0,37.0,37.0
37,41.0,41.0,41.0,41.0,43.0,41.0,41.0
38,41.0,42.0,42.0,45.0,43.0,42.0,42.0
39,45.0,41.0,41.0,40.0,41.0,41.0,41.0
40,40.0,43.0,43.0,41.0,42.0,42.0,42.0
41,41.0,47.0,47.0,46.0,42.0,46.0,46.0
42,41.0,37.0,37.0,36.0,37.0,37.0,37.0
43,37.0,39.0,39.0,37.0,38.0,38.0,38.0
44,41.0,43.0,43.0,41.0,40.0,42.0,42.0
45,38.0,39.0,40.0,44.0,42.0,38.0,39.0
46,41.0,42.0,42.0,42.0,43.0,38.0,38.0
47,40.0,41.0,41.0,41.0,44.0,43.0,43.0
48,39.0,42.0,45.0,45.0,42.0,41.0,44.0
49,41.0,47.0,47.0,43.0,47.0,43.0,43.0
50,41.0,43.0,43.0,42.0,46.0,46.0,46.0
51,38.0,38.0,41.0,40.0,40.0,38.0,40.0
52,41.0,43.0,43.0,39.0,43.0,39.0,39.0
53,40.0,42.0,42.0,42.0,43.0,43.0,43.0
54,39.0,41.0,44.0,44.0,41.0,40.0,43.0
55,40.0,46.0,46.0,42.0,46.0,42.0,42.0
56,41.0,42.0,43.0,42.0,45.0,45.0,45.0
57,38.0,40.0,42.0,40.0,39.0,40.0,41.0
58,40.0,43.0,43.0,38.0,42.0,42.0,42.0
59,41.0,43.0,43.0,42.0,42.0,43.0,43.0
60,36.0,37.0,38.0,36.0,37.0,37.0,37.0
61,37.0,39.0,39.0,37.0,38.0,38.0,38.0
62,38.0,42.0,42.0,38.0,42.0,42.0,42.0
63,43.0,40.0,40.0,39.0,39.0,39.0,39.0
64,40.0,42.0,42.0,40.0,40.0,41.0,41.0
65,41.0,44.0,44.0,45.0,41.0,45.0,45.0
66,44.0,41.0,41.0,39.0,39.0,40.0,40.0
67,41.0,43.0,43.0,40.0,40.0,42.0,42.0
68,41.0,45.0,45.0,45.0,41.0,45.0,45.0
69,44.0,41.0,41.0,40.0,44.0,40.0,40.0
70,43.0,41.0,41.0,40.0,42.0,39.0,39.0
71,42.0,41.0,41.0,44.0,42.0,41.0,41.0
72,43.0,42.0,42.0,39.0,43.0,42.0,42.0
73,42.0,42.0,42.0,40.0,41.0,41.0,41.0
74,41.0,45.0,45.0,45.0,41.0,45.0,46.0
75,39.0,39.0,39.0,38.0,39.0,38.0,38.0
76,38.0,40.0,40.0,36.0,37.0,37.0,37.0
77,39.0,41.0,41.0,41.0,39.0,41.0,42.0
78,40.0,37.0,37.0,36.0,37.0,36.0,36.0
79,40.0,38.0,38.0,37.0,38.0,37.0,37.0
80,40.0,42.0,42.0,41.0,40.0,42.0,42.0
81,45.0,37.0,37.0,40.0,41.0,37.0,37.0
82,42.0,41.0,41.0,40.0,42.0,40.0,40.0
83,42.0,42.0,42.0,44.0,42.0,42.0,42.0
84,44.0,41.0,41.0,39.0,40.0,40.0,41.0
85,41.0,43.0,43.0,40.0,41.0,42.0,42.0
86,41.0,46.0,46.0,45.0,41.0,45.0,47.0
87,40.0,37.0,37.0,36.0,37.0,37.0,37.0
88,37.0,39.0,39.0,37.0,38.0,38.0,38.0
89,40.0,42.0,42.0,41.0,40.0,42.0,43.0
90,38.0,38.0,39.0,43.0,41.0,38.0,38.0
91,43.0,41.0,41.0,41.0,42.0,38.0,38.0
92,44.0,41.0,41.0,42.0,43.0,42.0,42.0
93,38.0,41.0,44.0,44.0,41.0,41.0,43.0
94,42.0,46.0,46.0,42.0,46.0,42.0,42.0
95,44.0,46.0,46.0,41.0,45.0,45.0,45.0
96,39.0,37.0,40.0,39.0,40.0,37.0,39.0
97,42.0,42.0,42.0,38.0,42.0,38.0,38.0
98,45.0,42.0,42.0,42.0,43.0,42.0,42.0
99,38.0,40.0,43.0,43.0,40.0,40.0,42.0
100,41.0,45.0,45.0,41.0,45.0,41.0,41.0
101,43.0,45.0,45.0,41.0,44.0,44.0,44.0
102,38.0,40.0,41.0,39.0,39.0,41.0,41.0
103,41.0,42.0,42.0,37.0,41.0,42.0,42.0
104,44.0,42.0,42.0,41.0,42.0,43.0,43.0
105,35.0,36.0,37.0,36.0,37.0,37.0,37.0
106,37.0,38.0,38.0,37.0,38.0,38.0,38.0
107,40.0,41.0,41.0,41.0,42.0,41.0,41.0
108,32.0,36.0,36.0,34.0,37.0,37.0,37.0
109,32.0,39.0,39.0,34.0,37.0,38.0,38.0
110,35.0,38.0,38.0,36.0,39.0,38.0,38.0
111,37.0,38.0,38.0,37.0,38.0,37.0,37.0
112,37.0,39.0,39.0,36.0,39.0,38.0,38.0
113,38.0,42.0,42.0,41.0,41.0,42.0,42.0
114,36.0,38.0,38.0,37.0,37.0,37.0,37.0
115,36.0,39.0,39.0,37.0,39.0,38.0,38.0
116,40.0,42.0,42.0,42.0,40.0,42.0,42.0
117,32.0,37.0,37.0,35.0,37.0,36.0,36.0
118,32.0,39.0,39.0,36.0,38.0,38.0,38.0
119,35.0,38.0,38.0,37.0,39.0,38.0,38.0
120,36.0,39.0,39.0,39.0,42.0,39.0,39.0
121,38.0,42.0,42.0,41.0,43.0,39.0,39.0
122,39.0,42.0,42.0,41.0,44.0,42.0,42.0
123,36.0,41.0,41.0,40.0,41.0,42.0,42.0
124,40.0,42.0,42.0,42.0,43.0,42.0,42.0
125,40.0,47.0,47.0,42.0,43.0,46.0,46.0
126,36.0,38.0,38.0,37.0,38.0,38.0,38.0
127,37.0,39.0,39.0,37.0,40.0,39.0,39.0
128,40.0,43.0,43.0,41.0,42.0,42.0,42.0
129,36.0,40.0,40.0,40.0,40.0,41.0,41.0
130,39.0,43.0,43.0,41.0,42.0,42.0,42.0
131,40.0,46.0,46.0,42.0,42.0,45.0,45.0
132,36.0,38.0,38.0,37.0,37.0,37.0,37.0
133,36.0,39.0,39.0,37.0,39.0,39.0,39.0
134,39.0,43.0,43.0,42.0,41.0,42.0,42.0
135,32.0,37.0,37.0,34.0,37.0,36.0,36.0
136,32.0,38.0,38.0,36.0,38.0,38.0,38.0
137,35.0,39.0,39.0,37.0,39.0,38.0,38.0
138,37.0,40.0,40.0,39.0,42.0,38.0,38.0
139,40.0,42.0,42.0,41.0,44.0,41.0,41.0
140,40.0,42.0,42.0,41.0,44.0,43.0,43.0
141,37.0,42.0,42.0,40.0,42.0,42.0,42.0
142,40.0,43.0,43.0,42.0,43.0,46.0,46.0
143,40.0,43.0,43.0,42.0,43.0,46.0,46.0
144,38.0,39.0,39.0,40.0,43.0,41.0,41.0
145,41.0,42.0,42.0,41.0,43.0,42.0,42.0
146,41.0,42.0,42.0,42.0,44.0,43.0,43.0
147,36.0,41.0,41.0,40.0,41.0,41.0,41.0
148,39.0,45.0,45.0,42.0,42.0,47.0,47.0
149,39.0,45.0,45.0,42.0,47.0,46.0,46.0
150,37.0,41.0,41.0,41.0,42.0,40.0,41.0
151,40.0,43.0,43.0,42.0,43.0,43.0,43.0
152,40.0,43.0,43.0,43.0,47.0,43.0,43.0
153,35.0,40.0,40.0,36.0,39.0,37.0,37.0
154,37.0,40.0,40.0,37.0,40.0,39.0,39.0
155,37.0,42.0,42.0,40.0,43.0,42.0,42.0
156,35.0,40.0,40.0,39.0,40.0,40.0,40.0
157,38.0,44.0,44.0,41.0,41.0,46.0,46.0
158,38.0,44.0,44.0,41.0,46.0,45.0,45.0
159,36.0,40.0,40.0,40.0,41.0,40.0,41.0
160,39.0,43.0,43.0,42.0,42.0,42.0,42.0
161,39.0,43.0,43.0,42.0,46.0,43.0,43.0
162,35.0,39.0,39.0,36.0,38.0,37.0,37.0
163,36.0,39.0,39.0,37.0,39.0,39.0,39.0
164,37.0,42.0,42.0,41.0,43.0,42.0,42.0
165,31.0,35.0,35.0,35.0,37.0,35.0,35.0
166,32.0,38.0,38.0,36.0,38.0,38.0,38.0
167,33.0,38.0,38.0,37.0,38.0,38.0,38.0
