Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
0,36.0,38.0,38.0,36.0,38.0,38.0,38.0,37.0,37.0,38.0,37.0,38.0,38.0,37.0,32.0
1,38.0,39.0,34.0,36.0,39.0,39.0,39.0,33.0,37.0,39.0,37.0,34.0,34.0,38.0,37.0
2,37.0,42.0,37.0,36.0,39.0,39.0,39.0,36.0,36.0,37.0,36.0,37.0,39.0,42.0,37.0
3,37.0,38.0,38.0,37.0,38.0,38.0,38.0,37.0,37.0,38.0,37.0,38.0,38.0,37.0,32.0
4,42.0,39.0,39.0,40.0,39.0,39.0,41.0,38.0,42.0,39.0,42.0,39.0,39.0,38.0,38.0
5,41.0,42.0,42.0,40.0,42.0,42.0,42.0,41.0,39.0,40.0,39.0,42.0,42.0,42.0,38.0
6,37.0,38.0,38.0,37.0,38.0,38.0,38.0,37.0,37.0,39.0,37.0,38.0,38.0,37.0,32.0
7,43.0,39.0,39.0,41.0,38.0,38.0,41.0,38.0,42.0,40.0,42.0,39.0,39.0,38.0,37.0
8,42.0,42.0,42.0,41.0,42.0,42.0,42.0,41.0,39.0,40.0,39.0,42.0,42.0,42.0,37.0
9,41.0,41.0,39.0,41.0,40.0,40.0,38.0,38.0,37.0,38.0,37.0,39.0,39.0,41.0,37.0
10,41.0,42.0,37.0,41.0,42.0,42.0,42.0,37.0,38.0,40.0,38.0,37.0,37.0,42.0,38.0
11,41.0,44.0,41.0,41.0,41.0,41.0,40.0,40.0,36.0,38.0,36.0,41.0,41.0,43.0,38.0
12,40.0,41.0,40.0,40.0,41.0,41.0,37.0,39.0,36.0,38.0,36.0,40.0,40.0,41.0,38.0
13,40.0,42.0,38.0,40.0,41.0,42.0,41.0,38.0,38.0,39.0,38.0,38.0,38.0,42.0,39.0
14,40.0,43.0,42.0,40.0,42.0,42.0,39.0,41.0,36.0,38.0,36.0,42.0,42.0,42.0,39.0
15,37.0,38.0,39.0,37.0,40.0,40.0,37.0,38.0,37.0,38.0,37.0,39.0,39.0,37.0,37.0
16,38.0,39.0,37.0,36.0,39.0,41.0,38.0,37.0,38.0,37.0,38.0,37.0,37.0,38.0,38.0
17,38.0,42.0,41.0,36.0,41.0,41.0,39.0,40.0,37.0,39.0,37.0,41.0,41.0,42.0,38.0
18,37.0,38.0,38.0,37.0,38.0,38.0,38.0,37.0,37.0,38.0,37.0,38.0,38.0,37.0,32.0
19,41.0,39.0,39.0,40.0,38.0,38.0,41.0,38.0,41.0,41.0,41.0,39.0,39.0,38.0,38.0
20,41.0,42.0,42.0,40.0,42.0,42.0,42.0,41.0,38.0,44.0,38.0,42.0,42.0,41.0,38.0
21,37.0,38.0,38.0,37.0,38.0,38.0,38.0,37.0,37.0,39.0,37.0,38.0,38.0,37.0,32.0
