Move,Piece,Rotation,Flip,Row,Col
0,Piece.RAILWAY_JUNCTION,Rotation.I,False,1,6
0,Piece.HIGHWAY_CORNER,Rotation.R270,False,5,1
0,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,6
0,Piece.STRAIGHT_STATION,Rotation.R270,False,5,0
0,Piece.RAILWAY_CORNER,Rotation.R180,False,1,4
1,Piece.HIGHWAY_CORNER,Rotation.R270,False,5,1
1,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,6
1,Piece.STRAIGHT_STATION,Rotation.R270,False,5,0
1,Piece.CORNER_JUNCTION,Rotation.R180,False,2,6
1,Piece.RAILWAY_CORNER,Rotation.R180,False,1,4
2,Piece.CORNER_JUNCTION,Rotation.I,False,1,6
2,Piece.HIGHWAY_CORNER,Rotation.R90,False,1,5
2,Piece.STRAIGHT_STATION,Rotation.I,False,2,6
2,Piece.RAILWAY_CORNER,Rotation.R270,False,1,4
2,Piece.HIGHWAY_CORNER,Rotation.R270,False,0,6
3,Piece.CORNER_JUNCTION,Rotation.I,False,1,6
3,Piece.HIGHWAY_CORNER,Rotation.R180,False,1,5
3,Piece.STRAIGHT_STATION,Rotation.I,False,2,6
3,Piece.RAILWAY_CORNER,Rotation.R270,False,1,4
3,Piece.HIGHWAY_CORNER,Rotation.R270,False,0,6
4,Piece.THREE_R_JUNCTION,Rotation.R180,False,1,3
4,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,6
4,Piece.STRAIGHT_STATION,Rotation.I,False,2,6
4,Piece.RAILWAY_CORNER,Rotation.R270,False,1,4
4,Piece.HIGHWAY_CORNER,Rotation.R270,False,0,6
5,Piece.RAILWAY_JUNCTION,Rotation.I,False,1,3
5,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,6
5,Piece.STRAIGHT_STATION,Rotation.I,False,2,6
5,Piece.RAILWAY_CORNER,Rotation.R270,False,1,4
5,Piece.HIGHWAY_CORNER,Rotation.R270,False,0,6
6,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
6,Piece.HIGHWAY_CORNER,Rotation.R270,False,5,1
6,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,6
6,Piece.STRAIGHT_STATION,Rotation.R270,False,5,0
6,Piece.CORNER_JUNCTION,Rotation.R270,False,0,6
7,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
7,Piece.HIGHWAY_CORNER,Rotation.R270,False,5,1
7,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,6
7,Piece.STRAIGHT_STATION,Rotation.R270,False,5,0
7,Piece.HIGHWAY_JUNCTION,Rotation.I,False,0,6
8,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
8,Piece.RAILWAY_JUNCTION,Rotation.I,False,1,6
8,Piece.HIGHWAY_CORNER,Rotation.R270,False,5,1
8,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,6
8,Piece.STRAIGHT_STATION,Rotation.R270,False,5,0
9,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
9,Piece.THREE_R_JUNCTION,Rotation.I,False,1,6
9,Piece.HIGHWAY_CORNER,Rotation.R90,False,5,5
9,Piece.RAILWAY_CORNER,Rotation.R180,False,1,4
9,Piece.HIGHWAY_CORNER,Rotation.R270,False,0,6
10,Piece.STRAIGHT_STATION,Rotation.I,False,1,3
10,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,6
10,Piece.CORNER_JUNCTION,Rotation.R180,False,2,6
10,Piece.RAILWAY_CORNER,Rotation.R180,False,1,4
10,Piece.HIGHWAY_CORNER,Rotation.I,False,2,3
11,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
11,Piece.HIGHWAY_CORNER,Rotation.R270,False,5,1
11,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,6
11,Piece.STRAIGHT_STATION,Rotation.R270,False,5,0
11,Piece.THREE_R_JUNCTION,Rotation.R270,False,0,6
12,Piece.STRAIGHT_STATION,Rotation.I,False,1,2
12,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,6
12,Piece.HIGHWAY_CORNER,Rotation.R90,False,2,2
12,Piece.CORNER_JUNCTION,Rotation.R180,False,2,6
12,Piece.RAILWAY_CORNER,Rotation.R180,False,1,4
13,Piece.HIGHWAY_CORNER,Rotation.R270,False,5,1
13,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,6
13,Piece.STRAIGHT_STATION,Rotation.R270,False,5,0
13,Piece.RAILWAY_CORNER,Rotation.R180,False,1,4
13,Piece.THREE_R_JUNCTION,Rotation.R270,False,0,6
14,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
14,Piece.THREE_R_JUNCTION,Rotation.I,False,1,6
14,Piece.HIGHWAY_CORNER,Rotation.R270,False,5,1
14,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,6
14,Piece.STRAIGHT_STATION,Rotation.R270,False,5,0
15,Piece.HIGHWAY_CORNER,Rotation.R270,False,5,1
15,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,6
15,Piece.STRAIGHT_STATION,Rotation.R270,False,5,0
15,Piece.THREE_H_JUNCTION,Rotation.R90,False,2,6
15,Piece.RAILWAY_CORNER,Rotation.R180,False,1,4
