Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
0,47.0,47.0,50.0,50.0,49.0,50.0,48.0,48.0,46.0,47.0,47.0,47.0
1,44.0,48.0,51.0,51.0,50.0,52.0,47.0,47.0,47.0,49.0,47.0,48.0
2,49.0,49.0,50.0,50.0,53.0,53.0,47.0,47.0,49.0,48.0,51.0,48.0
3,48.0,53.0,52.0,52.0,50.0,52.0,48.0,48.0,50.0,48.0,51.0,51.0
4,49.0,50.0,53.0,53.0,52.0,54.0,47.0,47.0,49.0,50.0,53.0,52.0
5,50.0,53.0,51.0,51.0,53.0,54.0,48.0,48.0,50.0,49.0,53.0,48.0
6,47.0,49.0,50.0,50.0,49.0,51.0,47.0,47.0,46.0,49.0,47.0,47.0
7,50.0,46.0,51.0,51.0,53.0,53.0,48.0,48.0,48.0,51.0,49.0,48.0
8,49.0,49.0,51.0,51.0,51.0,53.0,47.0,47.0,48.0,50.0,51.0,48.0
9,46.0,51.0,53.0,53.0,50.0,49.0,46.0,46.0,46.0,47.0,49.0,47.0
10,44.0,48.0,51.0,51.0,51.0,51.0,47.0,47.0,47.0,48.0,51.0,48.0
11,49.0,49.0,52.0,52.0,53.0,53.0,48.0,48.0,47.0,48.0,52.0,48.0
12,49.0,51.0,52.0,52.0,49.0,48.0,51.0,51.0,46.0,46.0,49.0,51.0
13,48.0,49.0,53.0,53.0,50.0,50.0,51.0,51.0,51.0,48.0,51.0,51.0
14,53.0,53.0,51.0,51.0,52.0,52.0,48.0,48.0,50.0,48.0,51.0,48.0
15,50.0,50.0,50.0,50.0,50.0,49.0,51.0,51.0,47.0,47.0,48.0,51.0
16,49.0,50.0,51.0,51.0,50.0,51.0,52.0,52.0,52.0,49.0,48.0,52.0
17,54.0,54.0,51.0,51.0,52.0,51.0,48.0,48.0,51.0,48.0,52.0,49.0
18,48.0,52.0,51.0,51.0,53.0,53.0,49.0,49.0,51.0,48.0,50.0,51.0
19,48.0,49.0,52.0,52.0,51.0,53.0,48.0,48.0,50.0,54.0,52.0,52.0
20,49.0,52.0,51.0,51.0,52.0,53.0,48.0,48.0,51.0,49.0,52.0,48.0
21,48.0,48.0,50.0,50.0,52.0,53.0,47.0,47.0,50.0,49.0,48.0,51.0
22,49.0,47.0,51.0,51.0,52.0,52.0,49.0,49.0,51.0,55.0,48.0,52.0
23,50.0,50.0,51.0,51.0,52.0,52.0,47.0,47.0,49.0,50.0,52.0,48.0
24,47.0,52.0,52.0,52.0,51.0,48.0,46.0,46.0,47.0,47.0,50.0,50.0
25,47.0,49.0,51.0,51.0,51.0,51.0,47.0,47.0,47.0,49.0,52.0,52.0
26,50.0,50.0,53.0,53.0,53.0,52.0,48.0,48.0,47.0,49.0,53.0,48.0
