Piece,Rotation,Flip,Row,Col,Turn
Piece.OVERPASS,Rotation.R90,False,3,0,1
Piece.RAILWAY_CORNER,Rotation.I,False,4,0,1
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,1,1
Piece.RAILWAY_CORNER,Rotation.R270,False,2,0,1
Piece.STRAIGHT_STATION,Rotation.R90,False,3,3,2
Piece.HIGHWAY_T,Rotation.R180,False,3,2,2
Piece.RAILWAY_CORNER,Rotation.I,False,3,4,2
Piece.RAILWAY_STRAIGHT,Rotation.I,False,2,4,2
Piece.STRAIGHT_STATION,Rotation.R180,False,6,3,3
Piece.HIGHWAY_CORNER,Rotation.R90,False,4,2,3
Piece.HIGHWAY_T,Rotation.R90,False,5,3,3
Piece.HIGHWAY_CORNER,Rotation.R270,False,4,3,3
Piece.STRAIGHT_STATION,Rotation.R90,False,6,6,4
Piece.HIGHWAY_T,Rotation.R90,False,6,4,4
Piece.HIGHWAY_CORNER,Rotation.R270,False,5,4,4
Piece.HIGHWAY_T,Rotation.R180,False,6,5,4
Piece.OVERPASS,Rotation.R90,False,0,2,5
Piece.CROSS_JUNCTION,Rotation.R90,False,0,3,5
Piece.HIGHWAY_T,Rotation.I,False,0,4,5
Piece.HIGHWAY_T,Rotation.I,False,0,5,5
Piece.HIGHWAY_CORNER,Rotation.R90,False,0,1,5
Piece.THREE_R_JUNCTION,Rotation.R180,False,1,3,6
Piece.HIGHWAY_CORNER,Rotation.R90,False,3,6,6
Piece.STRAIGHT_STATION,Rotation.I,False,2,6,6
Piece.RAILWAY_CORNER,Rotation.R270,False,1,4,6
Piece.HIGHWAY_CORNER,Rotation.R270,False,0,6,6
Piece.CORNER_JUNCTION,Rotation.I,False,1,6,7
Piece.RAILWAY_T,Rotation.I,False,1,2,7
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,1,7
Piece.OVERPASS,Rotation.R90,False,0,0,7
Piece.RAILWAY_T,Rotation.I,False,1,0,7
