Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
0,41.0,42.0,40.0,41.0,37.0,37.0
1,41.0,44.0,42.0,43.0,42.0,41.0
2,41.0,41.0,40.0,39.0,40.0,37.0
3,41.0,42.0,41.0,41.0,39.0,38.0
4,43.0,44.0,43.0,43.0,41.0,42.0
5,41.0,42.0,42.0,41.0,41.0,39.0
6,40.0,41.0,42.0,40.0,39.0,37.0
7,43.0,45.0,44.0,44.0,42.0,41.0
8,41.0,43.0,43.0,42.0,42.0,40.0
9,40.0,40.0,40.0,40.0,37.0,38.0
10,42.0,42.0,42.0,42.0,39.0,38.0
11,40.0,40.0,38.0,38.0,39.0,38.0
12,40.0,40.0,40.0,39.0,38.0,37.0
13,41.0,43.0,42.0,42.0,40.0,39.0
14,41.0,42.0,41.0,41.0,40.0,39.0
15,41.0,41.0,41.0,40.0,39.0,37.0
16,41.0,44.0,43.0,43.0,41.0,40.0
17,42.0,43.0,42.0,42.0,41.0,40.0
18,40.0,41.0,40.0,42.0,39.0,37.0
19,43.0,43.0,42.0,44.0,42.0,41.0
20,42.0,42.0,41.0,40.0,42.0,40.0
21,41.0,41.0,41.0,40.0,39.0,38.0
22,44.0,44.0,43.0,45.0,43.0,42.0
23,43.0,43.0,42.0,41.0,43.0,41.0
24,41.0,40.0,40.0,39.0,40.0,39.0
25,43.0,41.0,41.0,41.0,39.0,39.0
26,40.0,41.0,40.0,39.0,39.0,39.0
27,40.0,40.0,39.0,38.0,39.0,38.0
28,42.0,42.0,41.0,43.0,41.0,40.0
29,41.0,42.0,41.0,40.0,41.0,40.0
30,41.0,41.0,40.0,39.0,40.0,38.0
31,43.0,43.0,42.0,44.0,42.0,41.0
32,42.0,43.0,42.0,41.0,42.0,41.0
33,40.0,40.0,41.0,39.0,39.0,37.0
34,43.0,42.0,42.0,43.0,42.0,41.0
35,40.0,44.0,43.0,38.0,42.0,40.0
36,40.0,41.0,41.0,36.0,39.0,38.0
37,44.0,42.0,42.0,42.0,39.0,39.0
38,40.0,42.0,41.0,38.0,40.0,39.0
39,40.0,40.0,40.0,38.0,38.0,37.0
40,43.0,41.0,41.0,42.0,40.0,39.0
41,41.0,43.0,42.0,39.0,41.0,39.0
42,41.0,40.0,41.0,39.0,39.0,37.0
43,44.0,42.0,42.0,43.0,41.0,40.0
44,42.0,44.0,43.0,40.0,42.0,40.0
45,39.0,39.0,38.0,37.0,37.0,35.0
46,41.0,41.0,39.0,38.0,39.0,41.0
47,39.0,39.0,37.0,37.0,39.0,37.0
48,39.0,40.0,40.0,37.0,37.0,39.0
49,41.0,40.0,40.0,40.0,38.0,41.0
50,41.0,41.0,40.0,39.0,39.0,38.0
51,40.0,41.0,41.0,38.0,37.0,40.0
52,42.0,41.0,41.0,41.0,38.0,42.0
53,42.0,42.0,41.0,40.0,40.0,39.0
54,38.0,39.0,39.0,37.0,36.0,38.0
55,40.0,39.0,39.0,39.0,38.0,40.0
56,40.0,41.0,40.0,40.0,41.0,37.0
57,39.0,40.0,40.0,38.0,37.0,39.0
58,41.0,40.0,40.0,40.0,39.0,41.0
59,41.0,42.0,41.0,41.0,42.0,38.0
60,39.0,39.0,40.0,39.0,37.0,36.0
61,40.0,41.0,41.0,41.0,40.0,42.0
62,41.0,43.0,42.0,42.0,43.0,39.0
63,41.0,40.0,39.0,41.0,38.0,36.0
64,43.0,42.0,41.0,43.0,41.0,40.0
65,43.0,41.0,40.0,39.0,41.0,39.0
66,42.0,40.0,40.0,39.0,39.0,37.0
67,44.0,43.0,42.0,44.0,42.0,41.0
68,44.0,42.0,41.0,40.0,42.0,40.0
69,41.0,39.0,39.0,38.0,39.0,38.0
70,44.0,40.0,40.0,40.0,41.0,39.0
71,41.0,41.0,40.0,39.0,39.0,39.0
72,41.0,39.0,38.0,40.0,38.0,37.0
73,43.0,41.0,40.0,42.0,40.0,39.0
