Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
0,41.0,41.0,42.0,42.0,41.0,42.0,50.0,50.0,49.0,49.0,48.0,48.0,49.0,49.0
1,44.0,44.0,47.0,46.0,44.0,47.0,50.0,50.0,50.0,49.0,47.0,47.0,48.0,48.0
2,45.0,45.0,46.0,47.0,45.0,46.0,54.0,54.0,53.0,53.0,46.0,46.0,46.0,46.0
3,41.0,41.0,42.0,42.0,41.0,42.0,49.0,49.0,49.0,49.0,48.0,48.0,49.0,49.0
4,46.0,46.0,47.0,46.0,46.0,47.0,50.0,50.0,50.0,49.0,47.0,47.0,48.0,48.0
5,46.0,46.0,46.0,47.0,46.0,46.0,53.0,53.0,53.0,53.0,46.0,46.0,46.0,46.0
6,41.0,41.0,41.0,42.0,41.0,41.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0
7,45.0,45.0,47.0,47.0,45.0,47.0,51.0,51.0,50.0,50.0,47.0,47.0,47.0,47.0
8,45.0,45.0,46.0,46.0,45.0,46.0,54.0,54.0,53.0,53.0,46.0,46.0,46.0,46.0
9,49.0,49.0,49.0,50.0,49.0,49.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0
10,50.0,50.0,54.0,51.0,50.0,54.0,55.0,55.0,54.0,54.0,47.0,47.0,48.0,48.0
11,54.0,54.0,54.0,54.0,54.0,54.0,55.0,55.0,54.0,54.0,46.0,46.0,46.0,46.0
12,50.0,50.0,50.0,51.0,50.0,50.0,53.0,53.0,52.0,52.0,47.0,47.0,48.0,48.0
13,50.0,50.0,55.0,52.0,50.0,55.0,54.0,54.0,53.0,53.0,49.0,49.0,49.0,49.0
14,55.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,55.0,55.0,49.0,49.0,50.0,50.0
15,46.0,46.0,46.0,47.0,46.0,46.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0
16,46.0,46.0,51.0,48.0,46.0,51.0,50.0,50.0,49.0,49.0,49.0,49.0,49.0,49.0
17,51.0,51.0,51.0,51.0,51.0,51.0,53.0,53.0,52.0,52.0,49.0,49.0,50.0,50.0
18,41.0,41.0,41.0,41.0,41.0,41.0,48.0,48.0,48.0,48.0,47.0,47.0,48.0,48.0
19,46.0,46.0,46.0,46.0,46.0,46.0,49.0,49.0,49.0,49.0,46.0,46.0,47.0,47.0
20,46.0,46.0,45.0,46.0,46.0,45.0,53.0,53.0,52.0,52.0,46.0,46.0,46.0,46.0
21,41.0,41.0,41.0,41.0,41.0,41.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
