Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
0,45.0,45.0,45.0,45.0,43.0,48.0,43.0,43.0
1,43.0,43.0,42.0,43.0,44.0,44.0,40.0,44.0
2,44.0,44.0,45.0,44.0,43.0,48.0,43.0,48.0
3,46.0,45.0,45.0,44.0,48.0,48.0,48.0,44.0
4,44.0,44.0,42.0,45.0,44.0,47.0,44.0,47.0
5,45.0,46.0,45.0,45.0,48.0,48.0,48.0,48.0
6,42.0,42.0,42.0,42.0,49.0,43.0,49.0,45.0
7,43.0,43.0,42.0,43.0,45.0,48.0,44.0,48.0
8,44.0,44.0,45.0,44.0,48.0,45.0,48.0,47.0
9,42.0,42.0,42.0,42.0,43.0,44.0,43.0,44.0
10,44.0,44.0,43.0,44.0,44.0,45.0,41.0,46.0
11,43.0,43.0,43.0,43.0,45.0,48.0,43.0,48.0
12,42.0,42.0,46.0,42.0,42.0,43.0,42.0,43.0
13,43.0,43.0,43.0,43.0,43.0,44.0,40.0,45.0
14,44.0,44.0,46.0,44.0,44.0,47.0,42.0,47.0
15,42.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0
16,43.0,43.0,43.0,43.0,44.0,44.0,40.0,44.0
17,43.0,43.0,43.0,43.0,44.0,44.0,42.0,44.0
18,45.0,44.0,44.0,45.0,47.0,47.0,47.0,44.0
19,46.0,46.0,41.0,46.0,47.0,47.0,47.0,47.0
20,47.0,47.0,44.0,47.0,48.0,48.0,48.0,48.0
21,42.0,42.0,42.0,44.0,48.0,43.0,48.0,45.0
22,47.0,47.0,42.0,47.0,48.0,48.0,48.0,48.0
23,48.0,48.0,44.0,48.0,48.0,45.0,48.0,47.0
24,43.0,43.0,42.0,43.0,44.0,44.0,44.0,44.0
25,48.0,48.0,43.0,48.0,45.0,45.0,46.0,46.0
26,45.0,45.0,44.0,45.0,48.0,48.0,48.0,48.0
27,42.0,42.0,45.0,42.0,43.0,43.0,43.0,43.0
28,47.0,47.0,43.0,47.0,44.0,44.0,45.0,45.0
29,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
30,42.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0
31,44.0,44.0,43.0,44.0,44.0,44.0,44.0,44.0
32,47.0,47.0,47.0,47.0,44.0,47.0,44.0,47.0
33,42.0,42.0,42.0,42.0,44.0,42.0,45.0,42.0
34,43.0,43.0,43.0,43.0,48.0,44.0,48.0,43.0
35,44.0,44.0,44.0,44.0,45.0,44.0,47.0,44.0
36,42.0,42.0,42.0,42.0,44.0,43.0,44.0,43.0
37,44.0,44.0,44.0,44.0,45.0,44.0,46.0,44.0
38,45.0,45.0,44.0,43.0,48.0,44.0,48.0,44.0
39,42.0,42.0,43.0,42.0,43.0,42.0,43.0,42.0
40,43.0,43.0,43.0,43.0,44.0,43.0,45.0,43.0
41,48.0,48.0,48.0,48.0,47.0,47.0,47.0,47.0
42,42.0,42.0,42.0,42.0,43.0,42.0,43.0,42.0
43,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0
44,48.0,48.0,48.0,48.0,44.0,48.0,44.0,48.0
45,42.0,42.0,44.0,42.0,43.0,43.0,43.0,44.0
46,45.0,45.0,44.0,43.0,44.0,44.0,40.0,44.0
47,43.0,43.0,43.0,43.0,44.0,48.0,43.0,48.0
48,42.0,42.0,43.0,42.0,43.0,43.0,43.0,43.0
49,48.0,48.0,48.0,48.0,44.0,47.0,42.0,47.0
50,44.0,44.0,44.0,44.0,44.0,48.0,43.0,48.0
51,42.0,42.0,42.0,42.0,43.0,43.0,43.0,44.0
52,48.0,48.0,48.0,48.0,45.0,48.0,43.0,48.0
53,43.0,43.0,43.0,43.0,44.0,44.0,42.0,46.0
54,41.0,41.0,43.0,41.0,42.0,42.0,42.0,42.0
55,47.0,47.0,47.0,47.0,43.0,46.0,41.0,46.0
56,43.0,43.0,45.0,43.0,43.0,47.0,42.0,47.0
57,41.0,41.0,43.0,41.0,42.0,42.0,42.0,43.0
58,47.0,47.0,47.0,47.0,44.0,47.0,42.0,47.0
59,43.0,43.0,44.0,43.0,43.0,44.0,41.0,45.0
