Scenario,Roll 0,Roll 1,Roll 2
0,37.0,40.0,35.0
1,34.0,34.0,35.0
2,36.0,39.0,37.0
3,38.0,41.0,36.0
4,38.0,40.0,36.0
5,39.0,41.0,41.0
6,38.0,40.0,35.0
7,38.0,40.0,36.0
8,39.0,41.0,41.0
9,39.0,39.0,37.0
10,39.0,35.0,38.0
11,40.0,39.0,43.0
12,38.0,38.0,37.0
13,38.0,34.0,39.0
14,39.0,38.0,42.0
15,36.0,39.0,35.0
16,33.0,34.0,35.0
17,34.0,37.0,37.0
18,38.0,41.0,36.0
19,42.0,41.0,36.0
20,39.0,42.0,41.0
21,38.0,40.0,35.0
22,42.0,41.0,36.0
23,39.0,42.0,41.0
24,39.0,41.0,37.0
25,39.0,40.0,40.0
26,41.0,43.0,43.0
27,38.0,40.0,37.0
28,38.0,39.0,39.0
29,40.0,42.0,42.0
30,37.0,39.0,35.0
31,38.0,38.0,35.0
32,39.0,42.0,37.0
33,37.0,40.0,33.0
34,38.0,41.0,35.0
35,39.0,41.0,38.0
36,38.0,41.0,37.0
37,39.0,40.0,41.0
38,41.0,43.0,42.0
39,37.0,40.0,37.0
40,38.0,39.0,40.0
41,40.0,42.0,41.0
42,37.0,39.0,32.0
43,38.0,38.0,34.0
44,39.0,42.0,37.0
45,39.0,37.0,39.0
46,38.0,34.0,41.0
47,40.0,37.0,43.0
48,38.0,40.0,38.0
49,38.0,38.0,40.0
50,39.0,42.0,42.0
51,37.0,41.0,38.0
52,38.0,38.0,38.0
53,39.0,43.0,41.0
54,37.0,39.0,37.0
55,37.0,37.0,39.0
56,38.0,41.0,41.0
57,37.0,40.0,38.0
58,38.0,38.0,39.0
59,39.0,42.0,42.0
60,33.0,37.0,32.0
61,33.0,33.0,33.0
62,34.0,37.0,36.0
63,37.0,40.0,35.0
64,42.0,40.0,36.0
65,38.0,42.0,40.0
66,37.0,40.0,35.0
67,42.0,40.0,36.0
68,39.0,42.0,40.0
69,38.0,41.0,36.0
70,39.0,40.0,39.0
71,40.0,43.0,42.0
72,37.0,40.0,36.0
73,42.0,39.0,38.0
74,42.0,42.0,41.0
75,36.0,38.0,34.0
76,38.0,37.0,34.0
77,39.0,41.0,36.0
78,36.0,39.0,32.0
79,38.0,40.0,34.0
80,39.0,41.0,37.0
81,38.0,41.0,36.0
82,39.0,40.0,40.0
83,40.0,43.0,42.0
84,37.0,40.0,37.0
85,42.0,39.0,39.0
86,42.0,42.0,41.0
87,36.0,38.0,32.0
88,38.0,37.0,33.0
89,39.0,41.0,36.0
90,38.0,39.0,38.0
91,39.0,39.0,40.0
92,41.0,42.0,42.0
93,42.0,41.0,37.0
94,42.0,41.0,39.0
95,40.0,43.0,42.0
96,38.0,41.0,37.0
97,38.0,42.0,37.0
98,40.0,43.0,41.0
99,42.0,40.0,36.0
100,42.0,40.0,38.0
101,42.0,42.0,41.0
102,38.0,40.0,37.0
103,38.0,41.0,38.0
104,42.0,42.0,42.0
105,33.0,36.0,32.0
106,34.0,37.0,32.0
107,38.0,42.0,36.0
108,33.0,36.0,32.0
109,34.0,36.0,32.0
110,38.0,40.0,36.0
111,37.0,40.0,36.0
112,38.0,40.0,37.0
113,40.0,42.0,38.0
114,36.0,39.0,37.0
115,38.0,39.0,38.0
116,39.0,41.0,39.0
117,33.0,36.0,32.0
118,34.0,37.0,32.0
119,38.0,41.0,36.0
120,38.0,39.0,38.0
121,39.0,39.0,38.0
122,41.0,42.0,42.0
123,42.0,41.0,37.0
124,42.0,41.0,39.0
125,40.0,43.0,41.0
126,38.0,41.0,37.0
127,38.0,42.0,37.0
128,40.0,43.0,41.0
129,42.0,40.0,36.0
130,42.0,40.0,38.0
131,42.0,42.0,40.0
132,38.0,40.0,37.0
133,38.0,41.0,38.0
134,42.0,42.0,40.0
135,33.0,36.0,32.0
136,34.0,37.0,32.0
137,38.0,42.0,36.0
138,39.0,39.0,37.0
139,35.0,34.0,38.0
140,39.0,39.0,41.0
141,38.0,40.0,38.0
142,38.0,39.0,40.0
143,38.0,42.0,42.0
144,38.0,40.0,38.0
145,37.0,40.0,41.0
146,38.0,42.0,41.0
147,42.0,39.0,37.0
148,38.0,38.0,39.0
149,38.0,41.0,41.0
150,42.0,40.0,38.0
151,38.0,39.0,40.0
152,38.0,42.0,42.0
153,38.0,40.0,37.0
154,35.0,38.0,37.0
155,38.0,42.0,37.0
156,42.0,38.0,36.0
157,38.0,37.0,38.0
158,38.0,40.0,40.0
159,42.0,39.0,37.0
160,38.0,38.0,39.0
161,38.0,41.0,41.0
162,38.0,40.0,37.0
163,34.0,37.0,37.0
164,38.0,42.0,37.0
165,33.0,36.0,31.0
166,29.0,33.0,31.0
167,33.0,37.0,35.0
