Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
0,52.0,43.0,41.0,43.0,42.0,43.0,41.0,43.0,44.0,41.0,45.0,44.0
1,47.0,38.0,43.0,38.0,43.0,38.0,43.0,38.0,41.0,43.0,41.0,41.0
2,47.0,40.0,43.0,40.0,43.0,40.0,43.0,40.0,46.0,43.0,47.0,46.0
3,52.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,45.0,47.0,46.0,45.0
4,47.0,45.0,43.0,45.0,44.0,45.0,43.0,45.0,44.0,43.0,45.0,44.0
5,49.0,46.0,44.0,46.0,44.0,46.0,44.0,46.0,46.0,44.0,47.0,46.0
6,48.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,45.0,47.0,46.0,45.0
7,47.0,46.0,44.0,46.0,45.0,46.0,44.0,46.0,44.0,44.0,45.0,44.0
8,50.0,47.0,45.0,47.0,45.0,47.0,45.0,47.0,45.0,45.0,45.0,45.0
9,48.0,45.0,43.0,45.0,43.0,45.0,43.0,45.0,48.0,43.0,49.0,48.0
10,50.0,40.0,44.0,40.0,44.0,40.0,44.0,40.0,45.0,44.0,45.0,45.0
11,47.0,41.0,43.0,41.0,43.0,41.0,43.0,41.0,46.0,43.0,46.0,46.0
12,47.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,46.0,48.0,47.0
13,49.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,45.0
14,52.0,46.0,44.0,46.0,44.0,46.0,44.0,46.0,50.0,44.0,51.0,50.0
15,48.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0,47.0,47.0,46.0
16,50.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,46.0
17,53.0,47.0,45.0,47.0,45.0,47.0,45.0,47.0,51.0,45.0,52.0,51.0
18,51.0,48.0,48.0,48.0,49.0,48.0,48.0,48.0,45.0,48.0,46.0,45.0
19,47.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,44.0,49.0,45.0,44.0
20,49.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,45.0,50.0,46.0,45.0
21,51.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,45.0,49.0,46.0,45.0
22,47.0,50.0,50.0,50.0,51.0,50.0,50.0,50.0,44.0,50.0,45.0,44.0
23,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,45.0,51.0,45.0,45.0
24,48.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0,49.0,49.0,48.0
25,50.0,46.0,44.0,46.0,44.0,46.0,44.0,46.0,45.0,44.0,45.0,45.0
26,47.0,46.0,44.0,46.0,44.0,46.0,44.0,46.0,46.0,44.0,46.0,46.0
27,50.0,48.0,48.0,48.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
28,50.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,48.0,49.0,49.0,48.0
29,52.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,50.0
