Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
0,44.0,47.0,43.0,43.0,43.0,46.0,48.0,45.0
1,44.0,49.0,44.0,44.0,45.0,47.0,49.0,47.0
2,44.0,47.0,44.0,44.0,44.0,47.0,49.0,45.0
3,44.0,47.0,45.0,45.0,47.0,46.0,48.0,47.0
4,45.0,48.0,46.0,46.0,45.0,47.0,49.0,48.0
5,48.0,48.0,47.0,47.0,47.0,47.0,49.0,48.0
6,44.0,46.0,44.0,44.0,44.0,46.0,47.0,48.0
7,45.0,48.0,45.0,45.0,45.0,48.0,48.0,49.0
8,48.0,48.0,47.0,47.0,48.0,47.0,48.0,49.0
9,44.0,46.0,43.0,43.0,46.0,47.0,47.0,47.0
10,47.0,49.0,46.0,46.0,46.0,48.0,48.0,47.0
11,45.0,48.0,45.0,45.0,45.0,48.0,49.0,47.0
12,44.0,46.0,43.0,43.0,45.0,46.0,47.0,47.0
13,46.0,49.0,45.0,45.0,45.0,47.0,48.0,47.0
14,45.0,48.0,45.0,45.0,45.0,47.0,49.0,47.0
15,43.0,46.0,43.0,43.0,44.0,45.0,47.0,47.0
16,44.0,49.0,44.0,44.0,44.0,46.0,48.0,47.0
17,45.0,48.0,45.0,45.0,45.0,47.0,49.0,47.0
18,44.0,46.0,45.0,45.0,47.0,46.0,47.0,48.0
19,46.0,47.0,46.0,46.0,48.0,47.0,48.0,49.0
20,48.0,48.0,48.0,48.0,49.0,47.0,49.0,49.0
21,44.0,46.0,44.0,44.0,47.0,45.0,47.0,47.0
22,47.0,47.0,46.0,46.0,48.0,47.0,48.0,48.0
23,48.0,48.0,47.0,47.0,49.0,47.0,48.0,48.0
24,44.0,46.0,43.0,43.0,47.0,48.0,47.0,48.0
25,47.0,48.0,46.0,46.0,48.0,49.0,48.0,48.0
26,50.0,49.0,49.0,49.0,49.0,49.0,50.0,48.0
27,44.0,46.0,43.0,43.0,47.0,47.0,47.0,48.0
28,46.0,48.0,45.0,45.0,47.0,48.0,48.0,48.0
29,50.0,49.0,49.0,49.0,49.0,48.0,50.0,48.0
30,43.0,46.0,43.0,43.0,47.0,45.0,47.0,48.0
31,44.0,48.0,44.0,44.0,47.0,46.0,48.0,48.0
32,49.0,49.0,49.0,49.0,49.0,47.0,50.0,48.0
33,43.0,43.0,43.0,43.0,43.0,43.0,44.0,46.0
34,44.0,44.0,44.0,44.0,47.0,44.0,45.0,47.0
35,48.0,48.0,47.0,47.0,47.0,45.0,47.0,47.0
36,44.0,43.0,43.0,43.0,44.0,47.0,44.0,47.0
37,47.0,47.0,46.0,46.0,46.0,48.0,45.0,48.0
38,50.0,49.0,49.0,49.0,49.0,48.0,49.0,49.0
39,44.0,43.0,43.0,43.0,43.0,46.0,44.0,47.0
40,46.0,46.0,45.0,45.0,45.0,47.0,45.0,48.0
41,50.0,49.0,49.0,49.0,49.0,48.0,49.0,49.0
42,43.0,43.0,43.0,43.0,43.0,42.0,44.0,47.0
43,44.0,45.0,44.0,44.0,44.0,45.0,45.0,48.0
44,49.0,49.0,49.0,49.0,49.0,47.0,49.0,49.0
45,43.0,42.0,42.0,42.0,46.0,46.0,43.0,47.0
46,49.0,48.0,48.0,48.0,48.0,48.0,45.0,48.0
47,44.0,44.0,43.0,43.0,43.0,48.0,49.0,47.0
48,43.0,42.0,42.0,42.0,46.0,47.0,46.0,47.0
49,49.0,48.0,48.0,48.0,48.0,48.0,45.0,48.0
50,44.0,47.0,43.0,43.0,47.0,48.0,49.0,47.0
51,43.0,42.0,42.0,42.0,46.0,46.0,47.0,47.0
52,48.0,48.0,48.0,48.0,48.0,48.0,45.0,48.0
53,44.0,48.0,43.0,43.0,47.0,48.0,49.0,47.0
54,42.0,42.0,41.0,41.0,45.0,46.0,45.0,47.0
55,48.0,47.0,47.0,47.0,47.0,47.0,44.0,48.0
56,43.0,47.0,42.0,42.0,46.0,48.0,48.0,47.0
57,43.0,42.0,42.0,42.0,45.0,46.0,46.0,47.0
58,47.0,47.0,47.0,47.0,47.0,47.0,44.0,48.0
59,44.0,48.0,43.0,43.0,46.0,48.0,49.0,47.0
60,42.0,42.0,42.0,42.0,42.0,42.0,43.0,46.0
61,43.0,43.0,43.0,43.0,43.0,43.0,44.0,48.0
62,43.0,48.0,43.0,43.0,43.0,44.0,49.0,43.0
63,43.0,45.0,44.0,44.0,46.0,45.0,46.0,47.0
64,45.0,46.0,45.0,45.0,47.0,46.0,47.0,48.0
65,47.0,47.0,47.0,47.0,48.0,46.0,48.0,48.0
66,43.0,45.0,43.0,43.0,46.0,45.0,46.0,46.0
67,46.0,46.0,45.0,45.0,47.0,46.0,47.0,47.0
68,47.0,47.0,46.0,46.0,48.0,46.0,48.0,48.0
69,43.0,45.0,42.0,42.0,46.0,47.0,46.0,47.0
70,45.0,47.0,44.0,44.0,47.0,48.0,47.0,47.0
71,49.0,48.0,48.0,48.0,48.0,48.0,49.0,47.0
72,43.0,45.0,42.0,42.0,46.0,46.0,46.0,47.0
73,44.0,47.0,43.0,43.0,46.0,47.0,47.0,47.0
74,49.0,48.0,48.0,48.0,48.0,47.0,49.0,47.0
75,42.0,45.0,42.0,42.0,46.0,45.0,46.0,47.0
76,43.0,47.0,43.0,43.0,46.0,46.0,47.0,47.0
77,48.0,48.0,48.0,48.0,48.0,47.0,49.0,47.0
78,42.0,43.0,42.0,42.0,43.0,42.0,43.0,46.0
79,43.0,43.0,43.0,43.0,46.0,43.0,44.0,47.0
80,47.0,47.0,46.0,46.0,46.0,44.0,47.0,47.0
81,43.0,43.0,42.0,42.0,43.0,47.0,43.0,46.0
82,46.0,46.0,45.0,45.0,45.0,48.0,44.0,47.0
83,49.0,48.0,48.0,48.0,48.0,48.0,49.0,48.0
84,43.0,43.0,42.0,42.0,42.0,46.0,43.0,46.0
85,45.0,45.0,44.0,44.0,44.0,47.0,44.0,47.0
86,49.0,48.0,48.0,48.0,48.0,47.0,49.0,48.0
87,42.0,43.0,42.0,42.0,43.0,42.0,43.0,46.0
88,43.0,44.0,43.0,43.0,44.0,44.0,44.0,47.0
89,48.0,48.0,48.0,48.0,48.0,46.0,49.0,48.0
90,42.0,41.0,41.0,41.0,45.0,47.0,42.0,46.0
91,48.0,47.0,47.0,47.0,47.0,48.0,44.0,47.0
92,45.0,43.0,45.0,45.0,44.0,49.0,48.0,46.0
93,42.0,42.0,41.0,41.0,45.0,47.0,45.0,46.0
94,48.0,47.0,47.0,47.0,47.0,48.0,44.0,47.0
95,45.0,46.0,45.0,45.0,46.0,49.0,48.0,46.0
96,42.0,41.0,41.0,41.0,45.0,47.0,46.0,46.0
97,47.0,47.0,47.0,47.0,47.0,48.0,44.0,47.0
98,44.0,47.0,43.0,43.0,46.0,49.0,48.0,46.0
99,41.0,42.0,40.0,40.0,44.0,46.0,44.0,46.0
100,47.0,46.0,46.0,46.0,46.0,47.0,43.0,47.0
101,44.0,46.0,44.0,44.0,45.0,48.0,47.0,46.0
102,42.0,42.0,41.0,41.0,44.0,46.0,45.0,46.0
103,46.0,46.0,46.0,46.0,46.0,47.0,43.0,47.0
