Scenario,Roll 0,Roll 1,Roll 2,Roll 3
0,45.0,47.0,43.0,46.0
1,42.0,47.0,44.0,44.0
2,43.0,44.0,44.0,47.0
3,46.0,47.0,44.0,47.0
4,46.0,48.0,45.0,47.0
5,46.0,44.0,44.0,47.0
6,42.0,47.0,43.0,46.0
7,42.0,47.0,44.0,47.0
8,43.0,44.0,44.0,47.0
9,43.0,46.0,44.0,47.0
10,43.0,47.0,44.0,47.0
11,43.0,44.0,44.0,47.0
12,47.0,45.0,43.0,46.0
13,46.0,47.0,46.0,46.0
14,46.0,47.0,48.0,46.0
15,43.0,46.0,44.0,47.0
16,43.0,47.0,44.0,44.0
17,47.0,47.0,47.0,44.0
18,45.0,47.0,43.0,47.0
19,46.0,48.0,44.0,47.0
20,45.0,46.0,45.0,48.0
21,42.0,47.0,43.0,46.0
22,45.0,47.0,44.0,47.0
23,42.0,46.0,45.0,48.0
24,42.0,46.0,43.0,47.0
25,43.0,47.0,43.0,47.0
26,43.0,44.0,44.0,47.0
27,46.0,46.0,43.0,46.0
28,45.0,47.0,47.0,46.0
29,45.0,48.0,48.0,46.0
30,42.0,46.0,43.0,47.0
31,46.0,47.0,46.0,44.0
32,46.0,48.0,47.0,46.0
33,42.0,43.0,40.0,42.0
34,42.0,43.0,43.0,46.0
35,42.0,42.0,43.0,46.0
36,41.0,43.0,39.0,42.0
37,43.0,44.0,44.0,46.0
38,43.0,43.0,44.0,46.0
39,45.0,42.0,43.0,41.0
40,46.0,45.0,48.0,45.0
41,46.0,45.0,48.0,46.0
42,42.0,42.0,42.0,42.0
43,43.0,45.0,47.0,44.0
44,47.0,45.0,47.0,47.0
45,41.0,42.0,40.0,42.0
46,43.0,44.0,44.0,44.0
47,43.0,43.0,44.0,47.0
48,45.0,42.0,44.0,42.0
49,46.0,47.0,48.0,46.0
50,46.0,45.0,48.0,47.0
51,42.0,42.0,43.0,43.0
52,47.0,47.0,47.0,47.0
53,47.0,45.0,47.0,47.0
54,45.0,41.0,43.0,41.0
55,46.0,46.0,47.0,45.0
56,47.0,44.0,47.0,46.0
57,45.0,41.0,43.0,42.0
58,46.0,46.0,46.0,46.0
59,47.0,44.0,46.0,46.0
60,42.0,41.0,42.0,43.0
61,43.0,43.0,42.0,43.0
62,46.0,44.0,44.0,44.0
63,44.0,46.0,42.0,46.0
64,45.0,47.0,43.0,47.0
65,44.0,46.0,44.0,48.0
66,41.0,46.0,42.0,46.0
67,44.0,47.0,43.0,47.0
68,41.0,46.0,44.0,48.0
69,41.0,45.0,42.0,46.0
70,42.0,47.0,43.0,46.0
71,42.0,44.0,43.0,46.0
72,45.0,46.0,42.0,45.0
73,44.0,47.0,46.0,45.0
74,44.0,48.0,47.0,45.0
75,41.0,46.0,42.0,46.0
76,45.0,47.0,45.0,44.0
77,45.0,48.0,46.0,46.0
78,41.0,43.0,39.0,42.0
79,41.0,44.0,43.0,45.0
80,41.0,42.0,43.0,46.0
81,40.0,42.0,38.0,42.0
82,42.0,44.0,43.0,46.0
83,42.0,44.0,43.0,45.0
84,44.0,42.0,42.0,41.0
85,45.0,44.0,47.0,45.0
86,45.0,46.0,47.0,46.0
87,41.0,42.0,41.0,42.0
88,45.0,44.0,46.0,43.0
89,46.0,46.0,46.0,47.0
90,40.0,42.0,39.0,42.0
91,42.0,44.0,43.0,43.0
92,42.0,42.0,43.0,47.0
93,44.0,42.0,43.0,42.0
94,46.0,47.0,47.0,46.0
95,45.0,44.0,47.0,47.0
96,41.0,42.0,42.0,43.0
97,46.0,47.0,46.0,47.0
98,46.0,44.0,46.0,47.0
99,44.0,41.0,42.0,41.0
100,50.0,46.0,46.0,45.0
101,46.0,43.0,46.0,46.0
102,44.0,41.0,42.0,42.0
103,50.0,46.0,45.0,46.0
104,46.0,44.0,47.0,46.0
105,41.0,41.0,41.0,43.0
106,46.0,43.0,42.0,43.0
107,45.0,44.0,46.0,44.0
108,36.0,42.0,36.0,41.0
109,37.0,42.0,39.0,42.0
110,37.0,39.0,39.0,43.0
111,36.0,40.0,38.0,41.0
112,37.0,41.0,40.0,43.0
113,37.0,40.0,40.0,42.0
114,40.0,41.0,42.0,40.0
115,41.0,42.0,44.0,42.0
116,41.0,43.0,44.0,45.0
117,40.0,41.0,41.0,41.0
118,42.0,42.0,43.0,42.0
119,42.0,43.0,43.0,46.0
120,36.0,41.0,39.0,41.0
121,37.0,42.0,40.0,42.0
122,37.0,40.0,41.0,46.0
