Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
0,42.0,39.0,45.0,36.0,36.0,36.0
1,37.0,41.0,43.0,34.0,34.0,34.0
2,43.0,41.0,46.0,33.0,33.0,33.0
3,43.0,40.0,45.0,41.0,41.0,41.0
4,42.0,45.0,47.0,41.0,41.0,41.0
5,45.0,45.0,47.0,41.0,41.0,41.0
6,44.0,40.0,46.0,42.0,42.0,42.0
7,43.0,46.0,48.0,42.0,42.0,42.0
8,46.0,45.0,48.0,42.0,42.0,42.0
9,41.0,40.0,44.0,41.0,41.0,41.0
10,37.0,40.0,42.0,39.0,39.0,39.0
11,43.0,41.0,46.0,38.0,38.0,38.0
12,45.0,39.0,45.0,40.0,40.0,40.0
13,41.0,40.0,42.0,38.0,38.0,38.0
14,47.0,41.0,47.0,37.0,37.0,37.0
15,46.0,39.0,46.0,37.0,37.0,37.0
16,42.0,41.0,43.0,33.0,33.0,33.0
17,48.0,41.0,48.0,33.0,33.0,33.0
18,43.0,42.0,45.0,41.0,41.0,41.0
19,42.0,47.0,47.0,41.0,41.0,41.0
20,45.0,47.0,47.0,41.0,41.0,41.0
21,44.0,41.0,46.0,42.0,42.0,42.0
22,43.0,46.0,48.0,42.0,42.0,42.0
23,46.0,46.0,48.0,42.0,42.0,42.0
24,41.0,41.0,44.0,41.0,41.0,41.0
25,37.0,44.0,42.0,43.0,43.0,43.0
26,43.0,45.0,47.0,42.0,42.0,42.0
27,45.0,40.0,45.0,40.0,40.0,40.0
28,41.0,44.0,42.0,42.0,42.0,42.0
29,47.0,45.0,47.0,46.0,46.0,46.0
30,46.0,39.0,46.0,37.0,37.0,37.0
31,42.0,45.0,43.0,37.0,37.0,37.0
32,48.0,45.0,48.0,41.0,41.0,41.0
33,40.0,41.0,44.0,37.0,37.0,37.0
34,39.0,47.0,44.0,39.0,39.0,39.0
35,43.0,45.0,48.0,43.0,43.0,43.0
36,39.0,42.0,42.0,41.0,41.0,41.0
37,37.0,45.0,42.0,43.0,43.0,43.0
38,43.0,46.0,48.0,43.0,43.0,43.0
39,41.0,41.0,41.0,41.0,41.0,41.0
40,41.0,45.0,42.0,42.0,42.0,42.0
41,47.0,46.0,47.0,47.0,47.0,47.0
42,42.0,40.0,42.0,37.0,37.0,37.0
43,42.0,46.0,43.0,38.0,38.0,38.0
44,48.0,46.0,48.0,42.0,42.0,42.0
45,37.0,39.0,39.0,40.0,40.0,40.0
46,38.0,40.0,39.0,38.0,38.0,38.0
47,41.0,42.0,39.0,38.0,38.0,38.0
48,41.0,41.0,40.0,41.0,41.0,41.0
49,42.0,40.0,39.0,37.0,37.0,37.0
50,43.0,45.0,41.0,37.0,37.0,37.0
51,41.0,41.0,41.0,42.0,42.0,42.0
52,38.0,40.0,38.0,37.0,37.0,37.0
53,42.0,45.0,42.0,38.0,38.0,38.0
54,41.0,40.0,39.0,40.0,40.0,40.0
55,42.0,39.0,38.0,36.0,36.0,36.0
56,43.0,44.0,40.0,36.0,36.0,36.0
57,41.0,40.0,40.0,41.0,41.0,41.0
58,38.0,39.0,37.0,37.0,37.0,37.0
59,43.0,44.0,41.0,37.0,37.0,37.0
60,41.0,39.0,41.0,36.0,36.0,36.0
61,38.0,40.0,38.0,32.0,32.0,32.0
62,42.0,41.0,42.0,32.0,32.0,32.0
63,43.0,42.0,45.0,40.0,40.0,40.0
64,42.0,47.0,47.0,40.0,40.0,40.0
65,45.0,47.0,47.0,41.0,41.0,41.0
66,44.0,41.0,46.0,41.0,41.0,41.0
67,43.0,46.0,48.0,41.0,41.0,41.0
68,46.0,46.0,48.0,42.0,42.0,42.0
69,41.0,40.0,44.0,41.0,41.0,41.0
70,37.0,43.0,42.0,43.0,43.0,43.0
71,43.0,44.0,47.0,42.0,42.0,42.0
72,45.0,39.0,45.0,40.0,40.0,40.0
73,41.0,43.0,42.0,42.0,42.0,42.0
74,47.0,44.0,47.0,46.0,46.0,46.0
75,46.0,38.0,46.0,36.0,36.0,36.0
76,42.0,44.0,43.0,37.0,37.0,37.0
77,48.0,44.0,48.0,41.0,41.0,41.0
78,40.0,40.0,44.0,37.0,37.0,37.0
79,39.0,46.0,44.0,39.0,39.0,39.0
80,43.0,45.0,48.0,43.0,43.0,43.0
81,39.0,41.0,42.0,41.0,41.0,41.0
82,37.0,44.0,42.0,43.0,43.0,43.0
83,43.0,45.0,48.0,43.0,43.0,43.0
84,41.0,40.0,41.0,41.0,41.0,41.0
85,41.0,44.0,42.0,42.0,42.0,42.0
86,47.0,45.0,47.0,47.0,47.0,47.0
87,42.0,39.0,42.0,37.0,37.0,37.0
88,42.0,45.0,43.0,38.0,38.0,38.0
