Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
0,52.0,52.0,51.0,50.0,51.0,52.0,50.0,46.0,50.0,50.0,49.0,45.0,45.0,45.0,45.0
1,53.0,53.0,53.0,52.0,51.0,53.0,52.0,48.0,53.0,52.0,51.0,51.0,51.0,51.0,45.0
2,49.0,49.0,49.0,49.0,48.0,49.0,48.0,45.0,49.0,48.0,48.0,48.0,48.0,48.0,42.0
3,55.0,55.0,51.0,50.0,54.0,54.0,50.0,46.0,50.0,50.0,50.0,51.0,51.0,51.0,51.0
4,53.0,53.0,53.0,52.0,51.0,53.0,52.0,48.0,53.0,52.0,51.0,51.0,51.0,51.0,50.0
5,52.0,52.0,52.0,52.0,51.0,53.0,52.0,48.0,53.0,51.0,51.0,48.0,48.0,48.0,47.0
6,55.0,55.0,49.0,50.0,54.0,54.0,46.0,44.0,48.0,48.0,50.0,47.0,47.0,47.0,51.0
7,53.0,53.0,52.0,52.0,51.0,52.0,51.0,48.0,52.0,51.0,51.0,51.0,51.0,51.0,50.0
8,52.0,52.0,52.0,52.0,51.0,53.0,52.0,48.0,53.0,51.0,51.0,47.0,47.0,47.0,47.0
9,52.0,52.0,55.0,55.0,51.0,52.0,55.0,53.0,55.0,55.0,55.0,51.0,51.0,51.0,51.0
10,53.0,51.0,57.0,57.0,50.0,52.0,58.0,58.0,58.0,57.0,57.0,52.0,52.0,52.0,50.0
11,49.0,48.0,53.0,53.0,47.0,48.0,54.0,54.0,54.0,53.0,53.0,52.0,52.0,52.0,47.0
12,55.0,55.0,55.0,55.0,54.0,54.0,55.0,53.0,54.0,54.0,54.0,51.0,51.0,51.0,51.0
13,57.0,57.0,57.0,57.0,56.0,57.0,58.0,58.0,57.0,56.0,56.0,52.0,52.0,52.0,50.0
14,53.0,53.0,53.0,53.0,52.0,53.0,54.0,54.0,53.0,52.0,52.0,52.0,52.0,52.0,47.0
15,55.0,55.0,47.0,47.0,55.0,55.0,47.0,46.0,46.0,46.0,45.0,45.0,45.0,45.0,44.0
16,57.0,58.0,52.0,51.0,57.0,58.0,51.0,51.0,51.0,51.0,50.0,49.0,49.0,49.0,44.0
17,53.0,54.0,49.0,48.0,53.0,54.0,51.0,48.0,48.0,48.0,47.0,46.0,46.0,46.0,41.0
18,55.0,56.0,55.0,56.0,55.0,54.0,49.0,52.0,54.0,54.0,55.0,51.0,51.0,51.0,51.0
19,53.0,54.0,52.0,52.0,52.0,52.0,52.0,48.0,52.0,51.0,52.0,57.0,57.0,57.0,57.0
20,52.0,52.0,52.0,52.0,51.0,53.0,52.0,48.0,53.0,51.0,51.0,52.0,52.0,52.0,52.0
21,55.0,56.0,55.0,56.0,55.0,54.0,46.0,52.0,54.0,54.0,55.0,50.0,50.0,50.0,51.0
22,53.0,54.0,52.0,52.0,52.0,52.0,51.0,48.0,52.0,51.0,52.0,57.0,57.0,57.0,57.0
23,52.0,52.0,52.0,52.0,51.0,53.0,52.0,48.0,53.0,51.0,51.0,52.0,52.0,52.0,52.0
24,52.0,52.0,55.0,56.0,51.0,52.0,55.0,53.0,55.0,55.0,56.0,55.0,56.0,56.0,55.0
25,53.0,52.0,57.0,57.0,50.0,52.0,58.0,58.0,58.0,57.0,57.0,57.0,57.0,57.0,57.0
26,52.0,52.0,53.0,56.0,51.0,51.0,58.0,54.0,58.0,53.0,56.0,52.0,52.0,52.0,52.0
27,55.0,56.0,55.0,56.0,55.0,54.0,55.0,53.0,54.0,54.0,55.0,55.0,56.0,56.0,55.0
28,57.0,57.0,57.0,57.0,56.0,57.0,58.0,58.0,57.0,56.0,56.0,57.0,57.0,57.0,57.0
29,53.0,56.0,53.0,56.0,55.0,57.0,58.0,54.0,57.0,52.0,55.0,52.0,52.0,52.0,52.0
30,55.0,56.0,47.0,48.0,56.0,55.0,47.0,46.0,46.0,46.0,46.0,51.0,51.0,51.0,51.0
31,57.0,58.0,52.0,51.0,57.0,58.0,51.0,51.0,51.0,51.0,50.0,49.0,49.0,49.0,49.0
32,53.0,56.0,49.0,48.0,56.0,58.0,51.0,48.0,48.0,48.0,47.0,45.0,45.0,45.0,45.0
33,55.0,56.0,51.0,52.0,55.0,54.0,45.0,48.0,50.0,50.0,51.0,46.0,46.0,46.0,50.0
34,53.0,54.0,51.0,52.0,52.0,51.0,51.0,48.0,51.0,51.0,52.0,53.0,53.0,53.0,57.0
35,50.0,51.0,49.0,48.0,48.0,51.0,48.0,44.0,51.0,48.0,51.0,48.0,48.0,48.0,52.0
36,52.0,52.0,55.0,56.0,51.0,51.0,52.0,53.0,55.0,55.0,56.0,51.0,52.0,52.0,55.0
37,50.0,52.0,56.0,56.0,50.0,51.0,57.0,58.0,57.0,56.0,56.0,57.0,57.0,57.0,57.0
38,52.0,52.0,53.0,56.0,51.0,51.0,58.0,54.0,58.0,53.0,56.0,52.0,52.0,52.0,52.0
39,55.0,56.0,55.0,56.0,55.0,54.0,52.0,53.0,54.0,54.0,55.0,51.0,52.0,52.0,55.0
40,56.0,57.0,56.0,56.0,55.0,56.0,57.0,58.0,56.0,55.0,55.0,57.0,57.0,57.0,57.0
41,53.0,56.0,53.0,56.0,55.0,57.0,58.0,54.0,57.0,52.0,55.0,52.0,52.0,52.0,52.0
42,55.0,56.0,47.0,48.0,56.0,55.0,45.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0,51.0
43,56.0,58.0,49.0,51.0,56.0,57.0,49.0,51.0,49.0,48.0,50.0,49.0,49.0,49.0,49.0
44,53.0,56.0,49.0,48.0,56.0,58.0,50.0,47.0,48.0,48.0,46.0,44.0,44.0,44.0,45.0
45,51.0,51.0,55.0,55.0,50.0,50.0,52.0,52.0,52.0,55.0,55.0,51.0,51.0,51.0,51.0
46,51.0,51.0,57.0,57.0,47.0,48.0,57.0,54.0,57.0,57.0,57.0,52.0,52.0,52.0,48.0
47,49.0,48.0,53.0,53.0,46.0,47.0,54.0,50.0,54.0,53.0,53.0,52.0,52.0,52.0,46.0
48,55.0,55.0,55.0,55.0,54.0,51.0,52.0,55.0,51.0,54.0,54.0,51.0,51.0,51.0,51.0
49,57.0,57.0,57.0,57.0,56.0,56.0,57.0,58.0,56.0,56.0,56.0,52.0,52.0,52.0,48.0
