Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
0,51.0,51.0,54.0,54.0,54.0,54.0,51.0,50.0,53.0,54.0,54.0,52.0,54.0
1,51.0,51.0,49.0,51.0,59.0,53.0,50.0,50.0,57.0,55.0,52.0,52.0,53.0
2,55.0,55.0,52.0,54.0,56.0,52.0,54.0,54.0,59.0,53.0,53.0,52.0,54.0
3,52.0,52.0,58.0,58.0,58.0,58.0,52.0,51.0,53.0,60.0,58.0,56.0,58.0
4,53.0,53.0,56.0,56.0,59.0,57.0,52.0,52.0,59.0,60.0,55.0,58.0,57.0
5,56.0,56.0,62.0,62.0,57.0,57.0,56.0,55.0,59.0,61.0,57.0,56.0,58.0
6,51.0,51.0,58.0,58.0,58.0,58.0,51.0,50.0,54.0,58.0,54.0,54.0,53.0
7,53.0,53.0,56.0,56.0,57.0,57.0,52.0,52.0,60.0,56.0,55.0,58.0,54.0
8,55.0,55.0,62.0,62.0,57.0,57.0,54.0,54.0,57.0,58.0,57.0,56.0,54.0
9,54.0,54.0,61.0,61.0,61.0,61.0,53.0,54.0,55.0,57.0,55.0,53.0,57.0
10,56.0,56.0,52.0,54.0,59.0,56.0,55.0,55.0,57.0,56.0,56.0,57.0,56.0
11,56.0,56.0,52.0,56.0,57.0,56.0,55.0,56.0,58.0,56.0,53.0,54.0,57.0
12,55.0,55.0,62.0,62.0,62.0,62.0,54.0,55.0,56.0,58.0,56.0,53.0,58.0
13,57.0,57.0,53.0,55.0,60.0,57.0,56.0,56.0,58.0,57.0,57.0,57.0,57.0
14,57.0,57.0,53.0,57.0,58.0,57.0,56.0,57.0,59.0,57.0,52.0,54.0,58.0
15,51.0,51.0,57.0,57.0,57.0,57.0,51.0,50.0,52.0,57.0,52.0,53.0,53.0
16,52.0,52.0,48.0,50.0,57.0,52.0,51.0,51.0,56.0,56.0,53.0,54.0,53.0
17,54.0,54.0,50.0,52.0,58.0,53.0,55.0,54.0,57.0,56.0,53.0,52.0,54.0
18,56.0,56.0,58.0,58.0,58.0,58.0,55.0,55.0,55.0,60.0,58.0,57.0,58.0
19,57.0,57.0,57.0,57.0,58.0,56.0,56.0,56.0,58.0,61.0,59.0,58.0,57.0
20,56.0,56.0,62.0,62.0,58.0,58.0,56.0,55.0,58.0,61.0,59.0,58.0,59.0
21,55.0,55.0,58.0,58.0,58.0,58.0,54.0,54.0,56.0,60.0,58.0,57.0,54.0
22,53.0,53.0,57.0,57.0,57.0,57.0,52.0,52.0,59.0,61.0,59.0,58.0,57.0
23,57.0,57.0,62.0,62.0,58.0,58.0,56.0,56.0,56.0,61.0,59.0,58.0,57.0
24,57.0,57.0,61.0,61.0,61.0,61.0,56.0,56.0,54.0,60.0,56.0,57.0,58.0
25,56.0,56.0,60.0,60.0,60.0,60.0,56.0,55.0,56.0,59.0,57.0,59.0,60.0
26,56.0,56.0,58.0,58.0,61.0,61.0,56.0,55.0,57.0,59.0,57.0,56.0,61.0
27,56.0,56.0,62.0,62.0,62.0,62.0,56.0,55.0,55.0,59.0,55.0,57.0,59.0
28,57.0,57.0,61.0,61.0,61.0,61.0,57.0,56.0,57.0,59.0,57.0,59.0,61.0
29,57.0,57.0,59.0,59.0,62.0,62.0,57.0,56.0,59.0,60.0,56.0,58.0,62.0
30,57.0,57.0,58.0,58.0,57.0,57.0,56.0,56.0,53.0,60.0,56.0,57.0,54.0
31,56.0,56.0,56.0,56.0,56.0,56.0,55.0,55.0,55.0,60.0,57.0,58.0,57.0
32,56.0,56.0,57.0,57.0,58.0,58.0,55.0,55.0,59.0,61.0,57.0,58.0,58.0
33,51.0,51.0,53.0,53.0,53.0,53.0,51.0,50.0,57.0,56.0,54.0,54.0,50.0
34,50.0,50.0,56.0,56.0,57.0,57.0,50.0,49.0,56.0,57.0,56.0,58.0,53.0
35,54.0,54.0,57.0,57.0,57.0,57.0,54.0,54.0,56.0,57.0,56.0,54.0,53.0
36,54.0,54.0,56.0,56.0,58.0,58.0,53.0,53.0,55.0,56.0,57.0,54.0,53.0
37,56.0,56.0,60.0,60.0,60.0,60.0,55.0,55.0,57.0,56.0,55.0,59.0,56.0
38,56.0,56.0,58.0,58.0,61.0,61.0,55.0,55.0,56.0,56.0,57.0,56.0,56.0
39,55.0,55.0,57.0,57.0,59.0,59.0,54.0,54.0,56.0,55.0,56.0,54.0,54.0
40,57.0,57.0,61.0,61.0,61.0,61.0,56.0,56.0,58.0,57.0,56.0,59.0,57.0
41,57.0,57.0,59.0,59.0,62.0,62.0,56.0,56.0,60.0,57.0,56.0,58.0,57.0
42,53.0,53.0,54.0,54.0,54.0,54.0,52.0,52.0,54.0,56.0,57.0,53.0,50.0
43,52.0,52.0,56.0,56.0,56.0,56.0,51.0,51.0,56.0,56.0,56.0,58.0,52.0
44,54.0,54.0,57.0,57.0,57.0,57.0,55.0,54.0,60.0,57.0,57.0,58.0,54.0
45,56.0,56.0,57.0,57.0,57.0,57.0,55.0,55.0,55.0,53.0,54.0,53.0,53.0
46,56.0,56.0,52.0,54.0,60.0,55.0,55.0,55.0,56.0,55.0,56.0,56.0,56.0
47,56.0,56.0,49.0,55.0,57.0,57.0,55.0,56.0,57.0,56.0,53.0,55.0,58.0
48,59.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,54.0,56.0,53.0,54.0
49,57.0,57.0,53.0,55.0,61.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0,57.0
50,57.0,57.0,52.0,56.0,59.0,58.0,56.0,57.0,57.0,57.0,56.0,57.0,59.0
51,60.0,60.0,56.0,56.0,57.0,56.0,59.0,59.0,57.0,53.0,57.0,53.0,52.0
52,56.0,56.0,50.0,52.0,56.0,55.0,55.0,55.0,57.0,55.0,58.0,56.0,55.0
53,58.0,58.0,52.0,54.0,57.0,56.0,57.0,57.0,56.0,56.0,56.0,57.0,57.0
54,58.0,58.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,53.0,55.0,52.0,53.0
55,56.0,56.0,52.0,54.0,61.0,55.0,55.0,55.0,56.0,55.0,56.0,55.0,56.0
56,56.0,56.0,53.0,55.0,60.0,57.0,55.0,56.0,57.0,57.0,57.0,57.0,58.0
57,59.0,59.0,57.0,57.0,57.0,57.0,58.0,58.0,56.0,53.0,56.0,53.0,53.0
58,57.0,57.0,51.0,53.0,57.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0,56.0
59,57.0,57.0,53.0,55.0,58.0,57.0,56.0,56.0,57.0,57.0,57.0,57.0,58.0
60,52.0,52.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,52.0,57.0,52.0,48.0
61,52.0,52.0,46.0,48.0,55.0,51.0,51.0,51.0,55.0,55.0,54.0,50.0,51.0
62,56.0,56.0,48.0,50.0,57.0,52.0,55.0,55.0,56.0,56.0,54.0,54.0,54.0
63,55.0,55.0,57.0,57.0,57.0,57.0,54.0,54.0,54.0,60.0,57.0,56.0,57.0
64,56.0,56.0,57.0,57.0,57.0,56.0,55.0,55.0,57.0,60.0,58.0,57.0,57.0
65,57.0,57.0,61.0,61.0,58.0,58.0,56.0,56.0,57.0,60.0,58.0,57.0,59.0
66,55.0,55.0,57.0,57.0,57.0,57.0,54.0,54.0,55.0,59.0,57.0,56.0,54.0
67,56.0,56.0,57.0,57.0,56.0,56.0,55.0,55.0,58.0,60.0,58.0,57.0,56.0
68,57.0,57.0,61.0,61.0,58.0,58.0,56.0,56.0,55.0,60.0,58.0,57.0,57.0
69,56.0,56.0,60.0,60.0,60.0,60.0,55.0,55.0,53.0,60.0,55.0,56.0,57.0
70,56.0,56.0,59.0,59.0,59.0,59.0,55.0,55.0,55.0,58.0,56.0,58.0,59.0
71,61.0,61.0,59.0,59.0,60.0,60.0,60.0,60.0,56.0,58.0,56.0,58.0,60.0
72,56.0,56.0,61.0,61.0,61.0,61.0,55.0,55.0,54.0,59.0,54.0,56.0,58.0
73,57.0,57.0,60.0,60.0,60.0,60.0,56.0,56.0,56.0,58.0,56.0,58.0,60.0
74,62.0,62.0,60.0,60.0,61.0,61.0,61.0,61.0,58.0,60.0,55.0,58.0,61.0
75,56.0,56.0,57.0,57.0,56.0,56.0,55.0,55.0,52.0,59.0,55.0,56.0,54.0
76,55.0,55.0,55.0,55.0,55.0,55.0,54.0,54.0,55.0,59.0,56.0,57.0,56.0
77,57.0,57.0,58.0,58.0,57.0,57.0,56.0,56.0,58.0,60.0,56.0,58.0,58.0
78,52.0,52.0,54.0,54.0,53.0,53.0,51.0,51.0,56.0,55.0,53.0,56.0,54.0
79,52.0,52.0,55.0,55.0,56.0,56.0,51.0,51.0,56.0,56.0,55.0,57.0,55.0
80,56.0,56.0,57.0,57.0,57.0,57.0,55.0,55.0,55.0,57.0,55.0,57.0,57.0
81,55.0,55.0,56.0,56.0,57.0,57.0,54.0,54.0,54.0,56.0,56.0,56.0,56.0
82,56.0,56.0,59.0,59.0,59.0,59.0,55.0,55.0,56.0,57.0,54.0,58.0,57.0
83,61.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,55.0,59.0,56.0,58.0,60.0
84,56.0,56.0,57.0,57.0,58.0,58.0,55.0,55.0,55.0,55.0,55.0,56.0,57.0
85,57.0,57.0,60.0,60.0,60.0,60.0,56.0,56.0,57.0,56.0,55.0,58.0,58.0
86,62.0,62.0,61.0,61.0,61.0,61.0,61.0,61.0,59.0,60.0,55.0,58.0,61.0
87,52.0,52.0,54.0,54.0,53.0,53.0,51.0,51.0,53.0,56.0,56.0,56.0,54.0
88,52.0,52.0,55.0,55.0,55.0,55.0,51.0,51.0,55.0,57.0,55.0,57.0,55.0
89,57.0,57.0,58.0,58.0,57.0,57.0,56.0,56.0,59.0,60.0,56.0,58.0,58.0
90,55.0,55.0,57.0,57.0,57.0,57.0,54.0,54.0,54.0,56.0,53.0,56.0,57.0
91,60.0,60.0,60.0,60.0,60.0,60.0,59.0,59.0,55.0,59.0,55.0,57.0,60.0
92,56.0,56.0,58.0,58.0,60.0,60.0,55.0,55.0,56.0,59.0,53.0,57.0,60.0
93,58.0,58.0,58.0,58.0,58.0,58.0,57.0,57.0,57.0,57.0,55.0,56.0,58.0
94,61.0,61.0,61.0,61.0,61.0,61.0,60.0,60.0,55.0,59.0,56.0,57.0,61.0
95,57.0,57.0,60.0,60.0,61.0,61.0,56.0,56.0,56.0,59.0,55.0,59.0,61.0
96,59.0,59.0,56.0,56.0,56.0,56.0,58.0,58.0,56.0,57.0,56.0,56.0,56.0
97,56.0,56.0,57.0,57.0,57.0,57.0,55.0,55.0,56.0,60.0,57.0,56.0,57.0
98,57.0,57.0,60.0,60.0,60.0,60.0,56.0,56.0,55.0,60.0,55.0,59.0,60.0
99,57.0,57.0,57.0,57.0,57.0,57.0,56.0,56.0,56.0,56.0,54.0,56.0,57.0
100,60.0,60.0,60.0,60.0,60.0,60.0,59.0,59.0,55.0,58.0,55.0,56.0,60.0
101,56.0,56.0,61.0,61.0,61.0,61.0,55.0,55.0,56.0,59.0,56.0,59.0,61.0
102,58.0,58.0,57.0,57.0,57.0,57.0,57.0,57.0,55.0,56.0,55.0,56.0,57.0
103,56.0,56.0,58.0,58.0,58.0,58.0,55.0,55.0,55.0,59.0,56.0,56.0,58.0
104,57.0,57.0,61.0,61.0,61.0,61.0,56.0,56.0,56.0,60.0,56.0,59.0,61.0
105,52.0,52.0,54.0,54.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0,56.0,52.0
106,54.0,54.0,53.0,53.0,54.0,53.0,53.0,53.0,54.0,57.0,53.0,54.0,54.0
107,55.0,55.0,56.0,56.0,57.0,57.0,54.0,54.0,55.0,60.0,53.0,58.0,58.0
108,48.0,48.0,53.0,53.0,53.0,53.0,47.0,47.0,51.0,53.0,54.0,53.0,48.0
109,48.0,48.0,51.0,51.0,54.0,54.0,47.0,47.0,52.0,51.0,56.0,53.0,49.0
110,52.0,52.0,56.0,56.0,57.0,57.0,51.0,51.0,52.0,54.0,53.0,54.0,51.0
111,51.0,51.0,56.0,56.0,56.0,56.0,50.0,50.0,55.0,54.0,52.0,54.0,53.0
112,52.0,52.0,57.0,57.0,57.0,57.0,51.0,51.0,55.0,53.0,51.0,55.0,54.0
113,57.0,57.0,60.0,60.0,60.0,60.0,56.0,56.0,55.0,55.0,51.0,56.0,56.0
114,52.0,52.0,57.0,57.0,57.0,57.0,51.0,51.0,56.0,53.0,53.0,54.0,54.0
115,53.0,53.0,58.0,58.0,58.0,58.0,52.0,52.0,56.0,54.0,53.0,55.0,55.0
116,58.0,58.0,61.0,61.0,61.0,61.0,57.0,57.0,56.0,56.0,54.0,58.0,57.0
117,48.0,48.0,53.0,53.0,53.0,53.0,47.0,47.0,51.0,53.0,54.0,53.0,50.0
118,48.0,48.0,53.0,53.0,54.0,54.0,47.0,47.0,52.0,53.0,54.0,53.0,50.0
119,53.0,53.0,57.0,57.0,57.0,57.0,52.0,52.0,56.0,56.0,55.0,58.0,53.0
120,51.0,51.0,57.0,57.0,57.0,57.0,50.0,50.0,54.0,53.0,53.0,56.0,53.0
121,56.0,56.0,60.0,60.0,60.0,60.0,55.0,55.0,54.0,55.0,51.0,57.0,54.0
122,52.0,52.0,58.0,58.0,60.0,60.0,51.0,51.0,55.0,56.0,54.0,57.0,58.0
123,54.0,54.0,58.0,58.0,58.0,58.0,53.0,53.0,55.0,54.0,56.0,55.0,54.0
124,57.0,57.0,61.0,61.0,61.0,61.0,56.0,56.0,55.0,55.0,54.0,57.0,55.0
125,53.0,53.0,60.0,60.0,61.0,61.0,52.0,52.0,56.0,57.0,54.0,59.0,59.0
126,55.0,55.0,56.0,56.0,56.0,56.0,54.0,54.0,54.0,53.0,57.0,56.0,52.0
127,52.0,52.0,57.0,57.0,57.0,57.0,51.0,51.0,55.0,56.0,55.0,56.0,53.0
128,53.0,53.0,60.0,60.0,60.0,60.0,52.0,52.0,56.0,56.0,55.0,59.0,57.0
129,53.0,53.0,57.0,57.0,57.0,57.0,52.0,52.0,55.0,53.0,55.0,54.0,53.0
130,56.0,56.0,60.0,60.0,60.0,60.0,55.0,55.0,56.0,54.0,53.0,56.0,54.0
131,53.0,53.0,61.0,61.0,61.0,61.0,52.0,52.0,57.0,57.0,53.0,59.0,58.0
132,54.0,54.0,57.0,57.0,57.0,57.0,53.0,53.0,55.0,53.0,56.0,55.0,53.0
133,52.0,52.0,58.0,58.0,58.0,58.0,51.0,51.0,56.0,55.0,54.0,56.0,54.0
134,54.0,54.0,61.0,61.0,61.0,61.0,53.0,53.0,57.0,57.0,54.0,59.0,58.0
135,48.0,48.0,52.0,52.0,52.0,52.0,48.0,48.0,51.0,52.0,52.0,55.0,48.0
136,50.0,50.0,53.0,53.0,53.0,53.0,49.0,49.0,52.0,53.0,54.0,54.0,49.0
137,51.0,51.0,56.0,56.0,57.0,57.0,50.0,50.0,56.0,56.0,54.0,58.0,53.0
138,50.0,50.0,55.0,56.0,56.0,56.0,49.0,49.0,53.0,53.0,54.0,56.0,52.0
139,51.0,51.0,51.0,53.0,57.0,53.0,50.0,50.0,56.0,54.0,51.0,55.0,53.0
140,53.0,53.0,49.0,54.0,57.0,57.0,52.0,52.0,56.0,57.0,51.0,55.0,57.0
141,54.0,54.0,56.0,57.0,57.0,57.0,53.0,53.0,54.0,54.0,55.0,56.0,55.0
142,55.0,55.0,52.0,54.0,59.0,54.0,54.0,54.0,56.0,54.0,54.0,55.0,55.0
143,54.0,54.0,51.0,55.0,60.0,58.0,53.0,53.0,56.0,58.0,54.0,56.0,59.0
144,53.0,53.0,55.0,55.0,56.0,56.0,52.0,52.0,54.0,55.0,54.0,56.0,53.0
145,55.0,55.0,50.0,52.0,59.0,54.0,54.0,54.0,56.0,54.0,55.0,55.0,54.0
146,53.0,53.0,50.0,52.0,60.0,57.0,52.0,52.0,57.0,57.0,55.0,56.0,57.0
147,53.0,53.0,55.0,56.0,57.0,57.0,53.0,52.0,56.0,54.0,56.0,55.0,55.0
148,56.0,56.0,51.0,53.0,60.0,54.0,55.0,55.0,56.0,54.0,56.0,54.0,54.0
149,55.0,55.0,51.0,54.0,61.0,57.0,54.0,54.0,59.0,57.0,58.0,56.0,58.0
150,54.0,54.0,56.0,56.0,57.0,57.0,54.0,53.0,55.0,55.0,57.0,56.0,53.0
151,56.0,56.0,51.0,53.0,60.0,55.0,55.0,55.0,56.0,55.0,57.0,55.0,55.0
152,56.0,56.0,51.0,53.0,61.0,58.0,55.0,55.0,60.0,58.0,59.0,57.0,59.0
