Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
0,52.0,52.0,49.0,52.0,49.0,45.0,48.0,48.0,46.0,46.0,47.0,45.0,46.0,45.0
1,48.0,49.0,50.0,50.0,50.0,47.0,49.0,49.0,47.0,47.0,48.0,47.0,49.0,47.0
2,49.0,49.0,53.0,52.0,53.0,48.0,49.0,49.0,48.0,48.0,48.0,48.0,50.0,48.0
3,52.0,51.0,52.0,53.0,52.0,48.0,51.0,51.0,48.0,48.0,49.0,48.0,48.0,48.0
4,50.0,52.0,52.0,53.0,52.0,48.0,50.0,50.0,48.0,48.0,50.0,48.0,50.0,48.0
5,49.0,54.0,52.0,53.0,52.0,49.0,52.0,52.0,49.0,49.0,49.0,49.0,50.0,49.0
6,52.0,51.0,52.0,53.0,52.0,49.0,51.0,51.0,49.0,49.0,50.0,49.0,49.0,49.0
7,51.0,52.0,52.0,53.0,52.0,49.0,50.0,50.0,49.0,49.0,51.0,49.0,49.0,49.0
8,49.0,52.0,52.0,53.0,52.0,50.0,52.0,52.0,50.0,50.0,49.0,50.0,50.0,50.0
9,53.0,56.0,56.0,56.0,56.0,49.0,51.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0
10,53.0,52.0,51.0,51.0,51.0,50.0,52.0,52.0,51.0,51.0,51.0,50.0,51.0,50.0
11,53.0,55.0,52.0,52.0,52.0,50.0,53.0,53.0,51.0,51.0,51.0,50.0,51.0,50.0
12,53.0,56.0,56.0,56.0,56.0,49.0,51.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0
13,53.0,52.0,51.0,51.0,51.0,50.0,52.0,52.0,51.0,51.0,51.0,50.0,51.0,50.0
14,53.0,55.0,52.0,52.0,52.0,50.0,53.0,53.0,51.0,51.0,51.0,50.0,51.0,50.0
15,52.0,51.0,52.0,53.0,52.0,45.0,48.0,48.0,46.0,46.0,46.0,45.0,46.0,45.0
16,51.0,47.0,49.0,50.0,49.0,49.0,50.0,50.0,49.0,49.0,51.0,49.0,49.0,49.0
17,48.0,50.0,53.0,52.0,53.0,48.0,50.0,50.0,49.0,49.0,49.0,48.0,50.0,48.0
18,52.0,51.0,51.0,52.0,51.0,47.0,50.0,50.0,47.0,47.0,48.0,47.0,50.0,47.0
19,50.0,52.0,51.0,52.0,51.0,49.0,49.0,49.0,49.0,49.0,50.0,49.0,50.0,49.0
20,49.0,53.0,53.0,52.0,53.0,50.0,51.0,51.0,50.0,50.0,52.0,50.0,51.0,50.0
21,52.0,51.0,51.0,52.0,51.0,48.0,50.0,50.0,48.0,48.0,49.0,48.0,51.0,48.0
22,51.0,52.0,51.0,52.0,51.0,49.0,49.0,49.0,49.0,49.0,50.0,49.0,51.0,49.0
23,49.0,52.0,51.0,52.0,51.0,50.0,51.0,51.0,50.0,50.0,52.0,50.0,52.0,50.0
24,54.0,56.0,56.0,56.0,56.0,50.0,51.0,51.0,50.0,50.0,50.0,50.0,51.0,50.0
25,56.0,57.0,57.0,57.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
26,53.0,57.0,57.0,57.0,57.0,52.0,57.0,57.0,52.0,52.0,52.0,52.0,53.0,52.0
27,54.0,56.0,56.0,56.0,56.0,50.0,51.0,51.0,50.0,50.0,50.0,50.0,51.0,50.0
28,56.0,57.0,57.0,57.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
29,53.0,57.0,57.0,57.0,57.0,52.0,57.0,57.0,52.0,52.0,52.0,52.0,53.0,52.0
30,52.0,51.0,52.0,53.0,52.0,46.0,47.0,47.0,46.0,46.0,47.0,46.0,48.0,46.0
31,51.0,52.0,53.0,54.0,53.0,50.0,50.0,50.0,50.0,50.0,51.0,50.0,51.0,50.0
32,48.0,52.0,53.0,54.0,53.0,49.0,53.0,53.0,49.0,49.0,49.0,49.0,51.0,49.0
33,51.0,49.0,51.0,52.0,51.0,46.0,47.0,47.0,46.0,46.0,47.0,46.0,48.0,46.0
34,51.0,51.0,51.0,50.0,51.0,48.0,49.0,49.0,48.0,48.0,47.0,48.0,48.0,48.0
35,47.0,50.0,51.0,52.0,51.0,49.0,51.0,51.0,49.0,49.0,48.0,49.0,50.0,49.0
36,55.0,56.0,56.0,56.0,56.0,49.0,51.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0
37,57.0,57.0,57.0,57.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
38,53.0,57.0,57.0,57.0,57.0,50.0,57.0,57.0,51.0,51.0,51.0,50.0,51.0,50.0
39,55.0,56.0,56.0,56.0,56.0,49.0,51.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0
40,57.0,57.0,57.0,57.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
41,53.0,57.0,57.0,57.0,57.0,50.0,57.0,57.0,51.0,51.0,51.0,50.0,51.0,50.0
42,51.0,51.0,52.0,53.0,52.0,45.0,47.0,47.0,45.0,45.0,46.0,45.0,46.0,45.0
43,52.0,52.0,53.0,54.0,53.0,51.0,51.0,51.0,51.0,51.0,52.0,51.0,51.0,51.0
44,49.0,52.0,53.0,54.0,53.0,50.0,53.0,53.0,50.0,50.0,49.0,50.0,50.0,50.0
45,53.0,56.0,56.0,56.0,56.0,49.0,51.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0
46,53.0,49.0,49.0,49.0,49.0,50.0,56.0,56.0,51.0,51.0,51.0,50.0,51.0,50.0
47,52.0,51.0,52.0,52.0,52.0,50.0,52.0,52.0,50.0,50.0,50.0,50.0,50.0,50.0
48,54.0,56.0,56.0,56.0,56.0,49.0,51.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0
49,56.0,49.0,52.0,52.0,52.0,54.0,56.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0
50,52.0,51.0,52.0,52.0,52.0,50.0,52.0,52.0,50.0,50.0,50.0,50.0,50.0,50.0
51,55.0,56.0,56.0,56.0,56.0,49.0,51.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0
52,57.0,49.0,53.0,53.0,53.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
53,52.0,51.0,53.0,53.0,53.0,50.0,53.0,53.0,50.0,50.0,50.0,50.0,50.0,50.0
54,54.0,56.0,56.0,56.0,56.0,48.0,50.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0
55,56.0,49.0,52.0,52.0,52.0,54.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0
56,52.0,51.0,52.0,52.0,52.0,50.0,52.0,52.0,50.0,50.0,50.0,50.0,50.0,50.0
57,55.0,56.0,56.0,56.0,56.0,49.0,51.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0
58,57.0,49.0,53.0,53.0,53.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
59,52.0,51.0,53.0,53.0,53.0,50.0,53.0,53.0,50.0,50.0,50.0,50.0,50.0,50.0
60,50.0,51.0,52.0,53.0,52.0,45.0,46.0,46.0,44.0,44.0,46.0,45.0,44.0,45.0
61,52.0,44.0,48.0,50.0,48.0,51.0,51.0,51.0,51.0,51.0,52.0,51.0,51.0,51.0
62,47.0,46.0,53.0,50.0,53.0,50.0,50.0,50.0,50.0,50.0,47.0,50.0,50.0,50.0
63,51.0,50.0,50.0,51.0,50.0,46.0,49.0,49.0,46.0,46.0,47.0,46.0,49.0,46.0
64,49.0,51.0,50.0,51.0,50.0,48.0,49.0,49.0,48.0,48.0,49.0,48.0,49.0,48.0
65,48.0,52.0,52.0,51.0,52.0,51.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0
66,51.0,50.0,50.0,51.0,50.0,47.0,49.0,49.0,47.0,47.0,48.0,47.0,50.0,47.0
67,50.0,51.0,50.0,51.0,50.0,49.0,50.0,50.0,49.0,49.0,49.0,49.0,50.0,49.0
68,48.0,51.0,51.0,51.0,51.0,52.0,50.0,50.0,52.0,52.0,51.0,52.0,52.0,52.0
69,54.0,55.0,55.0,55.0,55.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,50.0
70,56.0,56.0,56.0,56.0,56.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,56.0,53.0
71,53.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
72,54.0,55.0,55.0,55.0,55.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,50.0
73,56.0,56.0,56.0,56.0,56.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,56.0,53.0
74,53.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
75,51.0,50.0,51.0,52.0,51.0,47.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0
76,51.0,51.0,52.0,53.0,52.0,49.0,49.0,49.0,49.0,49.0,50.0,49.0,52.0,49.0
77,48.0,51.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0
78,51.0,48.0,50.0,51.0,50.0,47.0,46.0,46.0,47.0,47.0,48.0,47.0,47.0,47.0
79,51.0,50.0,50.0,49.0,50.0,49.0,48.0,48.0,49.0,49.0,49.0,49.0,50.0,49.0
