Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
0,41.0,44.0,44.0,44.0,45.0,45.0,45.0
1,46.0,47.0,47.0,47.0,47.0,47.0,47.0
2,47.0,46.0,46.0,46.0,47.0,47.0,47.0
3,41.0,44.0,44.0,44.0,45.0,45.0,45.0
4,46.0,47.0,47.0,47.0,51.0,51.0,51.0
5,47.0,47.0,47.0,47.0,47.0,47.0,47.0
6,41.0,44.0,44.0,44.0,45.0,45.0,45.0
7,46.0,47.0,47.0,47.0,47.0,47.0,47.0
8,47.0,48.0,48.0,48.0,47.0,47.0,47.0
9,53.0,45.0,45.0,45.0,45.0,45.0,45.0
10,51.0,49.0,49.0,49.0,47.0,47.0,47.0
11,48.0,47.0,47.0,47.0,48.0,48.0,48.0
12,52.0,44.0,44.0,44.0,50.0,50.0,50.0
13,50.0,48.0,48.0,48.0,47.0,47.0,47.0
14,47.0,46.0,46.0,46.0,47.0,47.0,47.0
15,50.0,45.0,45.0,45.0,50.0,50.0,50.0
16,46.0,47.0,47.0,47.0,47.0,47.0,47.0
17,47.0,46.0,46.0,46.0,47.0,47.0,47.0
18,41.0,45.0,45.0,45.0,44.0,44.0,44.0
19,45.0,47.0,47.0,47.0,51.0,51.0,51.0
20,47.0,51.0,51.0,51.0,47.0,47.0,47.0
21,41.0,46.0,46.0,46.0,44.0,44.0,44.0
22,45.0,47.0,47.0,47.0,51.0,51.0,51.0
23,47.0,52.0,52.0,52.0,47.0,47.0,47.0
24,53.0,45.0,45.0,45.0,44.0,44.0,44.0
25,51.0,53.0,53.0,53.0,51.0,51.0,51.0
26,48.0,51.0,51.0,51.0,48.0,48.0,48.0
27,52.0,45.0,45.0,45.0,50.0,50.0,50.0
28,50.0,52.0,52.0,52.0,50.0,50.0,50.0
29,47.0,51.0,51.0,51.0,47.0,47.0,47.0
30,50.0,45.0,45.0,45.0,50.0,50.0,50.0
31,45.0,47.0,47.0,47.0,51.0,51.0,51.0
32,47.0,47.0,47.0,47.0,47.0,47.0,47.0
33,41.0,46.0,46.0,46.0,41.0,41.0,41.0
34,44.0,47.0,47.0,47.0,47.0,47.0,47.0
35,47.0,52.0,52.0,52.0,47.0,47.0,47.0
36,53.0,45.0,45.0,45.0,43.0,43.0,43.0
37,51.0,53.0,53.0,53.0,47.0,47.0,47.0
38,48.0,51.0,51.0,51.0,48.0,48.0,48.0
39,52.0,46.0,46.0,46.0,50.0,50.0,50.0
40,50.0,52.0,52.0,52.0,47.0,47.0,47.0
41,47.0,52.0,52.0,52.0,47.0,47.0,47.0
42,50.0,45.0,45.0,45.0,50.0,50.0,50.0
43,44.0,47.0,47.0,47.0,47.0,47.0,47.0
44,47.0,48.0,48.0,48.0,47.0,47.0,47.0
45,53.0,46.0,46.0,46.0,43.0,43.0,43.0
46,51.0,52.0,52.0,52.0,46.0,46.0,46.0
47,49.0,48.0,48.0,48.0,49.0,49.0,49.0
48,52.0,45.0,45.0,45.0,50.0,50.0,50.0
49,55.0,53.0,53.0,53.0,47.0,47.0,47.0
50,54.0,47.0,47.0,47.0,48.0,48.0,48.0
51,53.0,46.0,46.0,46.0,50.0,50.0,50.0
52,55.0,49.0,49.0,49.0,47.0,47.0,47.0
53,54.0,48.0,48.0,48.0,48.0,48.0,48.0
54,53.0,44.0,44.0,44.0,49.0,49.0,49.0
55,54.0,52.0,52.0,52.0,50.0,50.0,50.0
