Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
0,55.0,56.0,55.0,54.0,55.0,55.0,54.0,55.0,54.0,54.0
1,52.0,53.0,54.0,51.0,54.0,54.0,51.0,54.0,53.0,53.0
2,50.0,56.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
3,55.0,58.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
4,52.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
5,53.0,58.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
6,55.0,59.0,55.0,54.0,55.0,55.0,54.0,55.0,54.0,54.0
7,53.0,57.0,54.0,51.0,54.0,54.0,51.0,54.0,53.0,53.0
8,50.0,59.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
9,56.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
10,57.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
11,57.0,57.0,52.0,51.0,52.0,52.0,51.0,52.0,51.0,51.0
12,55.0,58.0,55.0,54.0,55.0,55.0,54.0,55.0,54.0,54.0
13,56.0,57.0,56.0,55.0,56.0,56.0,55.0,56.0,55.0,55.0
14,56.0,58.0,56.0,55.0,56.0,56.0,55.0,56.0,55.0,55.0
15,56.0,59.0,56.0,55.0,56.0,56.0,55.0,56.0,55.0,55.0
16,57.0,58.0,57.0,56.0,57.0,57.0,56.0,57.0,56.0,56.0
17,57.0,59.0,57.0,56.0,57.0,57.0,56.0,57.0,56.0,56.0
18,55.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
19,52.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
20,53.0,57.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
21,55.0,58.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
22,53.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
23,53.0,58.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
24,57.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
25,57.0,56.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
26,59.0,59.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
27,56.0,57.0,55.0,54.0,55.0,55.0,54.0,55.0,54.0,54.0
28,56.0,56.0,56.0,55.0,56.0,56.0,55.0,56.0,55.0,55.0
29,58.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
30,56.0,58.0,56.0,55.0,56.0,56.0,55.0,56.0,55.0,55.0
31,57.0,57.0,57.0,56.0,57.0,57.0,56.0,57.0,56.0,56.0
32,59.0,61.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
33,55.0,56.0,55.0,53.0,55.0,55.0,53.0,55.0,53.0,53.0
34,50.0,57.0,54.0,51.0,54.0,54.0,51.0,54.0,52.0,52.0
35,52.0,57.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
36,56.0,58.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
37,57.0,57.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
38,57.0,60.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
39,55.0,58.0,55.0,54.0,55.0,55.0,53.0,55.0,53.0,54.0
40,56.0,57.0,56.0,55.0,56.0,56.0,55.0,56.0,55.0,55.0
41,56.0,61.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
42,55.0,57.0,56.0,55.0,56.0,56.0,54.0,56.0,54.0,55.0
43,57.0,58.0,57.0,56.0,57.0,57.0,56.0,57.0,56.0,56.0
44,57.0,62.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
45,59.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
46,55.0,52.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
47,56.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
48,58.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
49,57.0,56.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
50,60.0,59.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
51,57.0,58.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
52,58.0,57.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
53,61.0,60.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
54,57.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
55,56.0,56.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
56,59.0,59.0,54.0,55.0,54.0,54.0,54.0,54.0,54.0,55.0
57,56.0,58.0,54.0,55.0,54.0,54.0,54.0,54.0,54.0,55.0
58,57.0,57.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
59,60.0,60.0,55.0,56.0,55.0,55.0,55.0,55.0,55.0,56.0
60,52.0,56.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
61,55.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
62,56.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
63,54.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
64,52.0,55.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
65,52.0,56.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
66,54.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
67,53.0,56.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
68,53.0,57.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
69,56.0,56.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
70,58.0,55.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
71,58.0,58.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
72,55.0,56.0,54.0,53.0,54.0,54.0,53.0,54.0,53.0,53.0
73,57.0,55.0,55.0,54.0,55.0,55.0,54.0,55.0,54.0,54.0
74,57.0,59.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
75,55.0,57.0,55.0,54.0,55.0,55.0,54.0,55.0,54.0,54.0
76,58.0,56.0,56.0,55.0,56.0,56.0,55.0,56.0,55.0,55.0
77,58.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
78,55.0,55.0,54.0,53.0,54.0,54.0,53.0,54.0,53.0,53.0
79,53.0,56.0,53.0,52.0,53.0,53.0,52.0,53.0,52.0,52.0
80,52.0,56.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
81,57.0,57.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
82,59.0,56.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
83,57.0,59.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
84,56.0,57.0,54.0,53.0,54.0,54.0,53.0,54.0,53.0,53.0
85,58.0,56.0,55.0,54.0,55.0,55.0,54.0,55.0,54.0,54.0
86,56.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
87,55.0,56.0,55.0,54.0,55.0,55.0,54.0,55.0,54.0,54.0
88,59.0,57.0,56.0,55.0,56.0,56.0,55.0,56.0,55.0,55.0
89,57.0,61.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
90,58.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
91,54.0,51.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
92,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
93,57.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
94,58.0,56.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
95,59.0,58.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
96,57.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
97,59.0,57.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
98,60.0,59.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
99,56.0,56.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
100,57.0,55.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
101,58.0,58.0,53.0,54.0,53.0,53.0,53.0,53.0,53.0,54.0
102,56.0,57.0,53.0,54.0,53.0,53.0,53.0,53.0,53.0,54.0
103,58.0,56.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
104,59.0,59.0,54.0,55.0,54.0,54.0,54.0,54.0,54.0,55.0
105,53.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
106,54.0,56.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
107,56.0,56.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
108,55.0,54.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
109,53.0,51.0,48.0,47.0,48.0,48.0,47.0,48.0,47.0,47.0
110,50.0,50.0,48.0,46.0,48.0,48.0,46.0,48.0,46.0,46.0
111,56.0,55.0,50.0,49.0,50.0,50.0,49.0,50.0,49.0,49.0
112,57.0,50.0,47.0,47.0,47.0,47.0,46.0,47.0,46.0,47.0
113,57.0,55.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
114,55.0,55.0,49.0,48.0,49.0,49.0,48.0,49.0,48.0,48.0
115,56.0,56.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
116,56.0,57.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
117,56.0,56.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
118,57.0,57.0,50.0,49.0,50.0,50.0,49.0,50.0,49.0,49.0
119,57.0,58.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
120,55.0,53.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
121,52.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
122,56.0,53.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
123,57.0,55.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
124,59.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
125,57.0,59.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
126,58.0,56.0,51.0,50.0,51.0,51.0,50.0,51.0,50.0,50.0
127,60.0,58.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
128,58.0,60.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
129,56.0,55.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
130,58.0,56.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
131,56.0,59.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
132,57.0,56.0,50.0,49.0,50.0,50.0,49.0,50.0,49.0,49.0
133,59.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
134,57.0,60.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
135,54.0,56.0,49.0,49.0,49.0,49.0,48.0,49.0,48.0,49.0
136,54.0,57.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
137,56.0,57.0,51.0,53.0,51.0,52.0,52.0,51.0,51.0,53.0
138,54.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
