Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
0,46.0,51.0,46.0,50.0,51.0
1,42.0,51.0,49.0,52.0,51.0
2,46.0,50.0,47.0,50.0,50.0
3,50.0,54.0,50.0,50.0,54.0
4,46.0,54.0,53.0,52.0,51.0
5,49.0,52.0,49.0,52.0,50.0
6,49.0,54.0,48.0,50.0,54.0
7,45.0,54.0,49.0,50.0,51.0
8,50.0,50.0,50.0,52.0,51.0
9,54.0,55.0,54.0,53.0,55.0
10,51.0,52.0,54.0,50.0,53.0
11,51.0,50.0,51.0,52.0,52.0
12,54.0,54.0,53.0,52.0,54.0
13,51.0,53.0,53.0,52.0,55.0
14,51.0,53.0,50.0,53.0,54.0
15,50.0,54.0,49.0,53.0,54.0
16,47.0,54.0,49.0,52.0,55.0
17,51.0,53.0,50.0,53.0,54.0
18,49.0,53.0,51.0,51.0,53.0
19,45.0,54.0,52.0,51.0,50.0
20,48.0,54.0,51.0,51.0,51.0
21,50.0,54.0,50.0,52.0,53.0
22,46.0,54.0,53.0,51.0,51.0
23,49.0,54.0,52.0,52.0,52.0
24,54.0,58.0,54.0,56.0,56.0
25,50.0,55.0,55.0,53.0,54.0
26,53.0,52.0,54.0,53.0,52.0
27,54.0,57.0,53.0,56.0,56.0
28,50.0,55.0,54.0,54.0,54.0
29,53.0,56.0,53.0,56.0,56.0
30,49.0,54.0,49.0,52.0,53.0
31,48.0,55.0,53.0,54.0,54.0
32,50.0,56.0,52.0,56.0,56.0
33,48.0,54.0,47.0,52.0,52.0
34,44.0,54.0,48.0,52.0,50.0
35,48.0,54.0,49.0,52.0,52.0
36,54.0,58.0,54.0,56.0,56.0
37,51.0,55.0,54.0,53.0,53.0
38,51.0,50.0,55.0,53.0,52.0
39,54.0,57.0,53.0,56.0,56.0
40,51.0,55.0,53.0,54.0,54.0
41,51.0,56.0,54.0,56.0,56.0
42,50.0,54.0,49.0,53.0,53.0
43,49.0,55.0,49.0,54.0,54.0
44,51.0,56.0,50.0,56.0,56.0
45,59.0,54.0,59.0,53.0,55.0
46,53.0,53.0,56.0,54.0,53.0
47,54.0,53.0,52.0,55.0,55.0
48,60.0,58.0,60.0,57.0,57.0
49,56.0,56.0,56.0,58.0,58.0
50,56.0,56.0,56.0,55.0,56.0
51,60.0,58.0,60.0,56.0,56.0
52,56.0,56.0,56.0,54.0,58.0
53,56.0,56.0,56.0,55.0,56.0
54,60.0,57.0,59.0,57.0,57.0
55,56.0,55.0,55.0,59.0,59.0
56,56.0,56.0,55.0,55.0,56.0
57,60.0,57.0,59.0,56.0,56.0
58,56.0,55.0,55.0,59.0,59.0
59,56.0,56.0,55.0,55.0,56.0
60,51.0,54.0,50.0,54.0,53.0
61,47.0,52.0,48.0,55.0,55.0
62,51.0,53.0,50.0,53.0,55.0
63,50.0,52.0,50.0,50.0,52.0
64,44.0,53.0,51.0,50.0,49.0
65,49.0,53.0,50.0,50.0,50.0
66,51.0,53.0,49.0,51.0,52.0
67,45.0,53.0,52.0,50.0,50.0
68,50.0,53.0,51.0,51.0,51.0
69,53.0,57.0,53.0,55.0,55.0
70,49.0,54.0,54.0,52.0,53.0
71,54.0,51.0,55.0,52.0,51.0
72,53.0,56.0,52.0,55.0,55.0
73,49.0,54.0,53.0,53.0,53.0
74,54.0,55.0,54.0,55.0,55.0
75,48.0,53.0,48.0,51.0,52.0
76,47.0,54.0,52.0,53.0,53.0
77,49.0,55.0,51.0,55.0,55.0
78,47.0,53.0,49.0,51.0,51.0
79,43.0,53.0,48.0,51.0,50.0
80,47.0,53.0,49.0,51.0,51.0
81,53.0,57.0,53.0,55.0,55.0
82,50.0,54.0,55.0,52.0,52.0
83,55.0,51.0,54.0,52.0,51.0
84,53.0,56.0,52.0,55.0,55.0
85,50.0,54.0,54.0,53.0,53.0
86,55.0,55.0,53.0,55.0,55.0
87,49.0,53.0,48.0,52.0,52.0
88,48.0,54.0,48.0,53.0,53.0
89,50.0,55.0,49.0,55.0,55.0
90,58.0,53.0,58.0,52.0,54.0
91,52.0,54.0,55.0,53.0,52.0
92,53.0,54.0,54.0,54.0,54.0
93,59.0,57.0,59.0,56.0,56.0
94,55.0,55.0,55.0,57.0,57.0
95,56.0,55.0,56.0,54.0,55.0
96,59.0,57.0,59.0,55.0,55.0
97,55.0,55.0,55.0,53.0,57.0
98,56.0,55.0,56.0,54.0,55.0
99,59.0,56.0,58.0,56.0,56.0
100,55.0,54.0,54.0,58.0,58.0
101,56.0,55.0,55.0,54.0,55.0
102,59.0,56.0,58.0,55.0,55.0
103,55.0,54.0,54.0,58.0,58.0
104,56.0,56.0,55.0,54.0,55.0
105,50.0,53.0,49.0,53.0,52.0
106,46.0,51.0,47.0,54.0,54.0
107,50.0,53.0,49.0,53.0,54.0
108,45.0,50.0,47.0,47.0,49.0
109,43.0,50.0,48.0,47.0,48.0
110,47.0,49.0,49.0,47.0,48.0
111,50.0,54.0,49.0,52.0,53.0
112,51.0,51.0,51.0,48.0,48.0
113,56.0,51.0,53.0,49.0,48.0
114,50.0,53.0,49.0,51.0,52.0
115,51.0,51.0,51.0,51.0,50.0
116,56.0,52.0,52.0,52.0,53.0
117,46.0,50.0,46.0,51.0,49.0
118,46.0,51.0,45.0,51.0,50.0
119,50.0,52.0,49.0,52.0,53.0
120,58.0,54.0,58.0,53.0,53.0
121,51.0,53.0,54.0,53.0,53.0
122,53.0,53.0,54.0,53.0,53.0
123,58.0,54.0,58.0,55.0,54.0
124,54.0,55.0,54.0,54.0,54.0
125,56.0,56.0,56.0,54.0,55.0
126,55.0,54.0,55.0,54.0,53.0
127,52.0,55.0,52.0,54.0,54.0
128,56.0,56.0,56.0,54.0,55.0
129,58.0,54.0,57.0,54.0,54.0
130,54.0,54.0,53.0,54.0,54.0
131,56.0,56.0,55.0,54.0,55.0
132,55.0,54.0,54.0,53.0,54.0
133,52.0,54.0,51.0,54.0,54.0
134,56.0,56.0,55.0,54.0,55.0
135,46.0,52.0,45.0,52.0,51.0
136,47.0,52.0,46.0,53.0,52.0
137,51.0,54.0,50.0,54.0,53.0
138,57.0,53.0,57.0,53.0,54.0
139,53.0,52.0,56.0,54.0,53.0
140,53.0,52.0,52.0,55.0,55.0
141,58.0,53.0,58.0,55.0,56.0
142,59.0,55.0,59.0,55.0,54.0
143,59.0,55.0,59.0,56.0,55.0
144,58.0,53.0,58.0,54.0,54.0
145,59.0,55.0,59.0,54.0,54.0
146,59.0,55.0,59.0,55.0,55.0
147,58.0,54.0,58.0,57.0,57.0
148,59.0,56.0,59.0,57.0,57.0
149,59.0,56.0,59.0,59.0,59.0
150,58.0,54.0,58.0,57.0,57.0
151,59.0,56.0,59.0,57.0,57.0
152,59.0,56.0,59.0,59.0,59.0
153,54.0,53.0,54.0,54.0,54.0
154,56.0,55.0,56.0,55.0,54.0
155,56.0,55.0,56.0,55.0,59.0
156,58.0,54.0,57.0,57.0,57.0
157,59.0,55.0,58.0,57.0,57.0
158,59.0,56.0,58.0,60.0,60.0
159,58.0,53.0,57.0,57.0,57.0
160,59.0,55.0,58.0,57.0,57.0
161,59.0,55.0,58.0,60.0,60.0
162,54.0,52.0,53.0,54.0,55.0
163,56.0,54.0,55.0,55.0,55.0
164,56.0,54.0,55.0,60.0,60.0
165,45.0,51.0,45.0,52.0,51.0
166,47.0,52.0,48.0,54.0,52.0
167,50.0,52.0,49.0,56.0,56.0
