Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
0,36.0,36.0,41.0,40.0,37.0,39.0,39.0,39.0,39.0,36.0,39.0,36.0,35.0,35.0,34.0,35.0
1,36.0,36.0,40.0,39.0,37.0,33.0,39.0,37.0,39.0,33.0,33.0,33.0,38.0,38.0,33.0,38.0
2,36.0,36.0,42.0,41.0,33.0,37.0,40.0,37.0,38.0,37.0,36.0,37.0,39.0,39.0,35.0,39.0
3,40.0,40.0,41.0,41.0,39.0,39.0,40.0,39.0,40.0,36.0,40.0,36.0,40.0,40.0,39.0,40.0
4,40.0,40.0,42.0,42.0,40.0,34.0,38.0,37.0,38.0,35.0,36.0,35.0,40.0,40.0,40.0,40.0
5,40.0,40.0,42.0,42.0,38.0,37.0,42.0,37.0,42.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0
6,40.0,40.0,41.0,41.0,39.0,40.0,40.0,40.0,40.0,36.0,41.0,36.0,38.0,38.0,40.0,38.0
7,40.0,40.0,42.0,42.0,40.0,34.0,39.0,38.0,39.0,36.0,37.0,36.0,40.0,40.0,40.0,40.0
8,40.0,40.0,42.0,42.0,38.0,37.0,42.0,37.0,42.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
9,39.0,39.0,40.0,41.0,35.0,39.0,40.0,39.0,40.0,36.0,41.0,36.0,40.0,40.0,40.0,40.0
10,36.0,36.0,41.0,40.0,35.0,38.0,41.0,38.0,41.0,34.0,36.0,34.0,39.0,39.0,36.0,39.0
11,40.0,40.0,42.0,41.0,35.0,40.0,40.0,40.0,39.0,36.0,40.0,36.0,41.0,41.0,41.0,41.0
12,40.0,40.0,40.0,41.0,39.0,42.0,40.0,42.0,40.0,36.0,40.0,36.0,39.0,39.0,39.0,39.0
13,38.0,38.0,40.0,39.0,39.0,41.0,41.0,41.0,40.0,40.0,38.0,40.0,39.0,39.0,40.0,39.0
14,39.0,39.0,42.0,41.0,38.0,43.0,43.0,43.0,42.0,41.0,39.0,41.0,40.0,40.0,40.0,40.0
15,41.0,41.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,37.0,39.0,37.0,39.0,39.0,38.0,39.0
16,35.0,35.0,40.0,38.0,36.0,39.0,41.0,39.0,41.0,38.0,38.0,38.0,37.0,37.0,37.0,37.0
17,40.0,40.0,42.0,40.0,39.0,41.0,43.0,41.0,43.0,42.0,39.0,42.0,41.0,41.0,38.0,41.0
18,40.0,40.0,42.0,42.0,40.0,38.0,41.0,38.0,42.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0
19,40.0,40.0,42.0,42.0,40.0,35.0,38.0,36.0,37.0,35.0,36.0,35.0,40.0,40.0,40.0,40.0
20,40.0,40.0,47.0,47.0,40.0,37.0,42.0,37.0,42.0,40.0,39.0,40.0,41.0,41.0,40.0,41.0
21,40.0,40.0,42.0,42.0,40.0,39.0,41.0,39.0,42.0,40.0,41.0,40.0,40.0,40.0,40.0,40.0
22,40.0,40.0,42.0,42.0,40.0,35.0,38.0,37.0,38.0,35.0,37.0,35.0,40.0,40.0,40.0,40.0
23,40.0,40.0,47.0,47.0,40.0,38.0,42.0,38.0,42.0,40.0,40.0,40.0,41.0,41.0,40.0,41.0
24,41.0,41.0,41.0,41.0,40.0,39.0,41.0,39.0,42.0,35.0,42.0,35.0,41.0,41.0,40.0,41.0
25,41.0,41.0,42.0,42.0,41.0,37.0,41.0,37.0,41.0,35.0,40.0,35.0,42.0,42.0,41.0,42.0
26,42.0,42.0,42.0,41.0,40.0,42.0,42.0,42.0,42.0,40.0,42.0,40.0,42.0,42.0,42.0,42.0
27,45.0,45.0,41.0,41.0,40.0,43.0,40.0,43.0,41.0,40.0,41.0,40.0,43.0,43.0,42.0,43.0
28,44.0,44.0,42.0,42.0,45.0,40.0,40.0,40.0,41.0,40.0,39.0,40.0,41.0,41.0,41.0,41.0
29,46.0,46.0,42.0,41.0,41.0,45.0,45.0,45.0,43.0,40.0,41.0,40.0,44.0,44.0,43.0,44.0
30,42.0,42.0,41.0,41.0,41.0,39.0,41.0,39.0,41.0,41.0,39.0,41.0,40.0,40.0,39.0,40.0
31,41.0,41.0,40.0,38.0,42.0,38.0,41.0,38.0,41.0,40.0,40.0,40.0,39.0,39.0,38.0,39.0
32,47.0,47.0,43.0,42.0,42.0,43.0,43.0,43.0,44.0,41.0,42.0,41.0,45.0,45.0,44.0,45.0
33,39.0,39.0,38.0,38.0,40.0,39.0,38.0,39.0,38.0,36.0,39.0,36.0,37.0,37.0,36.0,37.0
34,39.0,39.0,39.0,39.0,40.0,34.0,38.0,37.0,38.0,36.0,37.0,36.0,39.0,39.0,39.0,39.0
35,40.0,40.0,43.0,43.0,39.0,38.0,38.0,38.0,38.0,41.0,39.0,41.0,41.0,41.0,40.0,41.0
36,41.0,41.0,41.0,41.0,40.0,39.0,37.0,39.0,38.0,36.0,43.0,36.0,41.0,41.0,40.0,41.0
37,41.0,41.0,42.0,42.0,41.0,37.0,37.0,37.0,37.0,36.0,41.0,36.0,42.0,42.0,41.0,42.0
38,42.0,42.0,42.0,41.0,40.0,42.0,42.0,42.0,42.0,41.0,43.0,41.0,42.0,42.0,42.0,42.0
39,45.0,45.0,41.0,41.0,40.0,43.0,39.0,43.0,39.0,36.0,42.0,36.0,43.0,43.0,42.0,43.0
40,44.0,44.0,42.0,42.0,45.0,40.0,41.0,40.0,41.0,41.0,40.0,41.0,41.0,41.0,41.0,41.0
41,46.0,46.0,42.0,41.0,41.0,45.0,45.0,45.0,43.0,41.0,42.0,41.0,44.0,44.0,43.0,44.0
42,42.0,42.0,38.0,38.0,41.0,39.0,38.0,39.0,38.0,37.0,40.0,37.0,40.0,40.0,39.0,40.0
43,41.0,41.0,38.0,38.0,42.0,38.0,38.0,38.0,39.0,38.0,41.0,38.0,39.0,39.0,38.0,39.0
44,47.0,47.0,43.0,42.0,42.0,43.0,43.0,43.0,44.0,42.0,41.0,42.0,45.0,45.0,44.0,45.0
45,39.0,39.0,36.0,36.0,38.0,39.0,37.0,39.0,37.0,37.0,41.0,37.0,40.0,40.0,39.0,40.0
46,39.0,39.0,41.0,40.0,40.0,41.0,41.0,41.0,41.0,37.0,36.0,37.0,39.0,39.0,35.0,39.0
47,40.0,40.0,40.0,40.0,35.0,40.0,40.0,40.0,39.0,42.0,40.0,42.0,41.0,41.0,40.0,41.0
48,41.0,41.0,36.0,36.0,40.0,43.0,38.0,43.0,38.0,38.0,42.0,38.0,39.0,39.0,38.0,39.0
49,40.0,40.0,41.0,40.0,41.0,44.0,44.0,44.0,42.0,41.0,40.0,41.0,40.0,40.0,34.0,40.0
50,42.0,42.0,40.0,40.0,39.0,43.0,43.0,43.0,40.0,43.0,42.0,43.0,41.0,41.0,39.0,41.0
51,42.0,42.0,37.0,37.0,41.0,39.0,38.0,39.0,38.0,36.0,40.0,36.0,40.0,40.0,39.0,40.0
52,37.0,37.0,42.0,41.0,38.0,42.0,42.0,42.0,43.0,38.0,41.0,38.0,37.0,37.0,35.0,37.0
53,43.0,43.0,40.0,40.0,40.0,41.0,41.0,41.0,39.0,42.0,41.0,42.0,41.0,41.0,40.0,41.0
54,45.0,45.0,35.0,36.0,43.0,42.0,38.0,42.0,37.0,38.0,41.0,38.0,43.0,43.0,42.0,43.0
55,44.0,44.0,41.0,40.0,45.0,43.0,43.0,43.0,41.0,41.0,39.0,41.0,44.0,44.0,38.0,44.0
56,46.0,46.0,39.0,39.0,40.0,43.0,43.0,43.0,39.0,43.0,41.0,43.0,44.0,44.0,43.0,44.0
57,46.0,46.0,36.0,37.0,41.0,39.0,39.0,39.0,38.0,36.0,39.0,36.0,44.0,44.0,43.0,44.0
58,41.0,41.0,41.0,40.0,42.0,41.0,41.0,41.0,42.0,41.0,40.0,41.0,41.0,41.0,38.0,41.0
59,47.0,47.0,40.0,40.0,41.0,41.0,41.0,41.0,40.0,42.0,40.0,42.0,45.0,45.0,44.0,45.0
60,40.0,40.0,36.0,37.0,41.0,38.0,37.0,38.0,37.0,36.0,38.0,36.0,39.0,39.0,38.0,39.0
61,35.0,35.0,37.0,37.0,36.0,38.0,38.0,38.0,38.0,38.0,37.0,38.0,36.0,36.0,33.0,36.0
62,41.0,41.0,38.0,37.0,36.0,39.0,39.0,39.0,39.0,42.0,38.0,42.0,40.0,40.0,39.0,40.0
63,39.0,39.0,42.0,42.0,39.0,37.0,40.0,37.0,42.0,40.0,39.0,40.0,39.0,39.0,38.0,39.0
64,39.0,39.0,41.0,41.0,39.0,34.0,37.0,35.0,36.0,35.0,35.0,35.0,39.0,39.0,39.0,39.0
65,40.0,40.0,47.0,47.0,40.0,36.0,41.0,36.0,41.0,41.0,38.0,41.0,40.0,40.0,39.0,40.0
66,39.0,39.0,42.0,42.0,39.0,38.0,40.0,38.0,42.0,41.0,40.0,41.0,39.0,39.0,39.0,39.0
67,39.0,39.0,41.0,41.0,39.0,34.0,37.0,36.0,37.0,36.0,36.0,36.0,39.0,39.0,39.0,39.0
68,40.0,40.0,47.0,47.0,40.0,37.0,41.0,37.0,41.0,42.0,39.0,42.0,40.0,40.0,40.0,40.0
69,41.0,41.0,41.0,41.0,41.0,38.0,40.0,38.0,42.0,39.0,41.0,39.0,40.0,40.0,39.0,40.0
70,41.0,41.0,42.0,42.0,41.0,36.0,40.0,36.0,40.0,38.0,39.0,38.0,41.0,41.0,41.0,41.0
71,42.0,42.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,40.0,41.0,40.0,42.0,42.0,41.0,42.0
72,45.0,45.0,41.0,41.0,45.0,42.0,39.0,42.0,41.0,41.0,40.0,41.0,43.0,43.0,42.0,42.0
