Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
0,46.0,46.0,45.0,47.0,43.0,48.0,49.0,47.0,45.0,39.0,47.0
1,47.0,47.0,47.0,43.0,48.0,46.0,48.0,47.0,47.0,36.0,47.0
2,48.0,48.0,47.0,47.0,47.0,46.0,49.0,44.0,47.0,35.0,44.0
3,50.0,50.0,45.0,47.0,45.0,47.0,48.0,51.0,45.0,44.0,47.0
4,52.0,52.0,47.0,47.0,48.0,46.0,49.0,51.0,47.0,40.0,46.0
5,48.0,48.0,47.0,47.0,47.0,46.0,50.0,46.0,47.0,39.0,45.0
6,46.0,46.0,45.0,46.0,45.0,48.0,48.0,48.0,45.0,45.0,48.0
7,48.0,48.0,47.0,47.0,48.0,46.0,48.0,47.0,47.0,38.0,47.0
8,47.0,47.0,47.0,48.0,48.0,46.0,49.0,46.0,47.0,40.0,46.0
9,48.0,48.0,46.0,46.0,48.0,49.0,49.0,48.0,46.0,44.0,48.0
10,48.0,48.0,47.0,45.0,49.0,48.0,50.0,48.0,47.0,41.0,48.0
11,47.0,47.0,48.0,48.0,47.0,47.0,50.0,47.0,48.0,40.0,46.0
12,52.0,52.0,48.0,49.0,52.0,49.0,48.0,51.0,48.0,44.0,48.0
13,52.0,52.0,48.0,48.0,52.0,50.0,50.0,49.0,48.0,45.0,49.0
14,48.0,48.0,48.0,49.0,49.0,51.0,50.0,49.0,48.0,43.0,49.0
15,46.0,46.0,46.0,48.0,46.0,49.0,49.0,48.0,45.0,45.0,48.0
16,49.0,49.0,47.0,48.0,48.0,50.0,50.0,49.0,47.0,46.0,49.0
17,48.0,48.0,48.0,49.0,48.0,50.0,50.0,50.0,48.0,44.0,50.0
18,50.0,50.0,45.0,49.0,47.0,46.0,47.0,51.0,45.0,45.0,46.0
19,52.0,52.0,51.0,51.0,51.0,45.0,51.0,51.0,51.0,40.0,45.0
20,47.0,47.0,51.0,51.0,48.0,45.0,52.0,46.0,51.0,39.0,44.0
21,50.0,50.0,45.0,50.0,48.0,47.0,47.0,51.0,45.0,45.0,47.0
22,52.0,52.0,51.0,52.0,52.0,46.0,51.0,51.0,51.0,40.0,46.0
23,47.0,47.0,51.0,51.0,49.0,45.0,52.0,46.0,51.0,40.0,45.0
24,48.0,48.0,46.0,47.0,48.0,48.0,49.0,47.0,46.0,49.0,47.0
