Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
0,40.0,40.0,42.0,49.0,44.0,45.0,46.0,44.0,41.0
1,39.0,41.0,39.0,47.0,45.0,45.0,47.0,42.0,38.0
2,39.0,39.0,41.0,43.0,45.0,46.0,44.0,41.0,39.0
3,43.0,42.0,47.0,50.0,47.0,51.0,47.0,46.0,47.0
4,41.0,43.0,43.0,47.0,46.0,49.0,49.0,46.0,43.0
5,41.0,41.0,47.0,47.0,48.0,48.0,48.0,42.0,43.0
6,44.0,43.0,48.0,49.0,48.0,47.0,46.0,47.0,48.0
7,41.0,44.0,44.0,48.0,47.0,46.0,49.0,47.0,43.0
8,42.0,42.0,48.0,48.0,49.0,46.0,48.0,43.0,44.0
9,41.0,42.0,42.0,44.0,46.0,44.0,47.0,41.0,42.0
10,42.0,42.0,40.0,45.0,47.0,45.0,46.0,39.0,40.0
11,40.0,39.0,42.0,43.0,46.0,49.0,43.0,39.0,39.0
12,42.0,43.0,47.0,45.0,45.0,44.0,46.0,46.0,47.0
13,47.0,43.0,44.0,44.0,46.0,45.0,45.0,44.0,40.0
14,41.0,41.0,47.0,47.0,45.0,48.0,47.0,42.0,41.0
15,42.0,42.0,47.0,45.0,42.0,43.0,46.0,46.0,47.0
16,47.0,43.0,44.0,44.0,43.0,45.0,45.0,44.0,39.0
17,41.0,41.0,47.0,47.0,43.0,45.0,47.0,42.0,41.0
18,47.0,43.0,47.0,52.0,47.0,51.0,47.0,47.0,48.0
19,43.0,48.0,48.0,53.0,47.0,49.0,53.0,47.0,44.0
20,44.0,43.0,48.0,49.0,48.0,48.0,49.0,48.0,47.0
21,48.0,44.0,48.0,53.0,48.0,51.0,47.0,48.0,49.0
22,44.0,49.0,49.0,54.0,48.0,49.0,53.0,48.0,45.0
23,45.0,44.0,49.0,50.0,49.0,48.0,49.0,49.0,48.0
24,44.0,43.0,47.0,48.0,46.0,45.0,48.0,47.0,43.0
25,46.0,49.0,45.0,45.0,47.0,46.0,47.0,44.0,41.0
26,43.0,44.0,47.0,44.0,48.0,48.0,45.0,43.0,43.0
27,50.0,44.0,47.0,47.0,45.0,44.0,47.0,47.0,46.0
28,48.0,50.0,49.0,45.0,46.0,48.0,48.0,49.0,45.0
29,49.0,45.0,48.0,47.0,47.0,48.0,47.0,48.0,45.0
30,50.0,42.0,47.0,47.0,45.0,42.0,47.0,47.0,46.0
31,48.0,48.0,49.0,46.0,45.0,45.0,48.0,49.0,45.0
32,49.0,44.0,48.0,47.0,47.0,44.0,47.0,48.0,45.0
33,48.0,41.0,48.0,49.0,48.0,47.0,44.0,48.0,44.0
34,42.0,46.0,49.0,54.0,48.0,45.0,49.0,48.0,42.0
35,45.0,42.0,49.0,50.0,49.0,46.0,45.0,49.0,44.0
36,45.0,44.0,48.0,49.0,47.0,43.0,44.0,48.0,44.0
37,46.0,50.0,46.0,45.0,48.0,45.0,45.0,44.0,42.0
38,44.0,45.0,48.0,45.0,48.0,44.0,44.0,44.0,44.0
39,51.0,45.0,48.0,48.0,46.0,42.0,43.0,48.0,45.0
40,47.0,51.0,49.0,46.0,47.0,45.0,48.0,49.0,46.0
41,50.0,46.0,49.0,48.0,47.0,45.0,47.0,49.0,46.0
42,51.0,43.0,48.0,48.0,46.0,42.0,43.0,48.0,39.0
43,47.0,49.0,49.0,46.0,46.0,45.0,48.0,49.0,46.0
44,50.0,45.0,49.0,48.0,48.0,45.0,47.0,49.0,46.0
45,40.0,43.0,42.0,42.0,47.0,41.0,43.0,42.0,40.0
46,42.0,42.0,40.0,42.0,46.0,43.0,44.0,37.0,40.0
47,41.0,41.0,42.0,43.0,45.0,44.0,43.0,38.0,40.0
48,44.0,44.0,47.0,44.0,46.0,43.0,42.0,47.0,43.0
49,46.0,46.0,45.0,44.0,46.0,44.0,44.0,42.0,42.0
50,43.0,43.0,47.0,45.0,44.0,46.0,46.0,42.0,42.0
51,44.0,42.0,47.0,44.0,45.0,42.0,43.0,47.0,44.0
52,46.0,46.0,45.0,45.0,46.0,44.0,45.0,42.0,43.0
53,43.0,43.0,47.0,45.0,44.0,43.0,46.0,42.0,42.0
54,45.0,43.0,47.0,44.0,45.0,43.0,41.0,46.0,44.0
55,47.0,46.0,45.0,43.0,45.0,45.0,43.0,43.0,43.0
56,44.0,43.0,47.0,44.0,43.0,48.0,45.0,44.0,41.0
57,45.0,43.0,47.0,44.0,44.0,43.0,42.0,46.0,44.0
58,47.0,45.0,45.0,44.0,45.0,45.0,44.0,44.0,44.0
59,44.0,43.0,47.0,44.0,43.0,48.0,45.0,44.0,41.0
60,43.0,41.0,47.0,44.0,41.0,42.0,42.0,46.0,39.0
61,45.0,42.0,45.0,42.0,42.0,42.0,42.0,44.0,40.0
62,39.0,43.0,44.0,44.0,42.0,44.0,45.0,44.0,40.0
63,46.0,42.0,53.0,51.0,53.0,50.0,46.0,48.0,47.0
64,43.0,47.0,48.0,52.0,51.0,48.0,52.0,47.0,44.0
65,43.0,43.0,53.0,53.0,47.0,47.0,48.0,48.0,46.0
66,47.0,43.0,54.0,52.0,54.0,50.0,46.0,49.0,48.0
67,44.0,48.0,49.0,53.0,52.0,48.0,52.0,48.0,45.0
68,44.0,44.0,54.0,54.0,48.0,48.0,48.0,49.0,47.0
69,43.0,42.0,48.0,49.0,45.0,44.0,47.0,48.0,48.0
70,45.0,48.0,48.0,51.0,46.0,47.0,51.0,44.0,45.0
71,43.0,43.0,48.0,49.0,47.0,47.0,49.0,44.0,42.0
72,49.0,43.0,53.0,51.0,44.0,43.0,47.0,48.0,47.0
73,47.0,49.0,49.0,50.0,50.0,47.0,50.0,49.0,44.0
74,48.0,48.0,53.0,53.0,46.0,47.0,53.0,49.0,44.0
75,49.0,42.0,53.0,51.0,44.0,41.0,47.0,48.0,45.0
76,47.0,47.0,49.0,50.0,47.0,44.0,50.0,49.0,44.0
77,48.0,48.0,53.0,53.0,46.0,45.0,53.0,49.0,44.0
78,47.0,43.0,54.0,52.0,54.0,46.0,46.0,48.0,44.0
79,43.0,45.0,49.0,53.0,52.0,44.0,49.0,47.0,46.0
80,44.0,44.0,54.0,54.0,48.0,48.0,48.0,48.0,46.0
81,44.0,43.0,49.0,50.0,46.0,42.0,47.0,49.0,49.0
82,45.0,49.0,49.0,51.0,47.0,47.0,51.0,44.0,46.0
83,44.0,44.0,49.0,50.0,48.0,47.0,49.0,45.0,43.0
84,50.0,44.0,54.0,52.0,45.0,42.0,47.0,48.0,48.0
85,46.0,50.0,50.0,50.0,51.0,47.0,50.0,49.0,45.0
86,49.0,49.0,54.0,54.0,47.0,48.0,53.0,50.0,45.0
87,50.0,43.0,54.0,52.0,45.0,41.0,47.0,48.0,44.0
88,46.0,48.0,50.0,50.0,48.0,44.0,50.0,49.0,45.0
89,49.0,49.0,54.0,54.0,47.0,45.0,53.0,50.0,45.0
90,44.0,44.0,44.0,48.0,46.0,41.0,48.0,43.0,40.0
91,41.0,45.0,46.0,43.0,46.0,43.0,46.0,39.0,41.0
92,44.0,45.0,44.0,42.0,44.0,43.0,45.0,39.0,39.0
93,44.0,45.0,46.0,47.0,45.0,42.0,47.0,48.0,44.0
94,45.0,46.0,51.0,43.0,46.0,47.0,45.0,44.0,46.0
95,50.0,50.0,47.0,44.0,46.0,47.0,45.0,44.0,44.0
96,44.0,44.0,46.0,48.0,45.0,41.0,48.0,48.0,43.0
97,45.0,45.0,51.0,44.0,46.0,43.0,45.0,44.0,42.0
98,50.0,50.0,47.0,44.0,46.0,43.0,45.0,44.0,45.0
99,44.0,45.0,46.0,46.0,44.0,42.0,46.0,47.0,45.0
100,46.0,46.0,51.0,42.0,50.0,46.0,44.0,43.0,45.0
101,50.0,51.0,47.0,43.0,45.0,47.0,44.0,43.0,46.0
102,44.0,45.0,46.0,47.0,44.0,42.0,47.0,47.0,43.0
103,46.0,46.0,51.0,43.0,50.0,44.0,45.0,43.0,43.0
104,50.0,51.0,47.0,43.0,45.0,47.0,44.0,43.0,46.0
105,44.0,42.0,46.0,47.0,40.0,41.0,47.0,47.0,38.0
106,44.0,43.0,48.0,42.0,46.0,42.0,45.0,43.0,40.0
107,45.0,48.0,47.0,43.0,42.0,43.0,44.0,43.0,44.0
108,43.0,40.0,50.0,49.0,50.0,40.0,42.0,46.0,44.0
109,39.0,41.0,45.0,50.0,49.0,40.0,45.0,41.0,45.0
110,40.0,41.0,50.0,50.0,48.0,46.0,44.0,42.0,45.0
111,44.0,44.0,47.0,49.0,46.0,42.0,43.0,47.0,50.0
112,41.0,45.0,49.0,50.0,47.0,45.0,47.0,42.0,42.0
113,42.0,45.0,49.0,50.0,48.0,45.0,45.0,43.0,43.0
114,46.0,45.0,50.0,48.0,45.0,41.0,43.0,46.0,49.0
115,45.0,46.0,50.0,49.0,48.0,44.0,46.0,47.0,44.0
116,47.0,46.0,54.0,54.0,47.0,45.0,49.0,48.0,42.0
